"task_id","title","description","type","status","priority","assignee","reporter","due_date","estimated_hours","story_points","labels","sprint","sprint_goal","epic","epic_id","project","parent_id","dependencies","skills_required","complexity","risk_level","acceptance_criteria","definition_of_done","created_at","updated_at","sprint_start_date","sprint_end_date","capacity_allocation","collaboration_required","external_dependencies","testing_requirements","deployment_notes","business_value"
"TASK-001","Define User, Role, PasswordHistory Domain Entities","Create C# classes in the Domain project for User, Role, and PasswordHistory. Define properties, relationships, and data annotations for EF Core.","Task","Sprint Backlog","Critical","senior.dev@company.com","product.owner@company.com","2024-11-08","6","1","backend,c#,entity-framework-core","Sprint 1","Establish the complete user security context, including data storage, login, and role-based access control.","User Authentication and Authorization","EPIC-002","DICOM Management and Printing System","US-SEC-001","","C#,Entity Framework Core","Low","Low","User.cs, Role.cs, PasswordHistory.cs files exist in the Domain project. Entities include all required fields as per REQ-1-014, REQ-1-042, and REQ-1-082. Relationships are correctly defined.","Code reviewed and successfully compiled. Domain entities cover all requirements for user management.","2024-10-21T09:00:00Z","2024-10-21T09:00:00Z","2024-10-28","2024-11-08","100%","None","None","Code review.","Foundation for database schema.","Provides the fundamental database structures for HIPAA-compliant user management."
"TASK-002","Configure DbContext and Create Initial EF Core Migration","Add DbSets for new entities to the ApplicationDbContext. Use the Fluent API to configure indexes on usernames and foreign keys. Generate the initial database migration script.","Task","Sprint Backlog","Critical","mid.dev@company.com","product.owner@company.com","2024-11-08","4.17","1","database,entity-framework-core,postgresql","Sprint 1","Establish the complete user security context, including data storage, login, and role-based access control.","User Authentication and Authorization","EPIC-002","DICOM Management and Printing System","US-SEC-001","TASK-001","Entity Framework Core,PostgreSQL","Low","Low","EF Core `dotnet ef migrations add InitialUserSchema` command completes successfully. The generated migration script correctly defines tables, columns, indexes, and constraints.","Migration successfully applied to a local PostgreSQL test database.","2024-10-21T09:00:00Z","2024-10-21T09:00:00Z","2024-10-28","2024-11-08","100%","None","Local PostgreSQL dev environment.","Schema validation in a test database.","Creates the initial database schema.","Translates the logical data model into a physical database schema."
"TASK-003","Implement BCrypt Password Hashing Service","Create an `IPasswordHasher` service with methods to hash a plaintext password and verify a password against a hash using the BCrypt.Net library. Register it in the DI container.","Task","Sprint Backlog","Critical","mid.dev@company.com","product.owner@company.com","2024-11-08","5.17","1","backend,c#,cryptography,security","Sprint 1","Establish the complete user security context, including data storage, login, and role-based access control.","User Authentication and Authorization","EPIC-002","DICOM Management and Printing System","US-SEC-001","","C#,Cryptography","Medium","Medium","Service correctly hashes passwords into the standard BCrypt format. Service correctly returns true for a valid password/hash pair and false otherwise. Service is registered for dependency injection.","Service is implemented and unit tested with 100% coverage. Security code review passed.","2024-10-21T09:00:00Z","2024-10-21T09:00:00Z","2024-10-28","2024-11-08","100%","Senior dev for security review.","None","Unit testing with 100% coverage.","Critical security component.","Ensures passwords are not stored in plaintext, meeting HIPAA security standards."
"TASK-004","Write Unit Tests for Password Hashing Service","Create comprehensive xUnit tests for the BCrypt Password Hashing service to ensure its correctness and reliability.","Task","Sprint Backlog","Critical","qa.engineer@company.com","product.owner@company.com","2024-11-08","4.83","1","qa,testing,xunit,c#","Sprint 1","Establish the complete user security context, including data storage, login, and role-based access control.","User Authentication and Authorization","EPIC-002","DICOM Management and Printing System","US-SEC-001","TASK-003","xUnit,C#","Low","Low","Test case for successful password verification passes. Test case for failed password verification passes. Test case verifies that two hashes of the same password are not identical. Code coverage is >= 95%.","All tests passing in the CI pipeline.","2024-10-21T09:00:00Z","2024-10-21T09:00:00Z","2024-10-28","2024-11-08","100%","None","None","CI pipeline execution.","Validates core security logic.","Provides confidence in the password security implementation."
"TASK-005","Develop User Authentication Service","Create an `IAuthenticationService` in the Application layer that orchestrates the login process by fetching a user from the database and validating the password with the `IPasswordHasher` service.","Task","Sprint Backlog","Critical","senior.dev@company.com","product.owner@company.com","2024-11-08","8.33","2","backend,c#,entity-framework-core,security","Sprint 1","Establish the complete user security context, including data storage, login, and role-based access control.","User Authentication and Authorization","EPIC-002","DICOM Management and Printing System","US-SEC-002","TASK-002,TASK-003","C#,Entity Framework Core","Medium","Low","Service returns a success result with user data (ID, Role) for valid credentials. Service returns a failure result for an invalid username or password. Service logic prevents user enumeration.","Service implemented and covered by integration tests.","2024-10-21T09:00:00Z","2024-10-21T09:00:00Z","2024-10-28","2024-11-08","100%","None","None","Integration tests against a test database.","Core of the application login logic.","Provides the business logic for verifying user credentials securely."
"TASK-006","Build WPF LoginView.xaml with Material Design","Create the XAML for the login screen using the Material Design in XAML Toolkit. Include text boxes for username, a password box, a login button, and a text block for error messages.","Task","Sprint Backlog","Critical","mid.dev@company.com","product.owner@company.com","2024-11-08","6.17","1","frontend,wpf,xaml,ui","Sprint 1","Establish the complete user security context, including data storage, login, and role-based access control.","User Authentication and Authorization","EPIC-002","DICOM Management and Printing System","US-SEC-002","","WPF,XAML","Low","Low","The view renders correctly and adheres to Material Design principles. Password input is masked. The view is integrated as the startup window of the application.","XAML code complete and passes UI review.","2024-10-21T09:00:00Z","2024-10-21T09:00:00Z","2024-10-28","2024-11-08","100%","None","None","Visual inspection and E2E test.","First screen the user interacts with.","Provides the user interface for authentication."
"TASK-007","Implement LoginViewModel with Command and Validation Logic","Create the ViewModel for the login screen. Implement bindable properties for username and password, an ICommand for the login button, and logic to call the AuthenticationService. Handle success and failure.","Task","Sprint Backlog","Critical","mid.dev@company.com","product.owner@company.com","2024-11-08","8.33","2","frontend,wpf,mvvm,c#","Sprint 1","Establish the complete user security context, including data storage, login, and role-based access control.","User Authentication and Authorization","EPIC-002","DICOM Management and Printing System","US-SEC-002","TASK-005,TASK-006","WPF,MVVM,C#","Medium","Low","ViewModel properties are correctly bound to the view. A successful login navigates to the main application window. A failed login displays an error message on the UI.","ViewModel implemented and covered by unit tests.","2024-10-21T09:00:00Z","2024-10-21T09:00:00Z","2024-10-28","2024-11-08","100%","None","None","Unit and E2E tests.","Connects the Login UI to the backend authentication logic.","Contains the presentation logic for the login process."
"TASK-008","Write Integration & E2E Tests for Login Flow","Create integration tests for the AuthenticationService against a test database. Create an E2E test that launches the app, enters credentials, and verifies the login outcome.","Task","Sprint Backlog","Critical","qa.engineer@company.com","product.owner@company.com","2024-11-08","10.5","2","qa,testing,e2e,testcontainers","Sprint 1","Establish the complete user security context, including data storage, login, and role-based access control.","User Authentication and Authorization","EPIC-002","DICOM Management and Printing System","US-SEC-002","TASK-007","xUnit,Testcontainers,Appium/WinAppDriver","Medium","Medium","Integration test verifies success, failure, and disabled account scenarios. E2E test successfully logs in a test user and verifies the main window appears. E2E test verifies that entering wrong credentials displays an error.","All tests passing in the CI pipeline.","2024-10-21T09:00:00Z","2024-10-21T09:00:00Z","2024-10-28","2024-11-08","100%","None","None","Requires setup of Testcontainers and WinAppDriver.","Validates the entire login feature from UI to database.","Ensures the authentication feature is robust and reliable."
"TASK-009","Create a Centralized User Session Service","Implement a singleton service (`IUserSessionService`) to store the currently authenticated user's ID, username, and role. This will be the single source of truth for permissions.","Task","Sprint Backlog","Critical","senior.dev@company.com","product.owner@company.com","2024-11-08","4.17","1","backend,architecture,c#","Sprint 1","Establish the complete user security context, including data storage, login, and role-based access control.","User Authentication and Authorization","EPIC-002","DICOM Management and Printing System","US-SEC-003","TASK-005","C#,.NET DI","Low","Low","Service is registered as a singleton in the DI container. The AuthenticationService populates this service upon successful login. The service exposes properties to get the current user's role.","Service implemented and unit tested.","2024-10-21T09:00:00Z","2024-10-21T09:00:00Z","2024-10-28","2024-11-08","100%","None","None","Unit tests.","Central component for managing application state related to the current user.","Provides a consistent, application-wide mechanism for accessing the current user's identity and permissions."
"TASK-010","Implement RBAC Visibility Properties in Core ViewModels","Refactor key ViewModels (e.g., `MainViewModel`, `SettingsViewModel`) to inject `IUserSessionService` and expose boolean properties like `IsAdminVisible` based on the user's role. Bind UI element visibility to these properties.","Task","Sprint Backlog","Critical","mid.dev@company.com","product.owner@company.com","2024-11-08","8.33","2","frontend,wpf,mvvm,security","Sprint 1","Establish the complete user security context, including data storage, login, and role-based access control.","User Authentication and Authorization","EPIC-002","DICOM Management and Printing System","US-SEC-003","TASK-009","WPF,MVVM","Medium","Low","The 'Administration' tab in the main window is hidden when a 'Technician' is logged in. The 'Administration' tab is visible when an 'Administrator' is logged in.","UI controls are correctly bound to ViewModel properties for visibility. A reusable pattern is established.","2024-10-21T09:00:00Z","2024-10-21T09:00:00Z","2024-10-28","2024-11-08","100%","None","None","E2E tests for both Admin and Technician roles.","Primary mechanism for enforcing UI-level permissions.","Implements the Principle of Least Privilege in the user interface."
