story_id,epic,title,user_role,description,priority,story_points,dependencies,acceptance_criteria_1,acceptance_criteria_2,acceptance_criteria_3,technical_tasks,definition_of_done
US-001,"Core Architecture & Technical Foundation",Enable Responsive Asynchronous Operations,System User,"As a System User, I want long-running tasks like printing or data processing to happen in the background, so that the user interface remains responsive and I can continue my work without interruption.",Must Have,13,"","GIVEN a user initiates a long-running task (e.g., a print job), WHEN the task is submitted, THEN the UI immediately becomes available for other actions and a non-blocking confirmation is shown.","GIVEN the background service is not running, WHEN a user tries to check the status of a background task via a feature like Printing, THEN the UI gracefully disables the action and displays a 'Service Unavailable' message.","GIVEN a background task fails processing after several retries, WHEN the failure occurs, THEN the failed task is moved to a separate dead-letter queue for administrative review and does not block other tasks.",WI-001; WI-002; WI-003; WI-004,"All ACs met and verified. Unit tests for IPC and queuing mechanisms achieve >80% coverage. A test plan confirms messages persist broker restarts and are routed to the DLQ on failure. Deployed and verified in staging."
US-002,"User Authentication & Session Management",Log in to the Application,Registered User,"As a Registered User, I want to log in with my username and password, so that I can securely access the system and its features.",Must Have,5,US-005,"GIVEN I am on the login screen with a valid account, WHEN I enter my correct username and password, THEN I am authenticated and see the main application window.","GIVEN I am on the login screen, WHEN I enter an incorrect username or password, THEN I see a generic 'Invalid username or password' error message and remain on the login screen.","GIVEN my user account has been disabled, WHEN I attempt to log in with my correct credentials, THEN I am denied access and see a message stating my account is disabled.",WI-005; WI-006,"All ACs met and verified. Unit tests for AuthenticationService achieve >80% coverage. E2E UI test for login flow is passing. Security review of BCrypt password handling complete. Deployed and verified in staging."
US-003,"User Authentication & Session Management",Secure Session with Inactivity Lock,System User,"As a System User, I want the application to automatically lock after a period of inactivity, so that Protected Health Information (PHI) is protected from unauthorized viewing on an unattended workstation.",Must Have,8,US-002,"GIVEN I am logged in and have been inactive for the configured period (default 15 minutes), WHEN the inactivity timer expires, THEN the screen is covered by a lock overlay prompting for my password.","GIVEN the session is locked, WHEN I enter my correct password, THEN the lock screen is dismissed and I can resume my work from where I left off with the application state preserved.","GIVEN the session is locked, WHEN I enter an incorrect password, THEN an error message is displayed, the password field is cleared, and the session remains locked.",WI-008; WI-009,"All ACs met and verified. Unit tests for the session lock service are passing. E2E test confirms the lock screen appears, preserves state upon unlock, and handles incorrect passwords correctly. Deployed and verified in staging."
US-004,"Role-Based Access Control (RBAC) & Administration",View Features Based on Assigned Role,System User,"As a System User, I want to only see and be able to use the features and controls relevant to my assigned role, so that the system enforces security and prevents unauthorized actions.",Must Have,5,US-002,"GIVEN I am logged in as a 'Technician', WHEN I navigate the application, THEN the 'Administration' section and 'Edit DICOM Metadata' button are hidden or disabled.","GIVEN I am logged in as an 'Administrator', WHEN I navigate the application, THEN all features, including the 'Administration' section and 'Edit DICOM Metadata' button, are visible and enabled.","GIVEN I am logged in as a 'Technician', WHEN I attempt to access an admin-only function programmatically (e.g., via a crafted request), THEN the action is denied by the system's backend business logic and the attempt is logged.",WI-010,"All ACs met and verified. Unit tests for the AuthorizationService cover all role/permission combinations. E2E tests for both Technician and Admin roles confirm the correct UI state for all major features. Deployed and verified in staging."
US-005,"Role-Based Access Control (RBAC) & Administration",Create a New User Account,Administrator,"As an Administrator, I want to create a new user account with a username, role, and a temporary password, so that I can provision system access for new staff members.",Must Have,3,"US-004, US-007, US-017","GIVEN I am on the User Management page, WHEN I create a new user with a unique username and a role, THEN the user is created and I am shown a secure temporary password for them.","GIVEN I attempt to create a user with a username that already exists, WHEN I submit the form, THEN an error message is displayed stating the username is taken, and the user is not created.","GIVEN I have successfully created a new user, WHEN I check the audit trail, THEN a 'User Created' event is logged with my username, the new user's username, and a timestamp.",WI-011,"All ACs met and verified. Unit and integration tests confirm user creation, duplicate username prevention, and audit logging. E2E test flow for creating a Technician user is passing. Deployed and verified in staging."
US-006,"Role-Based Access Control (RBAC) & Administration",Manage an Existing User's Account,Administrator,"As an Administrator, I want to edit a user's role, disable/enable their account, or delete their account, so that I can maintain access control in line with personnel changes.",Should Have,3,US-005,"GIVEN I am on the User Management page, WHEN I change a user's role from 'Technician' to 'Administrator' and save, THEN their permissions are updated and the change is logged in the audit trail.","GIVEN I am on the User Management page, WHEN I delete a user's account and confirm the action, THEN the user is permanently removed from the system and can no longer log in.","GIVEN I am on the User Management page, WHEN I view the user list, THEN the options to edit or delete my own account, or the last remaining administrator account, are disabled.",WI-011,"All ACs met and verified. Unit tests cover business rules (no self-delete, no last admin delete). E2E tests for editing a role and deleting a user are passing. Audit trail entries are verified for all actions. Deployed and verified in staging."
US-007,"User Authentication & Session Management",Set a New Password After an Admin Reset,System User,"As a System User whose password was reset by an admin, I want to be forced to create a new, private password on my next login, so that my account is immediately secured.",Must Have,5,"US-002, US-005","GIVEN my account is flagged for a password reset, WHEN I log in with the temporary password, THEN I am immediately taken to a non-dismissible 'Change Password' screen.","GIVEN I am on the 'Change Password' screen, WHEN I enter a new password that meets the system's policy, THEN my password is updated, the reset flag is cleared, and I am granted access to the main application.","GIVEN I am on the 'Change Password' screen, WHEN I attempt to close the screen or navigate away, THEN the action is blocked and I must complete the password change to proceed.",WI-007,"All ACs met and verified. Unit tests for password policy validation are passing. E2E test of the complete flow (admin reset -> user login -> forced change -> new login) is successful. Deployed and verified in staging."
US-008,"Role-Based Access Control (RBAC) & Administration",Configure System-Wide Settings,Administrator,"As an Administrator, I want to access a central settings area to configure PACS connections, data retention, password policies, and storage paths, so that I can tailor the system to my organization's operational needs and policies.",Should Have,8,US-004,"GIVEN I am on the PACS Configuration page, WHEN I enter valid AE Title, IP, and Port and click 'Verify', THEN the system performs a DICOM C-ECHO test and shows a success or failure message.","GIVEN I am on the Data Retention page, WHEN I set the auto-purge period to 5 years and save, THEN the system will schedule a background task to permanently delete studies older than 5 years.","GIVEN I am on the Password Policy page, WHEN I set the minimum password length to 14 characters and save, THEN all future user password changes must adhere to this new policy.",WI-012,"All ACs met and verified. Integration tests confirm that saving settings persists them to the database and that validation functions (e.g., C-ECHO, path writability) work correctly. Deployed and verified in staging."
US-009,"DICOM Data Management & Storage",Automatically Receive and Store Studies from Modalities,System,"As the System, I want to listen for and receive DICOM studies sent from imaging modalities (C-STORE SCP), so that new imaging data is automatically ingested and stored reliably without manual intervention.",Must Have,13,US-001,"GIVEN the background service is running, WHEN a DICOM modality sends a study via C-STORE, THEN the system accepts the study and stores the files in a temporary location.","GIVEN a study is received, WHEN the reception is complete, THEN a message is queued for a background worker which then writes the study's metadata to the database and moves the files to a permanent, structured folder path.","GIVEN multiple modalities are sending data simultaneously, WHEN the system is under high load, THEN it can process at least 10 concurrent associations without data loss and without impacting the responsiveness of the client UI.",WI-013; WI-014; WI-016,"All ACs met and verified. Integration tests with a DICOM test tool (SCU) confirm successful C-STORE operations. Performance testing validates the system meets the concurrent association target. Deployed and verified in staging."
US-010,"DICOM Data Management & Storage",Query and Retrieve Studies from a Remote PACS,Technician,"As a Technician, I want to search for studies on a remote PACS and retrieve them to my local system, so that I can view or work with prior imaging for a patient.",Should Have,5,"US-008, US-009","GIVEN I am on the PACS Query screen, WHEN I enter a Patient ID and search against a configured PACS, THEN a list of matching studies from the remote PACS is displayed.","GIVEN a list of search results is displayed, WHEN I select one or more studies and click 'Retrieve', THEN the system initiates a C-MOVE request to import the studies into the local system.","GIVEN a retrieval is in progress, WHEN I view the UI, THEN I can see the real-time status of the transfer, including progress notifications (e.g., images remaining) and a final success or failure message.",WI-015,"All ACs met and verified. Integration testing against a test PACS server confirms C-FIND and C-MOVE functionality. The UI is verified to be asynchronous and provide status feedback. Deployed and verified in staging."
