task_id,task_name,primary_skill,secondary_skill,complexity_level,estimated_hours,required_experience,team_size,dependencies,critical_path,resource_notes,alternative_approach
TASK-001,"Design and Document Solution Architecture",Backend Development,Software Architecture,Medium,12,Lead,1,"",Yes,"Foundational task defining the entire system structure. Requires a holistic view of .NET Clean Architecture.",Start with a template and document decisions retroactively; higher risk of rework.
TASK-002,"Scaffold .NET 8 Solution and Project Structure",Backend Development,.NET CLI,Low,16,Mid,1,TASK-001,Yes,"Standard scaffolding task. Ensure project references align with the architecture document.",Use a pre-built solution template (e.g., Jason Taylor's Clean Architecture template).
TASK-003,"Install and Configure Core NuGet Packages",Backend Development,NuGet,Low,17,Mid,1,TASK-002,Yes,"Routine dependency management. Pay attention to version compatibility and licensing.",Create a central Directory.Packages.props file for easier version management across the solution.
TASK-004,"Define `IMessageBus` Abstraction and Core Contracts",Backend Development,Software Architecture,Medium,12,Senior,1,TASK-002,Yes,"Critical abstraction for decoupling services. Requires forward-thinking design.",Use a library like MassTransit or NServiceBus which provides these abstractions out-of-the-box.
TASK-005,"Implement Resilient RabbitMQ Connection Manager",Backend Development,RabbitMQ.Client,High,35,Senior,1,TASK-003,Yes,"Complex implementation requiring deep knowledge of RabbitMQ client lifecycle and async/retry patterns.","Use a library with built-in resilience policies, like Polly, to simplify retry logic."
TASK-006,"Implement `RabbitMqPublisher` Service",Backend Development,RabbitMQ.Client,Medium,25,Mid,1,"TASK-004,TASK-005",Yes,"Implements the core message publishing logic. Must correctly handle channel management and message properties.",Use a higher-level abstraction library like MassTransit to handle publishing complexities.
TASK-007,"Implement WPF Application Shell with Generic Host and DI",Frontend Development,WPF,Medium,24,Mid,1,TASK-002,Yes,Establishes the foundational structure for the entire client application.,Use a simpler DI container if Microsoft.Extensions.Hosting proves too heavyweight for the client.
TASK-008,"Implement Windows Service Host with Generic Host",Backend Development,Microsoft.Extensions.Hosting,Medium,20,Mid,1,TASK-002,Yes,Sets up the core background service process and DI container.,Use a more lightweight hosting model like Topshelf if generic host is overly complex for the needs.
TASK-009,"Implement RabbitMQ Topology Configuration Service",DevOps,RabbitMQ,High,33,Senior,1,TASK-005,Yes,"Requires detailed knowledge of RabbitMQ exchanges, queues, and bindings. Critical for system reliability.","Manually configure topology via RabbitMQ management UI for simpler environments, but this is not scalable or repeatable."
TASK-010,"Implement Generic RabbitMQ Consumer Hosted Service",Backend Development,Microsoft.Extensions.Hosting,High,48,Senior,1,"TASK-005,TASK-008",Yes,"Core component for all background processing. Must be robust, handling message acknowledgement and error scenarios gracefully.","Use a library like MassTransit that provides a consumer hosting model, reducing boilerplate code."
TASK-011,"Implement Named Pipe Server in Windows Service",Backend Development,.NET IPC,High,35,Senior,1,TASK-008,Yes,"Requires understanding of multithreading and System.IO.Pipes for low-level inter-process communication.",Use a higher-level IPC mechanism like gRPC or SignalR if Named Pipes prove too complex.
TASK-012,"Implement Named Pipe Client in WPF Application",Frontend Development,.NET IPC,Medium,25,Mid,1,TASK-007,Yes,"Client-side implementation of IPC. Must handle connection failures and timeouts cleanly to avoid locking up the UI.",Use a simple file-based flag system for a less reliable but simpler status check.
TASK-013,"Integration Test: IPC Communication",Quality Assurance,Test Automation,High,48,Senior,1,"TASK-006,TASK-010,TASK-011,TASK-012",Yes,"Complex test setup coordinating multiple processes. Requires Testcontainers for managing RabbitMQ dependency.",Rely on manual end-to-end testing, which is slow and not easily repeatable.
TASK-014,"Define User, Role, PasswordHistory EF Core Entities",Backend Development,EF Core,Low,17,Mid,1,TASK-002,Yes,Standard database entity creation task based on the ERD.,Use a micro-ORM like Dapper for simpler data access if EF Core is not required for other features.
TASK-015,"Configure `DicomAppDbContext` for User Management",Backend Development,EF Core,Low,15,Mid,1,TASK-014,Yes,"Standard EF Core DbContext setup. Attention to detail needed for Fluent API configuration.",Rely on default conventions and data annotations, which provides less control than the Fluent API.
TASK-016,"Generate and Apply Initial User Management DB Migration",DevOps,EF Core,Low,9,Junior,1,TASK-015,Yes,Routine EF Core migration task.,Manage schema changes with raw SQL scripts, which is more error-prone and less maintainable.
TASK-017,"Implement Password Hashing Service using BCrypt.Net-Next",Backend Development,Security,Medium,17,Senior,1,TASK-003,Yes,"Critical security task. Requires careful implementation to avoid vulnerabilities.",Use ASP.NET Core Identity's built-in password hasher, but this may introduce unwanted dependencies.
TASK-018,"Implement `IUserRepository` for Data Access",Backend Development,EF Core,Low,16,Mid,1,TASK-015,Yes,"Standard repository pattern implementation for data abstraction.",Use the DbContext directly in service layers, which tightly couples business logic to the data access technology.
TASK-019,"Implement `AuthenticationService` Business Logic",Backend Development,Security,Medium,24,Senior,1,"TASK-017,TASK-018",Yes,"Core security logic. Must handle all authentication scenarios securely without leaking information.",Use a third-party identity provider (e.g., IdentityServer, Auth0) for more complex authentication needs.
TASK-020,"Implement Central `AuthorizationService`",Backend Development,Software Architecture,Medium,24,Senior,1,TASK-019,Yes,"Core authorization component. Design must be flexible to handle future permission requirements.",Implement authorization checks directly within ViewModels and services, leading to scattered and duplicated logic.
