story_id,epic,title,user_role,description,priority,story_points,dependencies,acceptance_criteria_1,acceptance_criteria_2,acceptance_criteria_3,technical_tasks,definition_of_done
US-001,User Authentication & Session Management,User Login with Credentials,Registered System User,"As a Registered System User, I want to securely log in to the application using my unique username and password so that I can gain access to the system and use the features authorized for my specific role.",Must Have,8,US-008,"Given a user has valid and active credentials, When they enter their correct username and password and click 'Login', Then the system validates the credentials and displays the main application window with role-appropriate features.","Given a user enters a valid username but an incorrect password, When they click 'Login', Then the system displays a generic error message 'Invalid username or password' and the session is not started.","Given a user attempts to log in with a disabled account, When they enter their correct credentials, Then the system displays an error message 'Your account has been disabled. Please contact an administrator' and prevents login.",WI-009; WI-010; WI-011; WI-012; WI-013,"All acceptance criteria are met and have been validated. Code has been peer-reviewed. Unit and integration tests for the authentication service are passing with >80% coverage. A security review of the password handling has been completed. The feature has been deployed and verified in a staging environment."
US-002,Role-Based Access Control (RBAC) & Security,Role-Based Feature Access,System User,"As a System User, I want the application's features and UI controls to be enabled, disabled, or hidden based on my assigned role, so that I only see and can perform actions I am authorized for.",Must Have,8,US-001,"Given a user is logged in with the 'Technician' role, When they navigate the application, Then the 'Administration' section and the 'Edit DICOM Metadata' button are hidden or disabled.","Given a user is logged in with the 'Administrator' role, When they navigate the application, Then all features, including the 'Administration' section and 'Edit DICOM Metadata' button, are visible and enabled.","Given a 'Technician' user attempts to programmatically call an admin-only backend service method, When the call is made, Then the service rejects the request with an 'UnauthorizedAccessException' and the action is not performed.",WI-017; WI-018; WI-019,"All acceptance criteria are met. The authorization framework is implemented and applied to all relevant UI controls and backend services. Unit tests for the AuthorizationService are passing. E2E tests confirm correct UI state for both 'Technician' and 'Admin' roles. The feature is verified in a staging environment."
US-003,User Authentication & Session Management,Automatic Session Lock After Inactivity,System User,"As a System User, I want the application to automatically lock itself after a period of inactivity, so that sensitive Protected Health Information (PHI) is protected from unauthorized viewing on an unattended workstation.",Must Have,5,US-001,"Given a user is logged into the application, When the user performs no keyboard or mouse actions for 15 minutes, Then a modal lock screen is displayed, obscuring the entire application and prompting for a password.","Given a user is logged in, When the user performs any keyboard or mouse action within the application, Then the 15-minute inactivity timer is reset.","Given the session has locked due to inactivity while a study was open, When the session is later unlocked, Then the application state, including the open study and viewer settings, is perfectly preserved.",WI-014; WI-015,"All acceptance criteria are met. The activity monitor has a negligible performance impact. The session lock is triggered reliably after the configured timeout. The lock screen correctly overlays all application windows. The feature is verified in a staging environment."
US-004,User Authentication & Session Management,Unlock Session with Password,System User,"As a user whose session is locked, I want to re-enter my password to unlock the application, so that I can securely resume my work from exactly where I left off.",Must Have,5,US-003,"Given the application is locked, When the user enters their correct password and clicks 'Unlock', Then the lock screen is removed and the user can resume interaction with the application in its previous state.","Given the application is locked, When the user enters an incorrect password, Then an error message 'Invalid password' is displayed, the password field is cleared, and the session remains locked.","Given the application is locked after 4 failed unlock attempts, When the user enters an incorrect password for the 5th time, Then the user's session is terminated and the application returns to the main login screen.",WI-016,"All acceptance criteria are met. Successful and failed unlock attempts are logged to the audit trail. The application state is correctly restored after a successful unlock. The session termination on multiple failures is functioning correctly. The feature is verified in a staging environment."
US-005,User & System Administration,Forced Password Change After Reset,System User,"As a user whose password was reset by an admin, I want to be forced to create a new password upon my next login, so that my account is immediately secured with credentials known only to me.",Should Have,5,US-011,"Given a user logs in with a temporary password, When the authentication is successful, Then they are immediately directed to a non-dismissible 'Change Password' screen instead of the main application.","Given a user is on the forced 'Change Password' screen, When they enter a new password that meets the system's password policy, Then the password is updated, the temporary flag is cleared, and they are redirected to the main application.","Given a user is on the forced 'Change Password' screen, When they attempt to close the window or navigate elsewhere, Then the action is prevented and they remain on the 'Change Password' screen until a valid new password is set.",WI-024,"All acceptance criteria are met. The user is unable to bypass the password change screen. The new password is validated against the configured policy. Upon successful change, the temporary password is no longer valid. The feature is verified in a staging environment."
US-006,Role-Based Access Control (RBAC) & Security,Secure Data and Secrets Management,Administrator,"As an Administrator, I want the system to encrypt sensitive patient data in the database and store application secrets securely in the operating system, so that we comply with HIPAA and security best practices for protecting data at rest.",Must Have,13,US-001,"Given the application saves patient information to the database, When the database is inspected directly, Then all columns containing Protected Health Information (PHI) are encrypted via pgcrypto.","Given the application needs to connect to the database, When it starts up, Then it retrieves the database password from the secure Windows Credential Manager, not from a plaintext configuration file.","Given the installer runs a prerequisite check, When it tests the PostgreSQL connection, Then it must also verify that the `pgcrypto` extension is enabled on the target database before allowing the installation to complete.",WI-020; WI-021,"All acceptance criteria are met. A security review confirms that no secrets are stored in plaintext in config files or source code. Penetration testing confirms PHI columns in the database are unreadable without the decryption key. The installer prerequisite check functions correctly. The feature is verified in a staging environment."
US-007,User & System Administration,Admin Manages PACS Configuration,Administrator,"As an Administrator, I want to add, edit, delete, and verify remote PACS server configurations, so that our users can query and retrieve studies from external systems.",Should Have,5,US-002,"Given I am logged in as an Administrator in the 'Administration' section, When I navigate to the PACS configuration page, Then I can see a list of currently configured remote PACS servers.","Given I am on the PACS configuration page, When I add or edit a PACS entry with its AE Title, IP Address, and Port and click 'Save', Then the configuration is persisted.","Given I have selected a configured PACS server, When I click the 'Verify' button, Then the system performs a DICOM C-ECHO test asynchronously and displays a success or failure notification.",WI-026,"All acceptance criteria are met. The CRUD operations for PACS configuration are fully functional. The C-ECHO verification provides accurate feedback without blocking the UI. The configuration is successfully used by the Query/Retrieve feature. The feature is verified in a staging environment."
US-008,User & System Administration,Admin Creates a New User Account,Administrator,"As an Administrator, I want to create a new user account with a username, role, and a system-generated temporary password, so that I can provision access for new staff members.",Must Have,5,US-002; US-031,"Given I am an Administrator on the 'User Management' page, When I click 'Add User', enter a unique username, select a role, and confirm, Then a new user is created and a success notification displays the temporary password.","Given a new user account is created, When the user record is inspected in the database, Then it has a correctly hashed password and a flag is set to force a password change on their next login.","Given an attempt is made to create a user with a username that already exists, When the creation is submitted, Then the system prevents it and displays an error message 'Username already exists'.",WI-022; WI-023,"All acceptance criteria are met. The user creation is recorded in the audit trail. The temporary password and forced change flag function as expected. The uniqueness constraint on usernames is enforced. The feature is verified in a staging environment."
US-009,User & System Administration,Admin Edits a User's Role and Status,Administrator,"As an Administrator, I want to edit an existing user's role or account status (enabled/disabled), so that I can manage their permissions and access as their responsibilities change.",Should Have,3,US-008,"Given I am an Administrator on the 'User Management' page, When I select a user and change their role from 'Technician' to 'Administrator', Then their permissions are updated for their next session.","Given I am an Administrator on the 'User Management' page, When I disable a user's account, Then that user is immediately prevented from logging in.","Given I am an Administrator, When I attempt to edit my own role or status, or disable the last remaining administrator account, Then the system prevents the action and displays an explanatory error message.",WI-022; WI-023,"All acceptance criteria are met. All user modification events are recorded in the audit trail. Business rules preventing self-modification and last-admin disabling are enforced. A disabled user is unable to authenticate. The feature is verified in a staging environment."
US-010,User & System Administration,Admin Deletes a User Account,Administrator,"As an Administrator, I want to permanently delete a user account, so that I can revoke access for personnel who are no longer with the organization.",Should Have,2,US-008,"Given I am an Administrator on the 'User Management' page, When I select a user and click 'Delete' and confirm the action, Then the user account is permanently removed from the system.","Given a user account has been deleted, When the former user attempts to log in, Then access is denied with the standard 'Invalid username or password' message.","Given I am an Administrator, When I view the user list, Then the 'Delete' option for my own account and for the last remaining administrator account is disabled.",WI-022; WI-023,"All acceptance criteria are met. The user deletion event is recorded in the audit trail. The business rules preventing self-deletion and last-admin deletion are enforced. The feature is verified in a staging environment."
