"task_id","title","description","type","status","priority","assignee","reporter","due_date","estimated_hours","story_points","labels","sprint","sprint_goal","epic","epic_id","project","parent_id","dependencies","skills_required","complexity","risk_level","acceptance_criteria","definition_of_done","created_at","updated_at","sprint_start_date","sprint_end_date","capacity_allocation","collaboration_required","external_dependencies","testing_requirements","deployment_notes","business_value"
"TASK-001","Scaffold .NET Solution and Project Structure (Clean Architecture)","Create the main .sln file and scaffold projects for DMPS.Client (WPF), DMPS.Service (Windows Service), DMPS.Core (Domain), DMPS.Application (Services), DMPS.Infrastructure (Persistence/Messaging), and associated xUnit test projects, targeting .NET 8.","Task","Sprint Backlog","Critical","senior.dev1@company.com","product.owner@company.com","2024-11-01","6","2","architecture,setup,dotnet","Sprint 1","Establish the core solution architecture and implement the secure, encrypted database persistence layer.","Core Architecture & Solution Setup","EPIC-001","DICOM Management & Printing System","US-000","",".NET 8,Visual Studio 2022","Low","Low","Solution contains all specified projects. Project references are correctly configured according to Clean Architecture principles. The entire solution builds successfully without errors.","Code reviewed; Solution builds in CI pipeline; Project structure approved.","2024-10-21T09:00:00Z","2024-10-21T09:00:00Z","2024-10-21","2024-11-01","100%","None","None","Successful build verification.","Foundation for all subsequent development.","Ensures maintainability, scalability, and consistency for the entire project."
"TASK-002","Configure Generic Host and DI for WPF Client and Windows Service","Implement `IHost` builders for both the WPF client (`App.xaml.cs`) and the Windows Service (`Program.cs`) using `Microsoft.Extensions.Hosting` to manage application lifetime and service dependency injection.","Task","Sprint Backlog","Critical","senior.dev1@company.com","product.owner@company.com","2024-11-01","8.33","2","architecture,di,dotnet","Sprint 1","Establish the core solution architecture and implement the secure, encrypted database persistence layer.","Core Architecture & Solution Setup","EPIC-001","DICOM Management & Printing System","US-000","TASK-001",".NET 8,Microsoft.Extensions.Hosting,Microsoft.Extensions.DependencyInjection","Medium","Low","WPF application's `App.xaml.cs` successfully builds and uses a DI container. Windows Service's `Program.cs` is configured as a hosted service. A sample service can be registered and resolved in both applications at startup.","Code reviewed; Sample service can be resolved in both client and service; Unit tests pass.","2024-10-21T09:00:00Z","2024-10-21T09:00:00Z","2024-10-21","2024-11-01","100%","None","None","Unit testing for DI configuration.","Enables dependency injection for all future services.","Decouples components and improves testability and maintainability."
"TASK-003","Implement Serilog with PHI Redaction Enricher","Configure Serilog for structured logging to a rolling file and the Windows Event Log. Develop a custom Serilog enricher to identify and redact PHI (e.g., Patient Name, Patient ID) from all log messages before they are written to sinks.","Task","Sprint Backlog","Critical","senior.dev2@company.com","product.owner@company.com","2024-11-01","12","3","architecture,logging,security,hipaa","Sprint 1","Establish the core solution architecture and implement the secure, encrypted database persistence layer.","Core Architecture & Solution Setup","EPIC-001","DICOM Management & Printing System","US-000","TASK-002","Serilog,C# 12,Regular Expressions","Medium","High","Logs are successfully written to both the rolling file and the Windows Event Log. The custom enricher correctly masks known PHI patterns in log messages. Log configuration is managed through the DI host builder.","Code reviewed; Unit tests for enricher pass with 100% coverage; Manual inspection of log files confirms redaction; Security review passed.","2024-10-21T09:00:00Z","2024-10-21T09:00:00Z","2024-10-21","2024-11-01","100%","Security Lead for review","None","Unit tests for redaction logic; Security testing.","Critical for HIPAA compliance.","Ensures compliance and protects sensitive patient data in logs."
"TASK-026","Configure EF Core DbContext for PostgreSQL with Secure Connection","Set up the `DicomAppDbContext` and `AuditDbContext`. Implement connection string handling to read secrets (password) from Windows Credential Manager and enforce TLS (`SslMode=Require`) for all database connections.","Task","Sprint Backlog","Critical","mid.dev1@company.com","product.owner@company.com","2024-11-01","10","3","database,security,efcore,postgresql","Sprint 1","Establish the core solution architecture and implement the secure, encrypted database persistence layer.","Database and Persistence","EPIC-003","DICOM Management & Printing System","US-010","TASK-002","Entity Framework Core 8,PostgreSQL,C#","Medium","Medium","The DbContext is registered in the DI container. Application successfully connects to a PostgreSQL instance requiring TLS. The database password is not present in source-controlled files.","Code reviewed; Integration test confirms successful TLS connection; Security scan validates no hardcoded secrets.","2024-10-21T09:00:00Z","2024-10-21T09:00:00Z","2024-10-21","2024-11-01","100%","None","TLS-enabled PostgreSQL server","Integration testing against a secure PostgreSQL instance.","Requires Windows Credential Manager setup on deployment target.","Secures data in transit between the application and the database."
"TASK-027","Implement pgcrypto Column Encryption in EF Core","Configure EF Core to use `pgp_sym_encrypt`/`pgp_sym_decrypt` for all columns containing PHI. This will likely require creating custom EF Core Value Converters or interceptors and managing the encryption key securely via the CredentialManagerService.","Task","Sprint Backlog","Critical","senior.dev2@company.com","product.owner@company.com","2024-11-01","14.33","5","database,security,efcore,postgresql,encryption,hipaa","Sprint 1","Establish the core solution architecture and implement the secure, encrypted database persistence layer.","Database and Persistence","EPIC-003","DICOM Management & Printing System","US-010","TASK-026","Entity Framework Core 8,PostgreSQL,SQL,Cryptography Concepts","High","High","Data written to a PHI column is stored as encrypted bytes in the database. Data read from a PHI column via EF Core is transparently decrypted in the application. Direct database queries confirm the data is encrypted at rest.","Code reviewed; Integration tests verify transparent encryption/decryption; Direct DB inspection confirms data is encrypted; Security review passed.","2024-10-21T09:00:00Z","2024-10-21T09:00:00Z","2024-10-21","2024-11-01","100%","Security Lead for review","PostgreSQL server with pgcrypto extension enabled.","Integration tests and manual database verification.","Requires pgcrypto extension on production database.","Secures sensitive patient data at rest, a critical HIPAA requirement."
"TASK-005","Define User, Role, and PasswordHistory EF Core Entities","Create C# entity classes for `User`, `Role`, and `PasswordHistory`. Configure relationships and properties (e.g., password hash, status flags) using data annotations or Fluent API according to the ERD.","Task","Sprint Backlog","Critical","mid.dev1@company.com","product.owner@company.com","2024-11-15","6","2","database,efcore,authentication","Sprint 2","Implement the complete user login and role-based access control (RBAC) systems.","User Authentication & Authorization","EPIC-002","DICOM Management & Printing System","US-001","TASK-026","Entity Framework Core 8,C#","Low","Low","Entity classes are defined in the DMPS.Core project. Relationships (User-Role, User-PasswordHistory) are correctly configured. The entities are added to the `DicomAppDbContext`.","Code reviewed; Entities added to DbContext; Successful compilation.","2024-10-21T09:00:00Z","2024-10-21T09:00:00Z","2024-11-04","2024-11-15","100%","None","None","Code compilation and review.","Foundation for user data model.","Defines the data structure for user authentication and authorization."
"TASK-006","Create and Seed Initial EF Core Migration for User Schema","Use `dotnet ef migrations add` to generate the SQL script for creating the `Users`, `Roles`, and `PasswordHistory` tables. Add seed data to the migration to create the default 'Administrator' and 'Technician' roles.","Task","Sprint Backlog","Critical","mid.dev1@company.com","product.owner@company.com","2024-11-15","3.17","1","database,efcore,migrations","Sprint 2","Implement the complete user login and role-based access control (RBAC) systems.","User Authentication & Authorization","EPIC-002","DICOM Management & Printing System","US-001","TASK-005","Entity Framework Core 8,.NET CLI","Low","Low","The EF Core migration is successfully generated. Applying the migration to a clean database creates the required tables. The `Roles` table is populated with 'Administrator' and 'Technician' entries.","Migration file generated; Applying migration to test DB is successful.","2024-10-21T09:00:00Z","2024-10-21T09:00:00Z","2024-11-04","2024-11-15","100%","None","None","Database schema verification.","Prepares the database for user data.","Establishes the necessary database schema for user management."
"TASK-007","Implement BCrypt Password Hashing Service","Create an `IPasswordHasher` service that abstracts the BCrypt.NET library. Implement `HashPassword` and `VerifyPassword` methods. Register it as a singleton in the DI container.","Task","Sprint Backlog","Critical","senior.dev1@company.com","product.owner@company.com","2024-11-15","5.33","2","security,authentication,backend","Sprint 2","Implement the complete user login and role-based access control (RBAC) systems.","User Authentication & Authorization","EPIC-002","DICOM Management & Printing System","US-001","TASK-002","C#,Security Best Practices","Medium","High","`HashPassword` returns a valid BCrypt hash string. `VerifyPassword` returns true for a correct password and false for an incorrect one. The service is registered in DI and injectable.","Code reviewed; Unit tests pass with 100% coverage; Security review passed.","2024-10-21T09:00:00Z","2024-10-21T09:00:00Z","2024-11-04","2024-11-15","100%","Security Lead for review","None","Unit testing and security review.","Critical security component for password storage.","Ensures user passwords are stored securely and not in plaintext."
"TASK-008","Develop Login View and ViewModel","Create the WPF `LoginView.xaml` using Material Design in XAML components. Implement `LoginViewModel.cs` to handle data binding for username/password, command for the login button, and display of error messages.","Task","Sprint Backlog","Critical","mid.dev2@company.com","product.owner@company.com","2024-11-15","12","3","frontend,wpf,mvvm,ui","Sprint 2","Implement the complete user login and role-based access control (RBAC) systems.","User Authentication & Authorization","EPIC-002","DICOM Management & Printing System","US-001","TASK-002","WPF,XAML,MVVM,Material Design in XAML","Medium","Low","The UI contains fields for username and password, and a login button. Password input is masked. The login button's command is wired to the ViewModel. A designated area for error messages is present.","UI/UX review passed; ViewModel is data-bound to the view; Basic interaction is functional.","2024-10-21T09:00:00Z","2024-10-21T09:00:00Z","2024-11-04","2024-11-15","100%","None","None","UI interaction testing.","Entry point for the application.","Provides the user interface for authentication."
"TASK-009","Implement Authentication Service Logic","Create the `AuthenticationService` that orchestrates the login process. It will use the UserRepository to fetch user data and the `IPasswordHasher` service to verify credentials. It must handle all login scenarios: success, user not found, wrong password, disabled account.","Task","Sprint Backlog","Critical","senior.dev1@company.com","product.owner@company.com","2024-11-15","14.33","5","backend,authentication,security","Sprint 2","Implement the complete user login and role-based access control (RBAC) systems.","User Authentication & Authorization","EPIC-002","DICOM Management & Printing System","US-001","TASK-006,TASK-007","C#,Entity Framework Core 8,Asynchronous Programming","Medium","Medium","The service returns a user session object on successful authentication. The service throws a specific, handled exception for failed login attempts. The error for 'user not found' is indistinguishable from 'wrong password'.","Code reviewed; Integration tests cover all authentication scenarios; Security review of logic passed.","2024-10-21T09:00:00Z","2024-10-21T09:00:00Z","2024-11-04","2024-11-15","100%","None","None","Integration testing against a test database.","Core service for application access control.","Implements the business logic for verifying user credentials."
