story_id,epic,title,user_role,description,priority,story_points,dependencies,acceptance_criteria_1,acceptance_criteria_2,acceptance_criteria_3,technical_tasks,definition_of_done
"TS-001","Core Application Architecture & Setup","Establish Solution Foundation and IPC","Developer","As a Developer, I need the solution and project structure to be created with Dependency Injection and Inter-Process Communication (IPC) frameworks configured, so that there is a clean, maintainable, and decoupled foundation for building application features.","Must Have","13","","Given the project requires a client-server architecture, When the solution is scaffolded, Then it must contain separate projects for Client, Service, Core, Application, Infrastructure, and Persistence, all building successfully.","Given the client and service need to communicate, When the IPC infrastructure is built, Then reliable asynchronous messaging (RabbitMQ) and synchronous status checks (Named Pipes) are available as injectable services.","Given services need to be managed throughout the application, When Dependency Injection is configured, Then both the WPF Client and Windows Service have a DI container set up at their entry points to resolve dependencies.","WI-001, WI-002, WI-003, WI-004","All projects are created and build successfully. DI is configured in both client and service. RabbitMQ and Named Pipe infrastructure services are implemented and unit-tested. Code is reviewed and merged to the main branch."
"US-101","Security & Compliance","Log In to the Application","Registered User","As a Registered User, I want to securely log in with my username and password, so that I can access the application's features based on my role.","Must Have","8","TS-001","Given I am on the login screen with a valid active account, When I enter my correct username and password and click 'Login', Then the main application window is displayed with features enabled for my role.","Given I am on the login screen, When I enter a correct username but an incorrect password, Then a generic 'Invalid username or password.' error is shown and the password field is cleared.","Given my user account has been disabled by an administrator, When I enter my correct username and password, Then an error message 'Your account has been disabled. Please contact an administrator.' is displayed and I am denied access.","WI-005, WI-006, WI-007","User & Role data models are created in EF Core. BCrypt is used for password hashing. A login UI and ViewModel are created that use an AuthenticationService. All AC are met and E2E tests for login success, failure, and disabled account scenarios are passing."
"US-102","Security & Compliance","Access Features Based on Role","System User","As a System User, I want the application's UI and features to be restricted based on my assigned role (Technician or Administrator), so that I can only perform authorized actions, ensuring security.","Must Have","8","US-101","Given I am logged in as a 'Technician', When I navigate the application, Then the 'Administration' area and the 'Edit DICOM Metadata' button must be hidden or disabled.","Given I am logged in as an 'Administrator', When I navigate the application, Then I have access to all features, including the 'Administration' area and 'Edit DICOM Metadata'.","Given a 'Technician' attempts to programmatically access an admin-only function, When the action is invoked, Then the request is rejected by the backend with an authorization error.","WI-008","An AuthorizationService is created to check the current user's role. ViewModels bind UI element visibility/enabled state to the authorization service. Unit tests verify the service logic, and E2E tests confirm the UI state for both Technician and Admin roles."
"US-103","System Administration & Configuration","Create a New User Account","Administrator","As an Administrator, I want to create a new user account with a username, role, and a system-generated temporary password, so that I can provision access for new staff members.","Must Have","5","US-102, US-107","Given I am an Admin on the 'User Management' page, When I fill out the new user form with a unique username and role and click 'Create', Then the new user appears in the list and a success notification displays their temporary password.","Given a new user is created, When that user logs in for the first time with the temporary password, Then they are immediately forced to create a new, permanent password.","Given I have created a new user, When I check the audit trail, Then a 'User Created' event is logged with my user ID, the new user's name, and a timestamp.","WI-021, WI-009","A User Management UI is created. The backend logic enforces unique usernames and generates secure temporary passwords. The user creation action and the audit log entry are created within a single database transaction. All AC are met."
"US-104","System Administration & Configuration","Edit a User's Role or Status","Administrator","As an Administrator, I want to edit an existing user's role or disable their account, so that I can manage user permissions and revoke access when necessary.","Must Have","5","US-102, US-107","Given I am an Admin on the 'User Management' page, When I edit a user and change their role from 'Technician' to 'Administrator' and save, Then the user's role is updated in the UI and the change is logged in the audit trail.","Given I am an Admin on the 'User Management' page, When I edit a user and set their account status to 'Disabled', Then that user can no longer log in to the application.","Given there is only one Administrator account left in the system, When I attempt to change that user's role or disable the account, Then the action is prevented with an error message.","WI-021, WI-009","The User Management UI allows editing of user role and status. Backend logic prevents disabling/demoting the last administrator. All changes are recorded in the audit trail atomically with the user update. All AC are met."
"US-105","System Administration & Configuration","Delete a User Account","Administrator","As an Administrator, I want to permanently delete a user account, so that I can irrevocably remove a former employee's access in line with security policies.","Must Have","3","US-102, US-107","Given I am an Admin on the 'User Management' page, When I select a user, click 'Delete', and confirm the action, Then the user is permanently removed from the system and no longer appears in the user list.","Given I attempt to delete my own user account, When I locate my entry in the user list, Then the 'Delete' option is disabled.","Given I have deleted a user, When I check the audit trail, Then a 'User Deleted' event is logged with my user ID and the deleted user's username.","WI-021, WI-009","The User Management UI provides a delete function with confirmation. Backend logic prevents self-deletion. The user deletion and audit log creation are performed in a single transaction. All AC are met."
"US-106","System Administration & Configuration","Reset a User's Password","Administrator","As an Administrator, I want to reset a user's password, so that I can restore their access if they have forgotten their credentials.","Must Have","5","US-102, US-107","Given I am an Admin on the 'User Management' page, When I select a user and click 'Reset Password', Then a new temporary password is generated and displayed to me in a success notification.","Given a user's password has been reset, When they log in with the temporary password, Then they are immediately forced to set a new permanent password before proceeding.","Given I have reset a user's password, When I check the audit trail, Then a 'Password Reset' event is logged for that user.","WI-021, WI-009","The User Management UI provides a password reset function. The backend logic generates a secure temporary password and flags the user account to force a change on next login. The action is audited. All AC are met."
"US-107","Security & Compliance","View and Export Audit Trail","Administrator","As an Administrator, I want to view a log of all significant system events, with the ability to filter and export, so that I can investigate security incidents and ensure compliance.","Must Have","8","US-102","Given I am an Admin in the 'Administration' area, When I open the 'Audit Trail' viewer, Then I see a time-ordered list of events like user logins, user creations, and metadata changes.","Given the audit trail is displayed, When I apply a filter for a specific user and date range, Then the list updates to show only the matching log entries.","Given I have filtered the audit log, When I click the 'Export to CSV' button, Then a CSV file containing the currently displayed log entries is generated for download.","WI-009","An AuditLog entity and service are created to persist events. An 'Audit Trail' view is created in the WPF client, available only to Admins. The view provides filtering by user/date and an export-to-CSV function. All AC are met."
"US-108","Security & Compliance","Ensure Data is Securely Stored","System Owner","As the System Owner, I want all Protected Health Information (PHI) in the database to be encrypted and all application secrets to be stored securely, so that we are compliant with HIPAA and protected against data breaches.","Must Have","13","US-101","Given the application is configured to connect to the PostgreSQL database, When data is written to a PHI-designated column (e.g., Patient Name), Then the data is stored in an encrypted format within the database using pgcrypto.","Given the application needs to connect to the database, When the application starts, Then it retrieves the database password from the secure Windows Credential Manager, not from a plaintext config file.","Given the application connects to PostgreSQL, When the connection is established, Then it must use TLS encryption (`SslMode=Require`).","WI-010, WI-011","EF Core is configured to use value converters for pgcrypto functions on PHI columns. An infrastructure service is created to read/write secrets to the Windows Credential Manager. The database connection string is configured to require TLS. All AC are verified."
"US-109","DICOM Core Functionality","Receive and Ingest DICOM Studies","Technician","As a Technician, I want the system to automatically receive and store studies sent from our imaging modalities, so that new imaging data is available for viewing quickly and reliably, even under heavy load.","Must Have","13","TS-001","Given the system is running, When an external modality sends a study via DICOM C-STORE, Then the DICOM files are saved and their metadata is persisted to the database.","Given multiple modalities are sending studies simultaneously, When studies are being received, Then the system remains responsive and successfully processes all incoming studies without data loss.","Given a study is successfully received, When I search for the patient, Then the new study appears in the study list, ready for viewing.","WI-012, WI-013","A C-STORE SCP listener is implemented in the Windows Service using `fo-dicom`. It decouples file reception from database persistence by publishing metadata to a RabbitMQ queue. A separate consumer processes this queue and writes to PostgreSQL. E2E tests verify data integrity from C-STORE to database."
