task_id,task_name,primary_skill,secondary_skill,complexity_level,estimated_hours,required_experience,team_size,dependencies,critical_path,resource_notes,alternative_approach
US-F01,"Establish Core Application Structure",Backend Development,"Frontend Development, DevOps",High,32,Senior,1,"",Yes,"Establishes the foundational structure, DI, and hosting for both WPF and Windows Service. This is a critical path for all subsequent development.",""
TASK-001,"Create Solution and Scaffold Core Projects",Backend Development,.NET,Low,6,Mid,1,US-F01,Yes,"Foundational task to set up the .NET 8 solution and project structure. Blocker for all other code-related tasks.",""
TASK-002,"Configure Dependency Injection Host for WPF Client",Frontend Development,"Backend Development, .NET",Medium,8.33,Mid,1,"US-F01,TASK-001",Yes,"Critical for enabling a modular and testable WPF client architecture from the start.",""
TASK-003,"Configure Dependency Injection Host for Windows Service",Backend Development,"DevOps, .NET",Medium,8.33,Mid,1,"US-F01,TASK-001",Yes,"Critical for enabling a modular and testable Windows Service architecture from the start.",""
US-F02,"Implement Asynchronous Messaging Backbone",DevOps,"Backend Development, RabbitMQ",High,46.33,Senior,1,"",Yes,"Core architectural task to enable all asynchronous workflows. Requires deep RabbitMQ knowledge, including durability and dead-lettering patterns.",""
TASK-005,"Implement RabbitMQ Connection Management Service",DevOps,"Backend Development, RabbitMQ",Medium,8.67,Senior,1,"US-F02,TASK-001",Yes,"Requires senior-level experience to implement resilient, auto-reconnecting service. Blocker for all RabbitMQ-dependent tasks. See RISK-011.",""
TASK-006,"Implement Generic RabbitMQ Message Publisher",Backend Development,"DevOps, RabbitMQ",Low,6.33,Mid,1,"US-F02,TASK-005",No,"Creates a reusable component for sending messages. Depends on the connection manager.",""
TASK-007,"Implement Generic RabbitMQ Consumer Hosted Service",Backend Development,"DevOps, RabbitMQ",Medium,12,Mid,1,"US-F02,TASK-005",No,"Creates the base framework for all background message processing in the Windows Service.",""
TASK-008,"Implement Dead-Letter Queue (DLQ) Configuration Logic",DevOps,"Backend Development, RabbitMQ",Medium,6,Senior,1,"US-F02,""TASK-006,TASK-007""",No,"Requires specific knowledge of the RabbitMQ DLX pattern. Critical for system reliability.",""
US-F03,"Implement Synchronous IPC Channel",Backend Development,"IPC, .NET",High,35.33,Senior,1,"",Yes,"Establishes the real-time communication channel between client and service. See RISK-012 for potential permission issues.","Replace Named Pipes with a local loopback HTTP REST endpoint if permission issues are widespread."
TASK-010,"Implement Named Pipe Server in Windows Service",Backend Development,"IPC, Windows Service",Medium,8.67,Senior,1,"US-F03,TASK-003",Yes,"Requires senior-level expertise to correctly configure security ACLs on the pipe to avoid permission issues. See RISK-012.",""
TASK-011,"Implement Named Pipe Client for WPF Application",Backend Development,"IPC, .NET",Low,6.33,Mid,1,"US-F03,TASK-002",No,"Implements the client-side part of the synchronous IPC. Depends on the WPF host setup.",""
US-001,"User Login with Username and Password",Backend Development,"Frontend Development, Security",High,51.33,Senior,1,US-F01,Yes,"Foundational security feature. Blocker for all features requiring user authentication and role-based access.",""
TASK-013,"Create User, Role, PasswordHistory EF Core Entities & Migration",Backend Development,Database,Low,6.33,Mid,1,"US-001,TASK-001",Yes,"Establishes the core database schema for all security and user management features.",""
TASK-014,"Implement BCrypt Password Hashing Utility",Backend Development,Security,Low,3.17,Senior,1,US-001,Yes,"Critical security task that must be implemented correctly. Requires a developer with security expertise.",""
TASK-015,"Implement AuthenticationService Logic",Backend Development,"Security, API",Medium,8.33,Mid,1,"US-001,""TASK-013,TASK-014""",No,"Core logic for handling user authentication, including all failure cases.",""
TASK-017a,"Implement User Session Management Service",Backend Development,"API, Architecture",Low,4,Mid,1,"US-001,TASK-015",Yes,"Creates the central, thread-safe service for managing the authenticated user's state. Critical for authorization.",""
TASK-016,"Build LoginView and LoginViewModel",Frontend Development,"WPF, MVVM",Medium,12,Mid,1,"US-001,""TASK-015,TASK-002""",No,"Implements the user-facing part of the login flow.",""
US-002,"Role-Based Feature Access",Backend Development,"Frontend Development, Security",High,26.33,Senior,1,US-001,Yes,"Implements the core authorization logic. Critical for security and HIPAA compliance. Blocker for all role-differentiated features.",""
TASK-018,"Implement Centralized Authorization Service",Backend Development,"Security, Architecture",Medium,6,Senior,1,"US-002,TASK-017a",Yes,"Creates the single source of truth for all permission checks. A critical architectural component for security.",""
