"task_id","title","description","type","status","priority","assignee","reporter","due_date","estimated_hours","story_points","labels","sprint","sprint_goal","epic","epic_id","project","parent_id","dependencies","skills_required","complexity","risk_level","acceptance_criteria","definition_of_done","created_at","updated_at","sprint_start_date","sprint_end_date","capacity_allocation","collaboration_required","external_dependencies","testing_requirements","deployment_notes","business_value"
"TASK-ARC-001","Scaffold Solution and Projects","Create the Visual Studio solution `DicomApp.sln` and all required projects (`Core`, `Application`, `Infrastructure`, `Client.Wpf`, `Service.WindowsService`) targeting .NET 8. Configure project references and establish initial `.editorconfig` and `.gitignore` files.","Task","Sprint Backlog","Critical","lead.dev@company.com","product.owner@company.com","2024-11-08","6","2","architecture,setup,backend","Sprint 1","Establish core architecture, security foundation, and user management.","Core Architecture & Communications","EPIC-001","DICOM Management & Printing System","STORY-ARCH-001","",".NET 8,Visual Studio","Low","Low","Solution successfully builds with zero errors. Project dependencies are correctly configured as per Clean Architecture. WPF project launches a blank window. Service project can be built as a console application.","Code reviewed; Initial commit pushed to repository; CI pipeline builds successfully.","2024-10-21T09:00:00Z","2024-10-21T09:00:00Z","2024-10-28","2024-11-08","100%","None","None","CI build validation.","Foundation for all other development.","Reduces development friction and ensures maintainability by establishing correct architectural patterns from the project's inception."
"TASK-ARC-002","Implement Generic Host for Windows Service","Configure the `Service.WindowsService` project to use `Microsoft.Extensions.Hosting` and `Microsoft.Extensions.Hosting.WindowsServices`. Implement boilerplate for dependency injection, configuration, logging, and graceful startup/shutdown.","Task","Sprint Backlog","Critical","backend.dev@company.com","product.owner@company.com","2024-11-08","8.3","3","architecture,backend,windows-service","Sprint 1","Establish core architecture, security foundation, and user management.","Core Architecture & Communications","EPIC-001","DICOM Management & Printing System","STORY-ARCH-001","TASK-ARC-001",".NET 8,Windows Services","Medium","Low","The service can be installed using `sc.exe create`. The service starts and stops correctly via `services.msc`. Startup and shutdown events are written to a configured log sink.","Code reviewed; Unit tests passing; Service can be installed and run locally.","2024-10-21T09:00:00Z","2024-10-21T09:00:00Z","2024-10-28","2024-11-08","100%","None","None","Manual installation and start/stop of the service.","Requires admin privileges on development machine to install.","Creates the long-running background process host for all asynchronous tasks."
"TASK-ARC-003","Write Integration Test for Windows Service Host","Create an integration test that builds the service host in-memory, verifies that DI services are correctly registered, and checks that hosted services can be started and stopped programmatically.","Task","Sprint Backlog","High","qa.engineer@company.com","product.owner@company.com","2024-11-08","6.2","2","testing,qa,architecture","Sprint 1","Establish core architecture, security foundation, and user management.","Core Architecture & Communications","EPIC-001","DICOM Management & Printing System","STORY-ARCH-001","TASK-ARC-002","xUnit,.NET Testing","Medium","Low","Test successfully builds the host. Test can resolve a mock service from the DI container. Test confirms that `IHostedService.StartAsync` and `StopAsync` are called on a test service.","Test reviewed; All assertions passing; Integrated into CI pipeline.","2024-10-21T09:00:00Z","2024-10-21T09:00:00Z","2024-10-28","2024-11-08","100%","backend.dev@company.com","None","Integration test suite for the service host.","Provides regression testing for the core service startup logic.","Ensures the stability and correctness of the service hosting foundation."
"TASK-SEC-001","Design & Model User, Role, PasswordHistory Entities","Define C# entity classes for User, Role, and PasswordHistory in the Core project. Annotate with EF Core attributes/fluent API for primary keys, foreign keys, relationships, and a unique index on the User's username.","Task","Sprint Backlog","Critical","backend.dev@company.com","product.owner@company.com","2024-11-08","3","1","database,security,architecture","Sprint 1","Establish core architecture, security foundation, and user management.","User Authentication & Authorization","EPIC-002","DICOM Management & Printing System","US-001","TASK-ARC-001","EF Core,C#","Low","Low","Entity classes are defined with all required fields. Relationships between User-Role and User-PasswordHistory are correctly configured for EF Core. Username property is marked for a unique database constraint.","Code reviewed; Models are complete and ready for DbContext integration.","2024-10-21T09:00:00Z","2024-10-21T09:00:00Z","2024-10-28","2024-11-08","100%","None","None","Code review.","Defines the database schema for all user and security data.","Models the data structures required for secure user authentication and authorization."
"TASK-SEC-002","Implement DbContext and Initial DB Migration","Configure the EF Core `DbContext` with `DbSet` properties for the security entities. Seed the 'Technician' and 'Administrator' roles. Generate the initial database migration and verify the generated SQL.","Task","Sprint Backlog","Critical","backend.dev@company.com","product.owner@company.com","2024-11-08","6","2","database,security,ef-core","Sprint 1","Establish core architecture, security foundation, and user management.","User Authentication & Authorization","EPIC-002","DICOM Management & Printing System","US-001","TASK-SEC-001","EF Core,PostgreSQL","Medium","Low","The DbContext is correctly configured. A migration file is generated without errors. The migration includes logic to seed the two required roles.","Code reviewed; Migration successfully applies to a local PostgreSQL instance.","2024-10-21T09:00:00Z","2024-10-21T09:00:00Z","2024-10-28","2024-11-08","100%","None","PostgreSQL server instance","Integration test successfully applies the migration to a test database.","Creates the initial version of the application database.","Establishes the physical database schema, making user data persistence possible."
"TASK-SEC-003","Implement BCrypt Password Hashing Service","Create a service that wraps a vetted BCrypt library (e.g., BCrypt.Net-Next). The service will expose `HashPassword` and `VerifyPassword` methods and be registered for dependency injection.","Task","Sprint Backlog","Critical","backend.dev@company.com","product.owner@company.com","2024-11-08","5.2","2","security,backend,hipaa","Sprint 1","Establish core architecture, security foundation, and user management.","User Authentication & Authorization","EPIC-002","DICOM Management & Printing System","US-001","","C#,Security,xUnit","Medium","Medium","The service correctly hashes a plaintext password. The service correctly returns true when verifying a valid password against its hash. Unit tests achieve >90% coverage.","Code reviewed; Unit tests passing; Security best practices for the library are followed.","2024-10-21T09:00:00Z","2024-10-21T09:00:00Z","2024-10-28","2024-11-08","100%","None","None","Unit tests covering hashing and verification of valid/invalid passwords.","Critical security component for HIPAA compliance.","Implements secure, one-way password storage, a fundamental security requirement."
"TASK-SEC-004","Create WPF Login Screen View & ViewModel","Using WPF with MaterialDesignInXamlToolkit, build the login screen UI. Implement the `LoginViewModel` to handle data binding for username/password, a login `ICommand`, and properties for displaying error messages.","Task","Sprint Backlog","Critical","frontend.dev@company.com","product.owner@company.com","2024-11-08","8","3","frontend,wpf,ui,security","Sprint 1","Establish core architecture, security foundation, and user management.","User Authentication & Authorization","EPIC-002","DICOM Management & Printing System","US-001","TASK-ARC-001","WPF,XAML,MVVM","Medium","Low","UI contains fields for username and password (masked), a login button, and an error message area. The Login button's command is wired to the ViewModel. The application launches to this screen by default.","UI/UX reviewed and approved; ViewModel unit tests passing; All UI elements are data-bound.","2024-10-21T09:00:00Z","2024-10-21T09:00:00Z","2024-10-28","2024-11-08","100%","None","None","UI review and unit tests for the ViewModel.","This is the entry point for all users of the application.","Provides the user interface for the mandatory authentication process."
"TASK-SEC-005","Implement Core Authentication Service Logic","Create an `AuthenticationService` that uses the `DbContext` and `IPasswordHasher`. It will have a `LoginAsync(username, password)` method that finds the user, verifies the password, checks if the account is active, and returns a user session object.","Task","Sprint Backlog","Critical","backend.dev@company.com","product.owner@company.com","2024-11-08","8.3","3","backend,security,business-logic","Sprint 1","Establish core architecture, security foundation, and user management.","User Authentication & Authorization","EPIC-002","DICOM Management & Printing System","US-001","TASK-SEC-002,TASK-SEC-003","C#,EF Core","Medium","Medium","Service successfully authenticates a user with valid credentials. Service rejects logins for users not found, incorrect password, or disabled accounts. Login failures are logged for security auditing.","Code reviewed; Integration tests passing; All authentication scenarios are covered.","2024-10-21T09:00:00Z","2024-10-21T09:00:00Z","2024-10-28","2024-11-08","100%","None","None","Integration tests covering all success and failure login paths.","The central logic for all user authentication.","Implements the core business logic for verifying user credentials against the database."
"TASK-SEC-006","Write Integration Tests for Authentication Flow","Using a test database, write integration tests for the `AuthenticationService`. Cover all scenarios: successful login for Admin/Technician, failed login (bad password, user not found), and login attempt with a disabled account.","Task","Sprint Backlog","Critical","qa.engineer@company.com","product.owner@company.com","2024-11-08","12","5","testing,qa,security","Sprint 1","Establish core architecture, security foundation, and user management.","User Authentication & Authorization","EPIC-002","DICOM Management & Printing System","US-001","TASK-SEC-005","xUnit,EF Core,Testcontainers","High","Low","Tests pass for all defined success and failure scenarios. Test setup includes creating test users with different roles and statuses. The test database is seeded before each test run.","Tests reviewed; All tests passing in CI pipeline; Test coverage meets project standards.","2024-10-21T09:00:00Z","2024-10-21T09:00:00Z","2024-10-28","2024-11-08","100%","backend.dev@company.com","Docker for Testcontainers","Comprehensive integration test suite for the authentication service.","Critical for ensuring the security and correctness of the login process.","Validates that the authentication system is secure and functions as specified under all conditions."
"TASK-SEC-007","Integrate Authentication Service with Login ViewModel","Wire up the `LoginViewModel` to the `IAuthenticationService` via DI. The login command will call the service, handle success by navigating to the main application window, and handle exceptions by displaying a generic 'Invalid username or password' message.","Task","Sprint Backlog","Critical","frontend.dev@company.com","product.owner@company.com","2024-11-08","6","2","frontend,wpf,integration","Sprint 1","Establish core architecture, security foundation, and user management.","User Authentication & Authorization","EPIC-002","DICOM Management & Printing System","US-001","TASK-SEC-004,TASK-SEC-005","WPF,MVVM,C#","Medium","Low","Successful login closes the login window and opens the main window. Failed login shows the correct error message in the UI. The ViewModel establishes a client-side session/principal upon successful login.","Code reviewed; E2E manual test passes for login success and failure.","2024-10-21T09:00:00Z","2024-10-21T09:00:00Z","2024-10-28","2024-11-08","100%","backend.dev@company.com","None","Manual E2E testing of the login process.","Connects the user interface to the backend authentication logic.","Makes the login screen functional, allowing users to enter the application."
"TASK-ADM-001","Develop User Management Dashboard View and ViewModel","Create the main UI for the User Management section. This will display a list of users in a DataGrid and include buttons for 'Add', 'Edit', and 'Delete'. The ViewModel will be responsible for loading the list of users from a new `UserManagementService`.","Task","Sprint Backlog","High","frontend.dev@company.com","product.owner@company.com","2024-11-08","8.3","3","frontend,wpf,admin","Sprint 1","Establish core architecture, security foundation, and user management.","System Administration","EPIC-003","DICOM Management & Printing System","US-006","TASK-SEC-008","WPF,MVVM","Medium","Low","The view is only accessible to users with the 'Administrator' role. A list of all users is displayed with their username and role. Buttons for user management actions are present.","UI/UX reviewed and approved; ViewModel unit tests passing; All UI elements are data-bound.","2024-10-21T09:00:00Z","2024-10-21T09:00:00Z","2024-10-28","2024-11-08","100%","None","None","UI review and manual testing.","Provides the main interface for all user management tasks.","Enables administrators to view and manage the system's user base."
"TASK-ADM-002","Implement 'Create User' Service Logic","Extend a `UserManagementService` with a `CreateUserAsync` method. This method must validate that the username is unique, generate a secure temporary password, hash it, and save the new user to the database with the `IsTemporaryPassword` flag set to true.","Task","Sprint Backlog","High","backend.dev@company.com","product.owner@company.com","2024-11-08","8.3","3","backend,admin,security","Sprint 1","Establish core architecture, security foundation, and user management.","System Administration","EPIC-003","DICOM Management & Printing System","US-006","TASK-SEC-002,TASK-SEC-003","C#,EF Core","Medium","Medium","Method successfully creates a new user in the database. Method throws a specific exception if the username already exists. The created user has the correct role and the 'force password change' flag is set.","Code reviewed; Integration tests passing; An audit event is logged upon user creation.","2024-10-21T09:00:00Z","2024-10-21T09:00:00Z","2024-10-28","2024-11-08","100%","None","None","Integration tests for user creation success and failure (duplicate user).","Core logic for provisioning new user accounts.","Implements the backend logic for securely adding new users to the system."
"TASK-ADM-003","Develop 'Add User' Dialog and ViewModel","Create a modal dialog for adding a new user. The ViewModel will collect the username and selected role, call the `UserManagementService`, and on success, display a notification to the Admin containing the generated temporary password.","Task","Sprint Backlog","High","frontend.dev@company.com","product.owner@company.com","2024-11-08","7","3","frontend,wpf,admin,ui","Sprint 1","Establish core architecture, security foundation, and user management.","System Administration","EPIC-003","DICOM Management & Printing System","US-006","TASK-ADM-001,TASK-ADM-002","WPF,MVVM","Medium","Low","Dialog allows entry of username and selection of role. Clicking 'Create' calls the service. On success, a success notification with the temporary password is shown.","UI/UX reviewed and approved; ViewModel unit tests passing; E2E manual test successful.","2024-10-21T09:00:00Z","2024-10-21T09:00:00Z","2024-10-28","2024-11-08","100%","backend.dev@company.com","None","Manual E2E testing of the feature.","Provides the UI for the 'Add User' workflow.","Allows administrators to interact with the system to provision new users."
