"story_id","epic","title","user_role","description","business_value","priority","story_points","dependencies","acceptance_criteria","technical_tasks","definition_of_done"
"US-001","User Authentication & Authorization","Log In to the Application with Username and Password","Registered System User","As a Registered System User (Technician or Administrator), I want to securely log in to the application using my unique username and password so that I can gain access to the system and use the features and functions authorized for my specific role.","Ensures that only authorized personnel can access sensitive Protected Health Information (PHI), enforcing security, meeting HIPAA compliance requirements, and enabling the role-based access control model which is fundamental to the system's operation.","Must Have","8","[""US-010"",""US-011""]","[{""scenario"":""Successful login with valid credentials"",""given"":""a user has a valid and active account in the system"",""when"":""the user enters their correct username and password and clicks the 'Login' button"",""then"":""the system validates the credentials, the login window closes, and the main application window is displayed with features corresponding to the user's assigned role.""},{""scenario"":""Login attempt with an incorrect password"",""given"":""a user has a valid and active account in the system"",""when"":""the user enters their correct username but an incorrect password"",""then"":""the system displays a non-specific error message 'Invalid username or password' and the password field is cleared.""},{""scenario"":""Login attempt with a disabled account"",""given"":""a user's account has been disabled by an administrator"",""when"":""the user enters their correct credentials for the disabled account"",""then"":""the system displays an error message 'Your account has been disabled. Please contact an administrator.'""}]","[""WI-009: Implement BCrypt Password Hashing and Verification Service"",""WI-010: Create User Login Screen and ViewModel"",""WI-011: Implement Authentication Service and Application Session"",""WI-013: Define User Roles and Permissions in Database""]","[""User can successfully log in with valid Technician and Admin accounts."",""Login attempts with invalid credentials or disabled accounts are rejected with appropriate messages."",""Passwords are confirmed to be verified against BCrypt hashes."",""A user session object containing the user's ID and role is created upon successful login.""]"
"US-002","User Authentication & Authorization","Restrict Feature Access Based on User Role","System User","As a system user (Technician or Administrator), I want the application's features and UI controls to be enabled or disabled based on my assigned role, so that I can only perform actions I am authorized for, ensuring system security and compliance with the principle of least privilege.","Enforces the principle of least privilege, a core security requirement for HIPAA compliance. Prevents unauthorized access to sensitive data and system configurations, reducing the risk of data breaches and operational errors.","Must Have","8","[""US-001""]","[{""scenario"":""Technician has restricted access to administrative functions"",""given"":""a user is authenticated with the 'Technician' role"",""when"":""the user navigates the application"",""then"":""the 'Administration' area and all its sub-features (User Management, System Settings, Audit Trail) are hidden and inaccessible.""},{""scenario"":""Administrator has full access to all functions"",""given"":""a user is authenticated with the 'Administrator' role"",""when"":""the user navigates the application"",""then"":""all features, including Technician-level functions and all administrative functions, are visible and enabled.""},{""scenario"":""Backend authorization prevents unauthorized actions"",""given"":""a user with the 'Technician' role is logged in"",""when"":""an attempt is made to programmatically invoke an admin-only action"",""then"":""the action is rejected by the system's business logic layer and the attempt is logged.""}]","[""WI-014: Implement Authorization Service and UI Controls""]","[""UI elements for administrative functions are not visible to Technician users."",""UI controls for data modification (e.g., Edit DICOM) are disabled for Technician users."",""Backend service calls for admin-only functions throw an authorization exception when called by a Technician."",""All features are fully accessible to Administrator users.""]"
"US-003","User Authentication & Authorization","Automatically Lock Session After Inactivity","Authenticated User","As a clinician or administrator, I want the application to automatically lock itself after a defined period of inactivity, so that sensitive Protected Health Information (PHI) is protected from unauthorized viewing on an unattended workstation.","Enhances security and ensures HIPAA compliance by automatically securing sessions on unattended workstations, mitigating the risk of unauthorized PHI access and potential data breaches.","Must Have","5","[""US-001""]","[{""scenario"":""Session locks after the 15-minute inactivity period"",""given"":""a user is logged into the application"",""when"":""the user performs no keyboard or mouse actions for 15 minutes"",""then"":""a modal lock screen overlay is displayed, obscuring the entire application window.""},{""scenario"":""Inactivity timer resets upon user interaction"",""given"":""a user is logged into the application"",""when"":""the user moves the mouse or presses a key after 14 minutes of inactivity"",""then"":""the inactivity timer is reset and the session remains active.""}]","[""WI-012: Implement Automatic Session Lock Feature (Locking mechanism)""]","[""A global user activity monitor is implemented with negligible performance impact."",""The lock screen appears automatically after 15 minutes of inactivity."",""The application state is preserved behind the lock screen.""]"
"US-004","User Authentication & Authorization","Unlock a Locked Session with Password","Authenticated User","As a user whose session has been locked, I want to enter my password to securely unlock my session and immediately resume my work from where I left off.","Provides a seamless user experience that maintains workflow continuity after a security-mandated session lock, preventing loss of work while ensuring PHI remains protected.","Must Have","5","[""US-003""]","[{""scenario"":""Successful Unlock with Correct Password"",""given"":""the application session is locked and the lock screen is displayed"",""when"":""the user enters their correct password and clicks 'Unlock'"",""then"":""the lock screen is removed and the application is restored to its exact pre-lock state.""},{""scenario"":""Unlock Attempt with Incorrect Password"",""given"":""the application session is locked"",""when"":""the user enters an incorrect password"",""then"":""an error message 'Invalid password' is displayed and the session remains locked.""}]","[""WI-012: Implement Automatic Session Lock Feature (Unlocking mechanism)""]","[""User can unlock the session by re-entering their correct password."",""Incorrect password attempts are rejected."",""The UI state, including open studies and unsaved work, is perfectly preserved after a successful unlock.""]"
"US-005","User Authentication & Authorization","Force Password Change After Administrative Reset","System User","As a user whose password has been reset by an administrator, I want to be forced to create a new, private password upon my next login, so that my account is immediately secured and only I know the credentials.","Enhances account security by ensuring temporary passwords are immediately replaced with a private password known only to the user. This is a critical control for HIPAA compliance and maintaining individual user accountability.","Must Have","5","[""US-009""]","[{""scenario"":""Successful forced password change on first login"",""given"":""a user's account has been flagged for a mandatory password reset"",""when"":""the user logs in with the temporary password"",""then"":""the system presents a non-dismissible 'Create New Password' screen.""},{""scenario"":""User sets a new compliant password"",""given"":""the user is on the 'Create New Password' screen"",""when"":""the user enters a new password that meets the system's password policy and clicks 'Set Password'"",""then"":""the password is changed, the flag is cleared, and the user is redirected to the main application.""},{""scenario"":""User attempts to set a non-compliant password"",""given"":""the user is on the 'Create New Password' screen"",""when"":""the user enters a new password that violates the password policy"",""then"":""an error message is displayed detailing the violation and the user remains on the screen.""}]","[""Extend Authentication Service (from WI-011) to check for 'force password change' flag"",""Create a new 'Change Password' View and ViewModel"",""Implement password policy validation logic""]","[""User logging in with a temporary password is automatically routed to the change password screen."",""The change password screen cannot be bypassed."",""The new password is validated against the system policy before being accepted."",""After a successful change, the user can log in with the new password.""]"
"US-006","System Administration & Configuration","Create a New User Account","Administrator","As an Administrator, I want to create a new user account with a username, temporary password, and role, so that I can provision access for new staff.","Enables secure and efficient onboarding of new personnel by provisioning system access with appropriate permissions, which is a fundamental requirement for multi-user operational readiness and security compliance.","Must Have","5","[""US-001"",""US-018""]","[{""scenario"":""Admin successfully creates a new Technician user"",""given"":""I am an Admin on the 'User Management' page"",""when"":""I enter a unique username, select the 'Technician' role, and click 'Create'"",""then"":""a new user is created with a 'force password change' flag, a success notification is displayed containing a temporary password, and the new user appears in the user list.""},{""scenario"":""Attempting to create a user with a duplicate username"",""given"":""a user with the username 'jdoe' already exists"",""when"":""I attempt to create another user with the username 'jdoe'"",""then"":""the system prevents the creation and displays an error message 'Username already exists'.""}]","[""WI-035: Develop User Management Interface (Create functionality)""]","[""An admin can create a new user and assign a role."",""A secure, temporary password is generated and displayed to the admin."",""The new user account is flagged to force a password change on next login."",""The creation event is logged in the audit trail.""]"
"US-007","System Administration & Configuration","Edit an Existing User's Role and Status","Administrator","As an Administrator, I want to modify an existing user's account details, such as their assigned role and account status (enabled/disabled), so that I can maintain accurate user permissions.","Enables enforcement of the Principle of Least Privilege and provides operational efficiency for managing user lifecycle events like role changes or temporary account suspension.","Must Have","5","[""US-006""]","[{""scenario"":""Admin successfully changes a user's role"",""given"":""a user with the 'Technician' role exists"",""when"":""I edit the user, change their role to 'Administrator', and save"",""then"":""the user's role is updated in the UI and an audit trail entry is created for the change.""},{""scenario"":""Admin is prevented from demoting the last administrator"",""given"":""there is only one active user with the 'Administrator' role"",""when"":""I attempt to change that user's role to 'Technician'"",""then"":""the system prevents the save and displays an error 'The last administrator account cannot be demoted.'""}]","[""WI-035: Develop User Management Interface (Edit functionality)""]","[""An admin can change a user's role."",""An admin can disable or re-enable a user's account."",""Business rules preventing self-modification or deletion of the last admin are enforced."",""All changes are logged in the audit trail.""]"
"US-008","System Administration & Configuration","Delete a User Account","Administrator","As an Administrator, I want to permanently delete a user's account from the system, so that I can immediately and irrevocably revoke their access when they leave the organization.","Enhances system security by ensuring timely revocation of access for former employees and supports compliance with security policies.","Must Have","3","[""US-006""]","[{""scenario"":""Admin successfully deletes a user account"",""given"":""I am an Admin on the User Management page"",""when"":""I click 'Delete' for a user and confirm the action"",""then"":""the user's account is permanently removed from the database and an entry is created in the audit trail.""},{""scenario"":""Admin attempts to delete their own account"",""given"":""I am an Admin viewing the user list"",""when"":""I locate my own user account"",""then"":""the 'Delete' action for my own account is disabled.""}]","[""WI-035: Develop User Management Interface (Delete functionality)""]","[""An admin can delete any user account except their own."",""A confirmation dialog is shown before deletion."",""The deletion event is logged in the audit trail."",""A deleted user can no longer log in.""]"
"US-009","System Administration & Configuration","Reset a User's Password","Administrator","As an Administrator, I want to reset a user's password and generate a temporary one, so that I can quickly restore their access if they have forgotten their credentials.","Ensures business continuity by providing a secure method for restoring user access, reducing downtime. Supports security policies by enforcing immediate password changes after a reset.","Must Have","5","[""US-006""]","[{""scenario"":""Admin successfully resets a user's password"",""given"":""an Administrator is on the User Management page"",""when"":""the Administrator clicks 'Reset Password' for a user and confirms the action"",""then"":""a dialog is displayed containing a new temporary password, and the user's account is flagged to require a password change on next login.""},{""scenario"":""Admin attempts to reset their own password"",""given"":""an Administrator is viewing the user list"",""when"":""the Administrator locates their own account"",""then"":""the 'Reset Password' option is disabled.""}]","[""WI-035: Develop User Management Interface (Reset Password functionality)""]","[""An admin can trigger a password reset for another user."",""A new temporary password is generated and displayed."",""The user's account is flagged for a forced password change."",""The reset event is logged in the audit trail.""]"
"US-010","Security & Compliance","Store Application Secrets Securely","Security Officer","As a Security Officer, I want all application secrets like database passwords and API keys to be stored in the Windows Credential Manager, so that they are not exposed in plaintext configuration files, hardening the system's security posture.","Dramatically reduces the risk of credential theft and unauthorized system access by adhering to security best practices for secret management. This is a foundational requirement for a secure deployment.","Must Have","5","[]","[{""scenario"":""Application retrieves credentials at runtime"",""given"":""the database password is stored in the Windows Credential Manager"",""when"":""the application starts"",""then"":""it successfully connects to the database by retrieving the password from the Credential Manager.""},{""scenario"":""Configuration files contain no secrets"",""given"":""the application is fully configured"",""when"":""an administrator inspects the 'appsettings.json' file"",""then"":""no plaintext passwords, API keys, or other secrets are found.""}]","[""WI-042: Implement Secure Credential Storage""]","[""A service for reading/writing to the Windows Credential Manager is implemented."",""Application startup logic is refactored to load secrets from the service."",""All secrets are removed from appsettings.json files."",""Installation/setup documentation is updated to describe how to store credentials.""]"
