"task_id","task_name","primary_skill","secondary_skills","complexity_level","estimated_hours","required_experience","productivity_factor","adjusted_hours","team_size","collaboration_required","dependencies","critical_path","skill_learning_curve","ramp_up_hours","resource_notes","alternative_approach","risk_factors","mitigation_strategy","quality_overhead","review_hours","documentation_hours","testing_coordination","integration_overhead"
"TASK-1001","Create Solution, Project Structure, and DI for WPF Client",".NET 8","Visual Studio,Dependency Injection,WPF","Low","8.3","Mid","1.2","6.9","1","","","true","None","","Foundation task for all client-side development. Should be done by developer familiar with solution setup.","N/A","Incorrect project setup can cause future rework.","Use a standardized solution template; peer review of the initial structure.","1.2","0.8","0.4","","0.5"
"TASK-1002","Implement DI and Hosting for Windows Service",".NET 8","Windows Service","Low","6.3","Mid","1.2","5.3","1","","TASK-1001","true","None","","Foundation task for all background processing.","N/A","Configuration issues with service hosting.","Follow official Microsoft documentation closely.","0.9","0.6","0.3","","0.5"
"TASK-1003","Implement RabbitMQ Publisher/Consumer Abstractions with DLX","RabbitMQ",".NET 8,IPC","Medium","14.3","Senior","1.2","11.9","1","true","TASK-1002","true","Low","2","Core IPC mechanism. Requires solid understanding of message queuing patterns.","Use a simpler message queue system, but RabbitMQ is a requirement.","Incorrect configuration of durability or DLX can lead to message loss.","Implement comprehensive integration tests for all scenarios (success, failure, DLQ).","2.1","1.4","0.7","2","1"
"TASK-1004","Implement Named Pipes IPC for Service Status Checks","Named Pipes",".NET 8,IPC","Medium","8.3","Mid","1","8.3","1","","TASK-1001,TASK-1002","","Medium","3","Requires understanding of synchronous IPC and handling timeouts.","Could use a lightweight HTTP endpoint, but Named Pipes is a requirement.","Potential for deadlocks or threading issues if not implemented carefully.","Thorough unit testing of client and server components, especially timeout and disconnection scenarios.","1.2","0.8","0.4","1","1"
"TASK-1005","Configure Serilog with PHI Masking","Serilog","C#,Security,HIPAA","Medium","10.7","Senior","1.2","8.9","1","","TASK-1001,TASK-1002","true","Low","1","Critical for HIPAA compliance. Requires careful implementation of the redaction logic.","N/A, custom masking is required.","Failure to redact all PHI could lead to a compliance violation.","Create a specific set of unit tests for the redaction enricher with various PHI examples.","1.6","1.1","0.5","1",""
"TASK-2001","Design and Implement User/Role Schema with EF Core","EF Core 8","PostgreSQL,Database Design","Low","6","Mid","1.2","5","1","","TASK-1001","true","None","","Foundation for all user data and authentication.","N/A","Poor schema design could impact future features.","Peer review of the EF Core entities and generated migration script.","0.9","0.6","0.3","",""
"TASK-2002","Implement BCrypt Hashing and Authentication Service","BCrypt","C#,Security,Authentication","Medium","8.3","Mid","1","8.3","1","","TASK-2001","true","Low","1","Core security component. Implementation must be correct.","Use .NET Identity's built-in password hasher, but BCrypt is specified.","Incorrect implementation could create a major security vulnerability.","Strict code review by a senior developer; comprehensive unit tests.","1.2","0.8","0.4","1",""
"TASK-2003","Develop WPF Login Screen View and ViewModel","WPF","MVVM,XAML","Low","10","Mid","1.2","8.3","1","true","TASK-2002","true","None","","Application entry point. Needs to integrate with the Authentication Service.","N/A","Poor UX could frustrate users.","Follow Material Design guidelines; test flow manually.","1.5","1","0.5","1","1"
"TASK-2004","Implement Centralized User Session Service","C#","Dependency Injection,Authorization","Low","6","Mid","1","6","1","","TASK-2003","true","None","","Foundation for all role-based authorization checks.","N/A","If not thread-safe, could cause issues in multi-threaded UI environments.","Implement as a thread-safe singleton and cover with unit tests.","0.9","0.6","0.3","",""
"TASK-2005","Develop WPF RBAC Value Converter","WPF","XAML,Authorization","Low","6.3","Mid","1.2","5.3","1","","TASK-2004","","None","","Reusable component for implementing UI-level security dynamically.","Could control visibility from ViewModel properties, but a converter is more reusable.","Can be misused if not documented properly.","Provide clear code comments and usage examples.","0.9","0.6","0.3","1",""
