"task_id","title","description","type","status","priority","assignee","reporter","due_date","estimated_hours","story_points","labels","sprint","sprint_goal","epic","epic_id","project","parent_id","dependencies","skills_required","complexity","risk_level","acceptance_criteria","definition_of_done","created_at","updated_at","sprint_start_date","sprint_end_date","capacity_allocation","collaboration_required","external_dependencies","testing_requirements","deployment_notes","business_value"
"TASK-1001","Create Solution, Project Structure, and DI for WPF Client","Create the Visual Studio solution with the defined project structure (Client.Wpf, Client.Core, etc.). Configure the `Microsoft.Extensions.Hosting` and DI container in the WPF client's `App.xaml.cs` to register and resolve services, ViewModels, and configuration.","Task","Sprint Backlog","Critical","dev.backend@company.com","product.owner@company.com","2024-11-08","8.3","3","architecture,setup,wpf","Sprint 1","Establish core architecture, secure authentication, a full DICOM ingestion pipeline, and mitigate viewer risk.","Core Architecture & System Foundation","EPIC-001","DICOM Management & Printing System","US-000","","Visual Studio,.NET 8,Dependency Injection","Low","Low","The Visual Studio solution is created with all projects correctly referenced. WPF application starts using a configured `IServiceProvider`. A sample ViewModel is successfully resolved and its associated View is displayed.","Code reviewed; Solution structure validated; DI container configured correctly","2024-10-26T09:00:00Z","2024-10-26T09:00:00Z","2024-10-28","2024-11-08","100%","","","Successful application launch.","Base for all future client-side code.","Enables all future client development."
"TASK-1002","Implement DI and Hosting for Windows Service","Configure the background process as a Windows Service using `Microsoft.Extensions.Hosting` and the `UseWindowsService()` extension. Set up the DI container to register all service-side components and hosted services.","Task","Sprint Backlog","Critical","dev.backend@company.com","product.owner@company.com","2024-11-08","6.3","2","architecture,backend,service","Sprint 1","Establish core architecture, secure authentication, a full DICOM ingestion pipeline, and mitigate viewer risk.","Core Architecture & System Foundation","EPIC-001","DICOM Management & Printing System","US-000","TASK-1001",".NET 8,Windows Service","Low","Low","Project builds an executable that can be installed and run as a Windows Service. The service starts, logs a message, and stops cleanly.","Code reviewed; Service can be installed and started/stopped.","2024-10-26T09:00:00Z","2024-10-26T09:00:00Z","2024-10-28","2024-11-08","100%","","","Manual installation and start/stop of the service.","Base for all future background processing.","Enables all future backend development."
"TASK-1003","Implement RabbitMQ Publisher/Consumer Abstractions with DLX","Create interfaces and concrete implementations for publishing and consuming messages via RabbitMQ. Implement logic for durable queues, persistent messages, connection resilience, and configure a Dead-Letter Exchange (DLX) and Queue (DLQ) for failed messages.","Task","Sprint Backlog","Critical","dev.backend@company.com","product.owner@company.com","2024-11-08","14.3","5","architecture,ipc,rabbitmq","Sprint 1","Establish core architecture, secure authentication, a full DICOM ingestion pipeline, and mitigate viewer risk.","Core Architecture & System Foundation","EPIC-001","DICOM Management & Printing System","US-000","TASK-1002","RabbitMQ,.NET 8","Medium","Low","A client-side service can publish a persistent message to a durable RabbitMQ queue. A service-side `IHostedService` consumes the message. A message that is negatively acknowledged is routed to the DLQ.","Code reviewed; Integration tests passing for publish, consume, and DLQ routing.","2024-10-26T09:00:00Z","2024-10-26T09:00:00Z","2024-10-28","2024-11-08","100%","","RabbitMQ server must be available.","Integration testing against a live RabbitMQ instance.","Core inter-process communication mechanism.","Enables reliable, asynchronous task processing."
"TASK-1004","Implement Named Pipes IPC for Service Status Checks","Create a Named Pipe server within the Windows Service and a client within the WPF application for synchronous 'PING'/'PONG' status checks.","Task","Sprint Backlog","High","dev.fullstack@company.com","product.owner@company.com","2024-11-08","8.3","3","architecture,ipc,named-pipes","Sprint 1","Establish core architecture, secure authentication, a full DICOM ingestion pipeline, and mitigate viewer risk.","Core Architecture & System Foundation","EPIC-001","DICOM Management & Printing System","US-000","TASK-1001,TASK-1002",".NET 8,Named Pipes","Medium","Low","WPF client receives a 'PONG' response from the running service within a 1-second timeout. Client handles a `TimeoutException` correctly when the service is not running.","Code reviewed; Unit tests passing for both connected and disconnected states.","2024-10-26T09:00:00Z","2024-10-26T09:00:00Z","2024-10-28","2024-11-08","100%","","","Unit and manual testing.","Required for UI features to check service health before queuing tasks.","Provides immediate UI feedback on service availability."
"TASK-1005","Configure Serilog with PHI Masking","Integrate Serilog into both applications with sinks for rolling file and Windows Event Log. Implement a custom Serilog enricher to redact PHI from log messages.","Task","Sprint Backlog","High","dev.backend@company.com","product.owner@company.com","2024-11-08","10.7","3","security,logging,hipaa","Sprint 1","Establish core architecture, secure authentication, a full DICOM ingestion pipeline, and mitigate viewer risk.","Core Architecture & System Foundation","EPIC-001","DICOM Management & Printing System","US-000","TASK-1001,TASK-1002","Serilog,C#","Medium","Medium","Both applications write structured logs. A log message containing a property like 'PatientName' is written with the value redacted. Critical errors are written to the Windows Event Log.","Code reviewed; Unit tests for redaction logic passing; Log outputs manually verified.","2024-10-26T09:00:00Z","2024-10-26T09:00:00Z","2024-10-28","2024-11-08","100%","","","Unit tests and manual log inspection.","Critical for HIPAA compliance.","Ensures compliant and secure logging."
"TASK-2001","Design and Implement User/Role Schema with EF Core","Create EF Core entities for `User`, `Role`, and `PasswordHistory`. Configure the `DbContext` with relationships and constraints. Generate the initial database migration.","Task","Sprint Backlog","Critical","dev.backend@company.com","product.owner@company.com","2024-11-08","6","2","database,ef-core,security","Sprint 1","Establish core architecture, secure authentication, a full DICOM ingestion pipeline, and mitigate viewer risk.","User Authentication & Authorization","EPIC-002","DICOM Management & Printing System","US-001","TASK-1001","EF Core 8,PostgreSQL","Low","Low","EF Core entities are defined. An initial migration is generated successfully. The migration can be applied to a PostgreSQL database.","Migration successfully applied to a test database.","2024-10-26T09:00:00Z","2024-10-26T09:00:00Z","2024-10-28","2024-11-08","100%","","PostgreSQL server must be available.","Schema validation.","Foundation for all user data.","Establishes user data persistence."
"TASK-2002","Implement BCrypt Hashing and Authentication Service","Create an `IAuthenticationService` with a concrete implementation that uses `BCrypt.Net-Next` to hash and verify passwords.","Task","Sprint Backlog","Critical","dev.fullstack@company.com","product.owner@company.com","2024-11-08","8.3","3","security,backend,authentication","Sprint 1","Establish core architecture, secure authentication, a full DICOM ingestion pipeline, and mitigate viewer risk.","User Authentication & Authorization","EPIC-002","DICOM Management & Printing System","US-001","TASK-2001","C#,BCrypt,EF Core 8","Medium","Medium","A `HashPassword` method returns a valid BCrypt hash. A `VerifyPassword` method returns true for a correct password and false for an incorrect one. The service is covered by unit and integration tests.","Code reviewed; All unit and integration tests passing.","2024-10-26T09:00:00Z","2024-10-26T09:00:00Z","2024-10-28","2024-11-08","100%","","","Unit and integration tests.","Core security component.","Provides secure password handling."
"TASK-2003","Develop WPF Login Screen View and ViewModel","Create the `LoginView.xaml` using Material Design in XAML and the `LoginViewModel.cs` to handle login attempts.","Task","Sprint Backlog","Critical","dev.frontend@company.com","product.owner@company.com","2024-11-08","10","3","frontend,wpf,ui,authentication","Sprint 1","Establish core architecture, secure authentication, a full DICOM ingestion pipeline, and mitigate viewer risk.","User Authentication & Authorization","EPIC-002","DICOM Management & Printing System","US-001","TASK-2002","WPF,MVVM,XAML","Low","Low","Login screen is displayed at startup. User can enter credentials. Clicking 'Login' calls the `AuthenticationService`. A generic error is shown on failure. On success, the main window is shown.","UI matches design; Login flow works end-to-end.","2024-10-26T09:00:00Z","2024-10-26T09:00:00Z","2024-10-28","2024-11-08","100%","","","Manual E2E testing of the login process.","Entry point for the application.","Allows users to access the system."
"TASK-2004","Implement Centralized User Session Service","Create a thread-safe singleton service (`IUserSessionService`) to hold the current authenticated user's session, including their ID and role.","Task","Sprint Backlog","Critical","dev.fullstack@company.com","product.owner@company.com","2024-11-08","6","2","backend,security,authorization","Sprint 1","Establish core architecture, secure authentication, a full DICOM ingestion pipeline, and mitigate viewer risk.","User Authentication & Authorization","EPIC-002","DICOM Management & Printing System","US-002","TASK-2003","C#,Dependency Injection","Low","Low","The service correctly stores the logged-in user's identity and role after login. Methods like `IsInRole('Administrator')` return correct boolean values.","Unit tests passing; Service integrated into login flow.","2024-10-26T09:00:00Z","2024-10-26T09:00:00Z","2024-10-28","2024-11-08","100%","","","Unit tests.","Foundation for all authorization checks.","Enables role-based access control."
"TASK-2005","Develop WPF RBAC Value Converter","Implement a reusable WPF `IValueConverter` that returns `Visibility.Visible` or `Visibility.Collapsed` based on whether the current user has the required role.","Task","Sprint Backlog","High","dev.frontend@company.com","product.owner@company.com","2024-11-08","6.3","2","frontend,wpf,ui,authorization","Sprint 1","Establish core architecture, secure authentication, a full DICOM ingestion pipeline, and mitigate viewer risk.","User Authentication & Authorization","EPIC-002","DICOM Management & Printing System","US-002","TASK-2004","WPF,XAML","Low","Medium","The converter can be used in XAML to hide an 'Admin' button when a 'Technician' is logged in. The converter correctly shows the button when an 'Admin' is logged in.","Code reviewed; Manually tested with both roles.","2024-10-26T09:00:00Z","2024-10-26T09:00:00Z","2024-10-28","2024-11-08","100%","","","Manual testing by logging in as different user roles.","Reusable component for implementing UI-level security.","Visually enforces role-based access control."
