story_id,epic,title,user_role,description,priority,story_points,dependencies,acceptance_criteria_1,acceptance_criteria_2,acceptance_criteria_3,technical_tasks,definition_of_done
US-001,"EPIC-003: User Authentication & Authorization",User Login to the Application,Registered System User,"As a Registered System User, I want to securely log in to the application using my username and password, so that I can gain access to the features authorized for my role.",Must Have,8,US-010,"Given a user has a valid and active account, When they enter their correct username and password, Then the system validates the credentials and displays the main application window.","Given a user has a valid account, When they enter their correct username but an incorrect password, Then the system displays a non-specific error message ""Invalid username or password."" and the password field is cleared.","Given a user attempts to log in with a disabled account, When they enter their correct credentials, Then the system displays an error message ""Your account has been disabled. Please contact an administrator."" and prevents login.",WI-011; WI-012,"Code reviewed and peer-approved; All acceptance criteria are met and validated; Unit tests achieve >80% coverage for new logic; E2E login scenarios for all user roles are passing; Feature is deployed and verified in the staging environment; Passwords are confirmed to be stored using BCrypt hashing."
US-002,"EPIC-003: User Authentication & Authorization",Secure Feature Access Based on Role,System User,"As a system user, I want the application's features and UI controls to be enabled or disabled based on my assigned role, so that I only see and can perform actions I am authorized for.",Must Have,8,US-001,"Given a user is logged in with the 'Technician' role, When they navigate the application, Then the 'Administration' area and 'Edit DICOM Metadata' button must be hidden or disabled.","Given a user is logged in with the 'Administrator' role, When they navigate the application, Then all features, including the 'Administration' area and 'Edit DICOM Metadata' button, must be visible and enabled.","Given a 'Technician' user attempts to programmatically invoke an admin-only function, When the call is made, Then the backend must reject the request with an authorization error.",WI-013,"Code reviewed and peer-approved; All acceptance criteria are met and validated; Unit tests achieve >80% coverage for the authorization logic; UI state is verified for all roles via manual or automated testing; Feature is deployed and verified in the staging environment."
US-003,"EPIC-009: Security & Compliance",Automatic Session Lock on Inactivity,System User,"As a system user, I want the application to automatically lock itself after a period of inactivity, so that sensitive Protected Health Information (PHI) is protected on an unattended workstation.",Must Have,8,US-001,"Given a user is logged in and the inactivity timeout is 15 minutes, When the user performs no keyboard or mouse actions for 15 minutes, Then a modal lock screen overlay is displayed, obscuring the application.","Given the session is locked, When the user enters their correct password and clicks 'Unlock', Then the lock screen is removed and the application is restored to its exact pre-lock state.","Given the session is locked, When the user enters an incorrect password, Then an error message is displayed, the password field is cleared, and the session remains locked.",WI-035,"Code reviewed and peer-approved; All acceptance criteria are met and validated; Unit tests achieve >80% coverage for the inactivity monitoring and locking logic; The feature is tested to ensure application state is preserved; Feature is deployed and verified in the staging environment."
US-004,"EPIC-010: External Integrations & Licensing",Validate Application License on Startup,Administrator,"As an Administrator, I want the application to validate its license on startup, so that I can ensure we are compliant with licensing terms and the application functions correctly based on the license state.",Must Have,13,US-001,"Given the application has a valid license, When it starts up and successfully contacts the Odoo API, Then it runs in a fully functional mode.","Given the Odoo API is unreachable on startup, When the application starts, Then it enters a fully functional 72-hour grace period and notifies the user.","Given the license is invalid or the grace period has expired, When the application starts, Then it enters a restricted, read-only mode where functions like printing and exporting are disabled.",WI-036; WI-037,"Code reviewed and peer-approved; All acceptance criteria are met and validated for all licensing states (valid, invalid, grace period, read-only); Unit tests cover the state machine logic; Feature is deployed and verified in the staging environment against a mock API."
US-005,"EPIC-002: Inter-Process Communication (IPC) Backbone",Check Background Service Availability,System User,"As a user, I want the application to know if the background print/processing service is running, so that I am prevented from starting tasks that are destined to fail.",Must Have,5,,"Given the background Windows Service is running, When the WPF client checks its status, Then it receives a positive 'Running' confirmation.","Given the background Windows Service is stopped, When the WPF client checks its status, Then it receives a 'Not Running' or timeout error within a few seconds.","Given the background service is unavailable, When the user navigates to the print preview screen, Then the 'Print' button is disabled and a notification indicates the service is unavailable.",WI-009; WI-010; WI-027,"Code reviewed and peer-approved; All acceptance criteria are met and validated; Integration tests for the Named Pipe communication are passing; UI elements correctly reflect the service status; Feature is deployed and verified in the staging environment."
US-006,"EPIC-004: DICOM Core Functionality (SCP/SCU)",Automatically Receive and Store Incoming DICOM Studies,Administrator,"As an Administrator, I want the system to listen for and automatically process incoming DICOM studies via C-STORE, so that data can be received from modalities and other PACS without manual intervention.",Must Have,13,US-013; US-014,"Given the system is running, When a remote modality sends a DICOM study via a C-STORE request, Then the background service accepts the connection and receives the files.","Given a DICOM study has been received, When the C-STORE operation completes, Then the DICOM metadata is published as a message to a RabbitMQ queue for database processing.","Given the C-STORE SCP is under high load, When multiple studies are received simultaneously, Then the service remains responsive and processes all studies without data loss, returning C-STORE success responses quickly.",WI-014; WI-015,"Code reviewed and peer-approved; All acceptance criteria are met and validated using a DICOM test tool; Integration tests verify file storage and RabbitMQ message publication; Load testing confirms the SCP can handle at least 10 simultaneous associations; Feature is deployed and verified in the staging environment."
US-007,"EPIC-004: DICOM Core Functionality (SCP/SCU)",Query a Remote PACS and Retrieve Studies,Technician,"As a Technician, I want to search a remote PACS by patient or study criteria and retrieve selected studies to the local system, so that I can access prior imaging for comparison or review.",Must Have,13,US-006; US-009,"Given I am on the Query/Retrieve screen, When I enter valid search criteria and execute a search against a configured PACS, Then a list of matching studies is displayed in the results grid.","Given that search results are displayed, When I select one or more studies and click 'Retrieve', Then the system initiates a C-MOVE request to the remote PACS.","Given a C-MOVE request was initiated, When the remote PACS sends the studies, Then they are received by the local C-STORE SCP and become available in the local study list.",WI-016; WI-017,"Code reviewed and peer-approved; All acceptance criteria are met and validated against a test PACS; Unit tests cover the C-FIND and C-MOVE service logic; The UI remains responsive during network operations; Feature is deployed and verified in the staging environment."
US-008,"EPIC-008: Administration & Configuration",View System Health Dashboard,Administrator,"As an Administrator, I want to view a real-time health dashboard, so that I can quickly assess the operational status of the service, database, message queue, and storage.",Should Have,8,US-005,"Given I am on the 'System Health' page as an Administrator, When the page loads, Then the status of the Windows Service, PostgreSQL connectivity, and RabbitMQ connectivity are displayed correctly.","Given the dashboard is open, When a message is added to the main processing queue or the dead-letter queue, Then the message count on the dashboard updates automatically or on a frequent refresh interval.","Given the dashboard is open, When disk space at the DICOM storage location is low, Then the 'Disk Space' indicator changes color to show a warning or critical state based on configured thresholds.",WI-032,"Code reviewed and peer-approved; All acceptance criteria are met and validated; The dashboard accurately reflects the state of all monitored components in real-time; The UI is clear and easy to understand; Feature is deployed and verified in the staging environment."
US-009,"EPIC-008: Administration & Configuration",Manage Remote PACS Configurations,Administrator,"As an Administrator, I want to add, edit, remove, and verify connections to remote PACS servers, so that technicians can query and retrieve studies from authorized sources.",Must Have,5,US-007,"Given I am on the 'PACS Configuration' page, When I enter the AE Title, IP, and Port for a new PACS and click 'Save', Then the new configuration is persisted and appears in the list.","Given a PACS is configured in the list, When I click the 'Verify' button, Then the system performs a DICOM C-ECHO test and displays a 'Success' or 'Failure' message.","Given an existing PACS configuration needs to be changed, When I edit its details and click 'Save', Then the record is updated in the database with the new information.",WI-031,"Code reviewed and peer-approved; All acceptance criteria are met and validated; CRUD operations for PACS configurations work as expected; The C-ECHO verification provides accurate feedback; Feature is deployed and verified in the staging environment."
US-010,"EPIC-008: Administration & Configuration",Manage User Accounts,Administrator,"As an Administrator, I want to create, edit, and delete user accounts, so that I can manage system access for all personnel.",Must Have,8,US-001; US-002,"Given I am on the 'User Management' page, When I click 'Add User', fill in the details, and select a role, Then a new user account is created with a temporary password displayed to me.","Given an existing user is listed, When I change their role from 'Technician' to 'Administrator' and save, Then their permissions are updated accordingly for their next session.","Given an existing user is listed, When I click 'Delete' and confirm the action, Then the user account is permanently removed from the system.",WI-030,"Code reviewed and peer-approved; All acceptance criteria are met and validated; Admins are prevented from deleting or disabling the last admin account or their own account; All user management actions are logged in the audit trail; Feature is deployed and verified in the staging environment."
