task_id,task_name,primary_skill,secondary_skill,complexity_level,estimated_hours,required_experience,team_size,dependencies,critical_path,resource_notes,alternative_approach
WI-001,Scaffold Solution and Project Structure,DevOps,Backend Development,Low,4.17,Lead,1,"",Yes,"Foundational architecture task, requires strong understanding of Clean Architecture principles.",N/A
WI-002,Configure Dependency Injection in Windows Service,Backend Development,N/A,Low,6,Mid,1,TASK-ARC-001,Yes,"Standard DI setup, good task for a mid-level developer.",N/A
WI-002,Configure Dependency Injection in WPF Client,Frontend Development,N/A,Medium,8.5,Mid,1,TASK-ARC-001,Yes,"Requires WPF-specific DI knowledge (e.g., in App.xaml.cs).",N/A
WI-003,Integrate Serilog and Configure Basic Sinks,Backend Development,DevOps,Medium,8,Mid,1,"TASK-ARC-002,TASK-ARC-003",No,"Initial setup without complex logic. Secondary skill in DevOps for understanding Windows Event Log.",N/A
WI-007,Define User, Role, PasswordHistory EF Core Entities,Backend Development,Data Engineering,Low,6,Mid,1,TASK-ARC-001,Yes,"Core data modeling task. Requires strong understanding of database relationships and EF Core.",N/A
WI-008,Create and Apply Initial User Schema Migration,DevOps,Backend Development,Low,3.17,Mid,1,TASK-AUTH-001,Yes,"Requires experience with EF Core CLI and database management.",N/A
WI-006,Implement RabbitMQ Connection Management,Backend Development,DevOps,Medium,10.33,Senior,1,"TASK-ARC-002,TASK-ARC-003",Yes,"Requires implementing resilient, auto-reconnecting logic, which is complex. Senior level is appropriate.",N/A
WI-006,Implement RabbitMQ Topology Declaration Service,Backend Development,DevOps,Medium,8.5,Mid,1,TASK-IPC-004,Yes,"Requires understanding of idempotent script creation for infrastructure setup.",N/A
WI-004,Implement Named Pipe Server in Windows Service,Backend Development,N/A,Medium,12.33,Senior,1,TASK-ARC-002,No,"Requires understanding of multithreading and Windows-specific IPC. C# concurrency skills are essential.",N/A
WI-005,Implement Named Pipe Client in WPF Application,Frontend Development,N/A,Medium,8.83,Mid,1,TASK-ARC-003,No,"Requires strong async/await skills to avoid blocking the UI thread.",N/A
WI-003,Design and Develop PHI Masking Enricher,Backend Development,Quality Assurance,Medium,12.33,Senior,1,TASK-LOG-001,Yes,"Critical security feature for HIPAA compliance (Risk R-SEC-001). Requires meticulous attention to detail and security mindset.",Use a commercial logging library with built-in PII masking features.
WI-003,Implement Unit Tests for PHI Masking Enricher,Quality Assurance,Backend Development,Medium,8.5,Mid,1,TASK-LOG-002,Yes,"Thorough testing is critical to validate the security control (Risk R-SEC-001).",N/A
WI-009,Implement BCrypt Password Hashing Service,Backend Development,N/A,Low,6,Mid,1,"TASK-ARC-002,TASK-ARC-003",Yes,"Security-critical but straightforward implementation using a standard library.",N/A
WI-010,Implement Backend Authentication Service,Backend Development,N/A,Medium,10.33,Mid,1,"TASK-AUTH-002,TASK-AUTH-003",Yes,"Core authentication logic. Connects user data to hashing service.",N/A
WI-010,Develop WPF Login View (XAML),Frontend Development,Design,Medium,8,Mid,1,TASK-ARC-001,Yes,"Standard UI work, requires proficiency in XAML and Material Design Toolkit.",N/A
WI-010,Develop WPF Login ViewModel,Frontend Development,N/A,Medium,14.33,Mid,1,"TASK-AUTH-004,TASK-AUTH-005",Yes,"Connects the UI to the backend service. Requires strong MVVM and async command implementation skills.",N/A
WI-011,Implement Centralized Session Context Service,Backend Development,Frontend Development,Medium,8.5,Mid,1,TASK-AUTH-004,Yes,"Cross-cutting concern, needs to be accessible by both backend services and frontend ViewModels.",N/A
WI-003,Apply and Validate End-to-End PHI Masking,Quality Assurance,N/A,Low,4,Mid,1,TASK-LOG-003,Yes,"Final validation step for a critical security feature (Risk R-SEC-001).",N/A
WI-011,Implement RBAC in ViewModels and UI,Frontend Development,N/A,High,17,Senior,1,TASK-AUTH-010,Yes,"Complex task affecting many parts of the UI. Requires a systematic approach to avoid missing checks.",N/A
WI-011,Implement Backend Authorization Checks,Backend Development,N/A,Low,7,Mid,1,TASK-AUTH-010,Yes,"Backend enforcement is critical for security. Relatively simple logic but must be applied consistently.",N/A
