"task_id","title","description","type","status","priority","assignee","reporter","due_date","estimated_hours","story_points","labels","sprint","sprint_goal","epic","epic_id","project","parent_id","dependencies","skills_required","complexity","risk_level","acceptance_criteria","definition_of_done","created_at","updated_at","sprint_start_date","sprint_end_date","capacity_allocation","collaboration_required","external_dependencies","testing_requirements","deployment_notes","business_value"
"TASK-WI016-001","Backend: Create Password Hashing Service with BCrypt","Implement a reusable service that encapsulates password hashing and verification using the `BCrypt.Net` library. It will have two methods: `HashPassword(string password)` and `VerifyPassword(string password, string hash)`.","Task","Sprint Backlog","Critical","senior.backend@company.com","product.owner@company.com","2024-11-15","4.17","2","backend,security,auth","Sprint 1","Establish foundational user authentication and authorization framework.","User Authentication, Authorization & Session Management","EPIC-003","DICOM Management and Printing System","US-001","","C#,Security,BCrypt.Net","Medium","Medium","`HashPassword` returns a valid BCrypt hash string; `VerifyPassword` returns true for a correct password and false for an incorrect one.","Code reviewed; Unit tests passing with 100% coverage; DI registration complete.","2024-10-26T09:00:00Z","2024-10-26T09:00:00Z","2024-11-04","2024-11-15","100%","","","Unit tests for hash and verify methods.","Core security component.","Enables secure password storage, a critical HIPAA requirement."
"TASK-WI017-001","Backend: Implement User Authentication Service","Create the `AuthenticationService` that takes a username and password. It will fetch the user record from the database, use the `PasswordHasherService` to verify the password, and handle different login outcomes.","Task","Sprint Backlog","Critical","senior.backend@company.com","product.owner@company.com","2024-11-15","8.33","3","backend,security,auth","Sprint 1","Establish foundational user authentication and authorization framework.","User Authentication, Authorization & Session Management","EPIC-003","DICOM Management and Printing System","US-001","TASK-WI016-001","C#,Entity Framework Core","Medium","Low","Service returns a `UserSession` object on successful authentication; Throws specific exceptions for failure modes; Denies login for inactive users.","Code reviewed; Unit tests for all login scenarios passing with >90% coverage.","2024-10-26T09:00:00Z","2024-10-26T09:00:00Z","2024-11-04","2024-11-15","100%","","","Unit tests for all login scenarios.","","Implements the core logic for user authentication."
"TASK-WI018-001","Frontend: Build WPF Login View","Create the `LoginView.xaml`. This view will serve as the application's entry point, styled with Material Design.","Task","Sprint Backlog","Critical","frontend.dev@company.com","product.owner@company.com","2024-11-15","6","2","frontend,wpf,ui","Sprint 1","Establish foundational user authentication and authorization framework.","User Authentication, Authorization & Session Management","EPIC-003","DICOM Management and Printing System","US-001","","WPF,XAML,Material Design in XAML Toolkit","Low","Low","View is displayed on startup; Password characters are masked; UI elements are styled correctly.","UI matches design specifications; View is bound to ViewModel.","2024-10-26T09:00:00Z","2024-10-26T09:00:00Z","2024-11-04","2024-11-15","100%","","","Visual review.","","Provides the user interface for application entry."
"TASK-US006-001","Backend: Implement User Creation Service Logic","Implement the `CreateUserAsync` method in `UserService`. This includes checking for duplicate usernames, generating a secure temporary password, calling the password hashing service, and setting the 'force password change' flag.","Task","Sprint Backlog","Critical","backend.dev@company.com","product.owner@company.com","2024-11-15","8.33","3","backend,security,user-management","Sprint 1","Establish foundational user authentication and authorization framework.","User Authentication, Authorization & Session Management","EPIC-003","DICOM Management and Printing System","US-006","TASK-WI016-001","C#,Entity Framework Core,Security","Medium","Low","Method throws `DuplicateUsernameException`; Generates secure temp password; Returns new user object and plaintext password.","Code reviewed; Unit tests passing with >90% coverage.","2024-10-26T09:00:00Z","2024-10-26T09:00:00Z","2024-11-04","2024-11-15","100%","senior.backend@company.com for security review","","Unit tests for user creation logic.","","Enables administrators to provision new user accounts."
"TASK-WI020-001","Backend: Implement Authorization Service","Create a service, `IAuthorizationService`, that holds the current user's session context. It will expose methods like `IsAdmin()` or `HasPermission(Permission permission)`.","Task","Sprint Backlog","Critical","senior.backend@company.com","product.owner@company.com","2024-11-15","6","2","backend,security,auth","Sprint 1","Establish foundational user authentication and authorization framework.","User Authentication, Authorization & Session Management","EPIC-003","DICOM Management and Printing System","US-002","TASK-US001-005","C#,Microsoft.Extensions.DependencyInjection","Medium","Low","Service is initialized with user's role after login; `IsAdmin()` returns correct boolean based on role; Service can be injected anywhere.","Code reviewed; Unit tests passing for different roles.","2024-10-26T09:00:00Z","2024-10-26T09:00:00Z","2024-11-04","2024-11-15","100%","","","Unit tests for role validation.","","Provides the core mechanism for enforcing role-based access control."
"TASK-US001-006","QA: Create E2E Tests for All Login Scenarios","Using WinAppDriver, create automated end-to-end tests for: successful login (as Admin and Technician), login with incorrect password, login with non-existent user, and login with a disabled account.","Task","Sprint Backlog","High","qa.engineer@company.com","product.owner@company.com","2024-11-15","12.01","5","qa,e2e,automation,auth","Sprint 1","Establish foundational user authentication and authorization framework.","User Authentication, Authorization & Session Management","EPIC-003","DICOM Management and Printing System","US-001","TASK-US001-005","QA,WPF Automation (WinAppDriver)","Medium","Low","All specified test cases are implemented; Tests correctly assert the expected outcome; Tests are integrated into the CI/CD pipeline.","All tests pass reliably in the CI pipeline; Test execution report is generated.","2024-10-26T09:00:00Z","2024-10-26T09:00:00Z","2024-11-04","2024-11-15","100%","frontend.dev@company.com for UI element IDs","","E2E testing framework (WinAppDriver).","","Ensures the login process is robust and secure from a user perspective."
"TASK-WI035-001","Graphics: Spike/POC for Vortice.Windows DirectX Integration","Create a time-boxed proof-of-concept to validate the core technical approach of hosting a DirectX swap chain in a custom WPF control and rendering a simple shape.","Spike","Sprint Backlog","Critical","senior.frontend@company.com","product.owner@company.com","2024-11-29","17","8","spike,poc,graphics,directx,risk-mitigation","Sprint 2","De-risk the viewer, build session security, and establish core infrastructure.","DICOM Viewer and Image Manipulation","EPIC-005","DICOM Management and Printing System","US-012","","WPF,DirectX,Vortice.Windows,C#","High","High","A DirectX-rendered shape is visible within a WPF window; The POC is stable and does not leak memory; Key findings and a go/no-go recommendation are documented.","Successful demonstration of the POC; Technical report submitted and reviewed.","2024-10-26T09:00:00Z","2024-10-26T09:00:00Z","2024-11-18","2024-11-29","100%","","","Performance profiling and memory leak analysis.","This is a non-deployable proof-of-concept.","Mitigates RISK-001, the highest technical risk in the project, before committing significant resources to viewer development."
"TASK-WI026-001","Infra: Implement Global User Activity Monitor","Create a service that reliably monitors application-wide keyboard and mouse input, likely using P/Invoke to hook into low-level Windows messages. The service should raise an `OnUserActivity` event.","Task","Sprint Backlog","High","frontend.dev@company.com","product.owner@company.com","2024-11-29","12","5","frontend,infra,security,session","Sprint 2","De-risk the viewer, build session security, and establish core infrastructure.","User Authentication, Authorization & Session Management","EPIC-003","DICOM Management and Printing System","US-003","","C#,P/Invoke,Windows API","High","Medium","Service correctly raises an event for user input; Implementation is thread-safe and has negligible performance impact; Hook is properly installed/uninstalled.","Code reviewed; Performance profiling confirms minimal impact.","2024-10-26T09:00:00Z","2024-10-26T09:00:00Z","2024-11-18","2024-11-29","100%","","","Performance testing.","","Provides the foundational component for HIPAA-compliant automatic session locking."
"TASK-WI027-001","Backend: Implement Session Lock Service","Create `SessionLockService` that subscribes to the `UserActivityMonitorService`. It will manage a resettable timer and trigger a global 'LockSession' event when the timer elapses.","Task","Sprint Backlog","High","backend.dev@company.com","product.owner@company.com","2024-11-29","6","2","backend,security,session","Sprint 2","De-risk the viewer, build session security, and establish core infrastructure.","User Authentication, Authorization & Session Management","EPIC-003","DICOM Management and Printing System","US-003","TASK-WI026-001","C#,.NET Timers","Medium","Low","Timer starts on login; Timer resets on user activity; 'LockSession' event is broadcast on timeout; 'Session Locked' is logged to audit trail.","Code reviewed; Unit tests for timer logic are passing.","2024-10-26T09:00:00Z","2024-10-26T09:00:00Z","2024-11-18","2024-11-29","100%","","","Unit tests and integration testing with activity monitor.","","Implements the core business logic for the automatic session lock feature."
"TASK-WI036-001","Graphics: Implement Monochrome DICOM to GPU Texture Pipeline","Implement the logic to read pixel data from a `fo-dicom` object for a monochrome image, create a DirectX texture, upload the pixel data, and render it.","Task","Sprint Backlog","Critical","senior.frontend@company.com","product.owner@company.com","2024-12-13","17","8","frontend,graphics,directx,dicom,viewer","Sprint 3","Deliver a basic, functional DICOM viewer capable of rendering an image with interactive tools.","DICOM Viewer and Image Manipulation","EPIC-005","DICOM Management and Printing System","US-012","TASK-WI035-001","DirectX,`fo-dicom`,C#","High","High","A single-frame monochrome DICOM image can be loaded and displayed; Supports 8-bit and 16-bit grayscale; Uses a default window/level.","Code reviewed; Visual validation against a reference DICOM viewer confirms rendering accuracy.","2024-10-26T09:00:00Z","2024-10-26T09:00:00Z","2024-12-02","2024-12-13","100%","","","Visual validation and comparison with a tool like Horos or RadiAnt.","Critical path for viewer functionality.","First step to visualizing clinical data, the core purpose of the application."
