story_id,epic,title,user_role,description,priority,story_points,dependencies,acceptance_criteria_1,acceptance_criteria_2,acceptance_criteria_3,technical_tasks,definition_of_done
"US-001","Core Architecture & Project Setup","Establish Project Foundation","Developer","As a Developer, I want a well-defined solution structure with dependency injection configured so that I can build features in a maintainable and scalable way.","Must Have","5","","Given the solution is opened in an IDE, When the projects are built, Then the build succeeds without errors and all project references are correctly resolved.","Given the WPF client or Windows Service is starting, When the application requests a registered service from the DI container, Then an instance of the service is successfully provided.","Given a new feature needs to be added, When a developer follows the Clean Architecture pattern, Then there is a clear project layer (Core, Application, Infrastructure) for the new code to reside in.","WI-001: Create Solution and Project Structure, WI-002: Setup Dependency Injection","Code is peer-reviewed and merged into the main branch. Solution structure is approved by the tech lead. DI is configured and a sample service can be resolved in both client and service applications. Unit test projects are set up."
"US-002","Core Architecture & Project Setup","Implement System-Wide Structured Logging","Administrator","As an Administrator, I want the system to generate detailed logs for both client and service operations, with sensitive patient data masked, so that I can effectively troubleshoot issues while maintaining HIPAA compliance.","Must Have","8","US-001","Given the system is running, When an action (e.g., user login, file import) is performed, Then a corresponding log entry is written to both the rolling text file and the Windows Event Log.","Given a log entry is generated that involves patient data, When I inspect the log file or Event Log, Then I see placeholders like '[REDACTED]' instead of actual Patient Names or IDs.","Given I am troubleshooting an issue, When I review the logs, Then I can clearly distinguish between events originating from the WPF Client and the background Windows Service.","WI-003: Implement Serilog for Structured Logging","Logging is implemented in both client and service. Log sinks for File and Event Log are functional. A custom Serilog enricher correctly redacts PHI based on property names. All log entries contain sufficient context for troubleshooting."
"US-003","Core Architecture & Project Setup","Provide Real-time Service Status Feedback","System User","As a System User, I want the client application to know if the background service is running so that I am prevented from starting tasks that will fail and receive clear feedback about the system's status.","Should Have","5","US-001","Given the background Windows Service is running, When the client application starts or checks the status, Then UI elements dependent on the service (e.g., 'Print' button) are enabled.","Given the background Windows Service is stopped, When the client application starts or checks the status, Then UI elements dependent on the service are disabled and a notification indicates the service is unavailable.","Given the background service stops while the client is running, When the user attempts an action requiring the service, Then the action is prevented and a user-friendly error message is displayed promptly.","WI-004: Implement Named Pipe Server in Windows Service, WI-005: Implement Named Pipe Client in WPF Application","Named Pipe server in the service and client in the WPF app are implemented. The client's `IsServiceRunningAsync` method correctly returns true or false based on the service state. UI controls correctly bind to the status check result."
"US-004","Core Architecture & Project Setup","Enable Asynchronous Background Task Processing","System User","As a System User, I want the application to remain responsive while performing long-running tasks like printing or importing, so that I can continue my work without interruption.","Must Have","8","US-001","Given a long-running task like printing is initiated from the UI, When the task is submitted, Then the UI remains immediately responsive and does not freeze.","Given the RabbitMQ server restarts while a task is in the queue, When the server comes back online, Then the task is not lost and is eventually processed by the background service.","Given a background task fails processing after multiple retries, When I check the system health dashboard or logs, Then I can see that the failed task has been moved to a dead-letter queue for manual inspection.","WI-006: Implement RabbitMQ Publisher (Client) and Consumer (Service)","RabbitMQ publisher is integrated into the client and a consumer host is running in the service. Queues are declared as durable and messages as persistent. A Dead-Letter Exchange (DLX) is configured and tested to catch poison messages."
"US-005","User Authentication & Authorization","Log In to the Application","Registered System User","As a Registered System User, I want to securely log in to the application using my username and password so that I can gain access to system features authorized for my role.","Must Have","8","US-001","Given I have valid and active user credentials, When I enter them on the login screen and click 'Login', Then I am granted access and the main application window is displayed.","Given I enter my correct username but an incorrect password, When I click 'Login', Then a generic 'Invalid username or password.' error is displayed, and I remain on the login screen.","Given I attempt to log in with credentials for a disabled account, When I click 'Login', Then an error message 'Your account has been disabled...' is displayed, and access is denied.","WI-007: Define User, Role, and PasswordHistory EF Core Entities, WI-008: Create Initial EF Core Migration for User Schema, WI-009: Implement BCrypt Password Hashing Service, WI-010: Implement User Login Service and WPF ViewModel","Login UI and ViewModel are complete. Authentication service correctly validates credentials against BCrypt hashes stored in the database. The system handles incorrect passwords, non-existent users, and disabled accounts gracefully. Passwords are never logged in plaintext."
"US-006","User Authentication & Authorization","Restrict Feature Access Based on User Role","System User","As a System User, I want the application's features to be enabled or disabled based on my assigned role so that I only see and can use the functions I am authorized for.","Must Have","8","US-005","Given I am logged in as a 'Technician', When I navigate the application, Then the 'Administration' section and the 'Edit DICOM Metadata' button are hidden or disabled.","Given I am logged in as an 'Administrator', When I navigate the application, Then all features, including the 'Administration' section and 'Edit DICOM Metadata' button, are visible and enabled.","Given a user attempts to access an admin-only feature programmatically (bypassing the UI), When the action is invoked, Then the request is rejected by the application's business logic layer with an authorization error.","WI-011: Implement Role-Based UI Control","A centralized session context service is available to all ViewModels. UI elements correctly use this context to control their visibility and enabled states. Backend service methods are decorated with authorization attributes to prevent unauthorized access."
"US-007","User Authentication & Authorization","Automatically Lock Session Due to Inactivity","System User","As a System User, I want the application to automatically lock after 15 minutes of inactivity so that sensitive patient information is protected if I step away from my workstation.","Must Have","8","US-005","Given I am logged into the application, When I do not interact with the application via mouse or keyboard for 15 minutes, Then a modal lock screen overlay appears, obscuring the application.","Given my session is locked, When I enter my correct password and click 'Unlock', Then the lock screen disappears and I can resume my work exactly where I left off.","Given my session is locked, When I enter an incorrect password, Then an error message is displayed, and the session remains locked.","WI-012: Implement Automatic Session Lock","An application-wide inactivity monitor is implemented with low performance overhead. The lock screen overlay correctly covers all UI and preserves the application state. The unlock mechanism correctly validates the user's password."
"US-008","System Administration","Admin Creates New User Account","Administrator","As an Administrator, I want to create a new user account with a username, role, and temporary password so that I can provision system access for new staff members.","Must Have","8","US-006, US-012","Given I am on the 'User Management' page, When I fill out the 'Add User' form with a unique username and select a role, and click 'Create', Then the user is created, and I am shown a secure temporary password for the new user.","Given the new user logs in for the first time with the temporary password, When they successfully authenticate, Then they are immediately forced to create a new, permanent password.","Given I have created a new user, When I view the Audit Trail, Then I see a log entry for the 'User Created' event, including my username and the new user's username.","WI-013: Create User Management View and ViewModel, WI-014: Implement 'Create User' Functionality","The User Management UI allows adding users. The backend service creates the user, generates and hashes a temporary password, sets the 'force password change' flag, and writes an audit log entry within a single atomic database transaction."
"US-009","System Administration","Admin Manages User Roles and Status","Administrator","As an Administrator, I want to edit an existing user's role or disable their account so that I can manage user permissions and revoke access when necessary.","Must Have","5","US-006, US-012","Given I am on the 'User Management' page, When I select a user, change their role from 'Technician' to 'Administrator', and save, Then the user's permissions are updated for their next session, and the change is audited.","Given I am on the 'User Management' page, When I select a user and set their account status to 'Disabled', Then that user is immediately unable to log in to the system.","Given I attempt to disable or demote the last remaining Administrator account, When I try to save the change, Then the system prevents the action and displays an error message explaining that at least one administrator must exist.","WI-015: Implement 'Edit User' Functionality","The User Management UI allows editing users via a modal dialog. The backend service validates against demoting/disabling the last admin. All changes to role or status are recorded in the audit trail."
"US-010","System Administration","Admin Deletes User Account","Administrator","As an Administrator, I want to permanently delete a user account so that I can completely revoke access for personnel who have left the organization.","Should Have","3","US-006, US-012","Given I am on the 'User Management' page, When I select a user, click 'Delete', and confirm the action, Then the user account is permanently removed from the system.","Given I have deleted a user, When I check the Audit Trail, Then I see a log entry for the 'User Deleted' event with the relevant details.","Given I am viewing the user list, When I locate my own user account, Then the 'Delete' button for my own account is disabled, preventing self-deletion.","WI-013: Create User Management View and ViewModel (Delete command)","The User Management UI provides a delete function with a confirmation dialog. The backend service prevents self-deletion and the deletion of the last admin. The user record deletion and audit log creation are atomic."
"US-011","System Administration","Admin Resets User Password","Administrator","As an Administrator, I want to reset a user's password so that I can restore their access if they have forgotten their credentials.","Must Have","5","US-006, US-012","Given I am on the 'User Management' page, When I select a user and click 'Reset Password', Then the system generates a new temporary password and displays it to me.","Given a user's password has been reset, When they log in with the new temporary password, Then they are immediately forced to set a new permanent password.","Given I have reset a user's password, When I view the Audit Trail, Then I see a log entry for the 'Password Reset' event, including my username and the target user's username.","WI-016: Implement 'Password Reset' Functionality","The User Management UI provides a password reset function. The backend service generates a temporary password, updates the user's hash, sets the 'force password change' flag, and creates an audit log entry in a single transaction."
"US-012","System Administration","Admin Reviews Audit Trail","Administrator","As an Administrator, I want to view a comprehensive audit trail of significant system events so that I can monitor for security compliance and investigate incidents.","Must Have","8","US-001, US-006","Given I am on the 'Audit Trail' page, When the view loads, Then I see a time-stamped list of all significant events, such as user logins, password changes, and data modifications.","Given the audit trail contains many entries, When I use the filter controls to specify a date range and a user, Then the list updates to show only the events that match my criteria.","Given I have filtered the audit trail view, When I click the 'Export to CSV' button, Then a CSV file is generated containing the currently displayed log data.","WI-017: Define AuditLog EF Core Entity and Migration, WI-018: Implement Audit Logging Service, WI-019: Create Audit Trail Viewer UI","An Admin-only UI for viewing audit logs is implemented. The ViewModel supports filtering by user and date. An export function generates a CSV file of the filtered results. All data is fetched efficiently from the database."
"US-013","System Administration","Admin Monitors System Health","Administrator","As an Administrator, I want to view a real-time dashboard of system health so that I can proactively identify and address potential issues with the application and its dependencies.","Should Have","8","US-003, US-004, US-006","Given I am on the 'System Health Dashboard', When the view loads, Then I see status indicators for the Windows Service, PostgreSQL connection, and RabbitMQ connection.","Given the dashboard is open, When a connection to a dependency is lost, Then the corresponding status indicator changes from green to red in near real-time.","Given the dashboard is open, When I view the queue status, Then I can see the current number of messages in the main processing queue and the dead-letter queue.","WI-020: Implement System Health Dashboard","An Admin-only dashboard UI is created. It polls for health data from the background service via a secure IPC mechanism. The dashboard displays the status of all critical components and includes configurable warning thresholds for metrics like disk space."
