"story_id","epic","title","user_role","description","business_value","priority","story_points","dependencies","acceptance_criteria","technical_tasks","definition_of_done"
"US-001","User Authentication & Authorization","Log In to the Application with Secure Credentials","Registered System User","As a Registered System User (Technician or Administrator), I want to securely log in to the application using my unique username and password so that I can gain access to the system and use the features and functions authorized for my specific role.","Ensures only authorized personnel can access PHI, meeting HIPAA compliance and enabling the Role-Based Access Control model which is fundamental to the system's operation.","Must Have","8","[""US-006"",""US-013""]","[{""scenario"":""Successful login with valid credentials"",""given"":""a user has a valid and active account in the system"",""when"":""the user enters their correct username and password and clicks the 'Login' button"",""then"":""the system validates the credentials, the login window closes, and the main application window is displayed with features corresponding to the user's role.""},{""scenario"":""Login attempt with an incorrect password"",""given"":""a user has a valid account"",""when"":""the user enters their correct username but an incorrect password"",""then"":""the system displays a non-specific error message 'Invalid username or password.' and the password field is cleared.""},{""scenario"":""Login attempt with a disabled account"",""given"":""a user's account has been disabled by an administrator"",""when"":""the user enters their correct credentials for the disabled account"",""then"":""the system displays a specific error message 'Your account has been disabled. Please contact an administrator.'""}]","[""Implement BCrypt for Password Hashing and Verification"",""Create WPF Login View and ViewModel"",""Develop Authentication Service and Login Workflow""]","[""All acceptance criteria are met and pass testing."",""Code has been peer-reviewed and merged."",""Unit and integration tests for authentication logic achieve >80% coverage."",""A security review of the authentication and password handling code has been completed."",""The feature is verified in the staging environment.""]"
"US-002","User Authentication & Authorization","Access Application Features Based on Assigned Role","System User","As a system user (Technician or Administrator), I want the application's features and UI controls to be enabled or disabled based on my assigned role, so that I can only perform actions I am authorized for, ensuring system security and compliance with the principle of least privilege.","Enforces the principle of least privilege, a core security requirement for HIPAA compliance. Prevents unauthorized access to sensitive data and system configurations, reducing the risk of data breaches and operational errors.","Must Have","5","[""US-001""]","[{""scenario"":""Technician has restricted access to administrative functions"",""given"":""a user is authenticated with the 'Technician' role"",""when"":""the user navigates the application"",""then"":""the 'Administration' main area and all its sub-features (User Management, System Settings, Audit Trail) must be hidden and inaccessible.""},{""scenario"":""Technician cannot edit DICOM metadata"",""given"":""a user with the 'Technician' role is viewing a study"",""when"":""the user views the study's metadata"",""then"":""the UI control to 'Edit DICOM Metadata' must be disabled or hidden.""},{""scenario"":""Administrator has full access to all functions"",""given"":""a user is authenticated with the 'Admin' role"",""when"":""the user navigates the application"",""then"":""all features, including administrative functions and metadata editing, must be visible and enabled.""}]","[""Implement Role-Based Access Control (RBAC) Service""]","[""All acceptance criteria are met and pass testing."",""Code has been peer-reviewed and merged."",""Unit tests for the authorization service logic are implemented."",""E2E tests for both Technician and Admin roles are created and passing."",""The feature is verified in the staging environment.""]"
"US-003","User Authentication & Authorization","Automatically Lock Session After Inactivity","System User","As a clinician or administrator, I want the application to automatically lock itself after a defined period of inactivity, so that sensitive Protected Health Information (PHI) is protected from unauthorized viewing on an unattended workstation, ensuring compliance with HIPAA security rules.","Enhances security and ensures HIPAA compliance by automatically securing sessions on unattended workstations, mitigating the risk of unauthorized PHI access and potential data breaches.","Must Have","8","[""US-001""]","[{""scenario"":""Session locks after the 15-minute inactivity period"",""given"":""a user is logged into the application"",""when"":""the user performs no keyboard or mouse actions for 15 minutes"",""then"":""a modal lock screen overlay is displayed, obscuring the entire application window, prompting the user for their password.""},{""scenario"":""Inactivity timer resets upon user interaction"",""given"":""a user is logged into the application"",""when"":""the user performs a mouse click or key press after 14 minutes of inactivity"",""then"":""the inactivity timer is reset, and the session remains active.""},{""scenario"":""User successfully unlocks the session"",""given"":""the application session is locked"",""when"":""the user enters their correct password and clicks 'Unlock'"",""then"":""the lock screen is removed, and the application UI is restored to its exact pre-lock state.""},{""scenario"":""Unlock attempt with incorrect password"",""given"":""the application session is locked"",""when"":""the user enters an incorrect password"",""then"":""an error message 'Invalid password. Please try again.' is displayed, and the session remains locked.""}]","[""Implement Automatic Session Lock on Inactivity""]","[""All acceptance criteria are met and pass testing."",""Code has been peer-reviewed and merged."",""Performance impact of the activity monitor has been measured and is negligible."",""A security review confirms the lock screen cannot be bypassed."",""The feature is verified in the staging environment.""]"
"US-005","User Authentication & Authorization","Enforce Password Change After Administrative Reset","System User","As a system user whose password has been reset by an administrator, I want to be forced to create a new, private password upon my next login, so that my account is immediately secured and only I know the credentials to access it.","Enhances account security by ensuring temporary passwords are immediately replaced with a private password known only to the user. This is a critical control for HIPAA compliance.","Must Have","5","[""US-009"",""US-017""]","[{""scenario"":""Successful forced password change on first login"",""given"":""a user's account has been flagged for a mandatory password reset"",""when"":""the user logs in with the temporary password"",""then"":""the system presents a non-dismissible 'Create New Password' screen, and the user cannot access any other part of the application until a new, compliant password is set.""},{""scenario"":""New password violates the configured password policy"",""given"":""the user is on the 'Create New Password' screen"",""when"":""the user enters a new password that is too short or lacks complexity"",""then"":""the system displays a specific error message detailing the policy violation, and the user remains on the password change screen.""}]","[""Develop Authentication Service and Login Workflow"",""Implement Configurable Password Policy""]","[""All acceptance criteria are met and pass testing."",""Code has been peer-reviewed and merged."",""E2E test scenario of reset and forced change is successfully validated."",""Security requirements validated, including checking for secure storage and transport."",""The feature is verified in the staging environment.""]"
"US-006","System Administration & Auditing","Create a New User Account","Administrator","As an Administrator, I want to create a new user account with a username, temporary password, and role so I can provision access for new staff.","Enables secure and efficient onboarding of new personnel by provisioning system access with appropriate permissions, a fundamental requirement for multi-user operational readiness.","Must Have","5","[""US-001"",""US-015""]","[{""scenario"":""Admin successfully creates a new Technician user"",""given"":""I am an Admin on the 'User Management' page"",""when"":""I enter a unique username, select the 'Technician' role, and click 'Create'"",""then"":""a new user record is created with a 'force password change' flag, a success notification is displayed containing a temporary password, and the new user appears in the user list.""},{""scenario"":""Attempting to create a user with a duplicate username"",""given"":""a user with the username 'jdoe' already exists"",""when"":""I attempt to create a new user with the username 'jdoe'"",""then"":""the system prevents the creation and displays an error message 'Username already exists'.""},{""scenario"":""User creation is logged in the audit trail"",""given"":""I have successfully created a new user"",""when"":""I navigate to the 'Audit Trail' viewer"",""then"":""I see a new log entry with my user ID, the event type 'User Created', and the target user's username.""}]","[""Develop User Management Interface (CRUD)""]","[""All acceptance criteria are met and pass testing."",""Code has been peer-reviewed and merged."",""Unit and integration tests for user creation logic are implemented."",""Passwords are confirmed to be stored using BCrypt hashing."",""The feature is verified in the staging environment.""]"
"US-010","Core Architecture & System Setup","Establish Core Application Framework","Developer","As a Developer, I need the solution's foundational project structure and Dependency Injection (DI) framework established so that I can build features within a clean, maintainable, and scalable architecture.","Provides the foundational structure upon which all other features are built, ensuring a scalable, maintainable, and robust application that reduces long-term development costs.","Must Have","5","[]","[{""scenario"":""Solution structure is correctly established"",""given"":""the project repository is cloned"",""when"":""I open the solution in Visual Studio"",""then"":""I see separate projects for Client.Wpf, Service, Core, DataAccess, and Infrastructure, and the solution compiles successfully.""},{""scenario"":""Dependency Injection is configured for both client and service"",""given"":""the application projects are set up"",""when"":""the WPF client or the Windows Service starts"",""then"":""a Generic Host is built, services are registered with the DI container, and no DI-related exceptions occur at startup.""}]","[""Initialize .NET Solution and Project Structure"",""Implement Dependency Injection using Microsoft.Extensions.DependencyInjection""]","[""All acceptance criteria are met."",""Solution structure and DI patterns are reviewed and approved by the technical lead."",""Initial project templates are configured with appropriate .NET 8 settings."",""The setup is documented in the developer onboarding guide.""]"
"US-011","Core Architecture & System Setup","Implement Secure, PHI-Redacted Logging","Administrator","As an Administrator, I want the system to log all significant events to both a local file and the Windows Event Log, but with all Protected Health Information (PHI) automatically redacted, so that I can troubleshoot issues without compromising patient privacy or violating HIPAA.","Enables effective system monitoring and troubleshooting while ensuring strict compliance with HIPAA privacy rules, preventing accidental disclosure of sensitive patient data in logs.","Must Have","5","[""US-010""]","[{""scenario"":""System events are logged to configured destinations"",""given"":""the application is running"",""when"":""a significant event occurs, like a failed login attempt"",""then"":""a corresponding log entry is created in both the rolling text file and the Windows Event Log.""},{""scenario"":""Logs containing PHI are automatically redacted"",""given"":""the logging system is active"",""when"":""an event is logged that includes a patient's name or ID"",""then"":""the resulting log entry in all destinations must show a masked value (e.g., '***') instead of the actual PHI.""},{""scenario"":""Asynchronous operations are traceable via correlation ID"",""given"":""a user initiates an asynchronous operation like printing"",""when"":""log entries related to that operation are generated in the client and service"",""then"":""all related log entries must contain the same unique correlation ID.""}]","[""Configure Serilog for Structured Logging""]","[""All acceptance criteria are met and pass testing."",""Code has been peer-reviewed and merged."",""A security review confirms that the PHI redaction logic is effective and cannot be bypassed."",""Log output has been manually inspected to verify correct formatting and redaction."",""The feature is verified in the staging environment.""]"
"US-012","Core Architecture & System Setup","Implement Reliable Asynchronous Messaging with RabbitMQ","System User","As a System User, I want long-running tasks like printing or database imports to be processed in the background without freezing the application, and I want to be assured that these tasks are not lost even if the system restarts, so that I can have a responsive and reliable user experience.","Decouples the user interface from long-running tasks, dramatically improving UI responsiveness and user satisfaction. Ensures system reliability and data integrity by guaranteeing that critical tasks are not lost during system restarts or crashes.","Must Have","8","[""US-010""]","[{""scenario"":""Messages for critical operations are persisted"",""given"":""a message for a print job is published to RabbitMQ"",""when"":""the RabbitMQ broker is restarted before the message is consumed"",""then"":""the message must still be in the queue after the broker comes back online and is eventually processed.""},{""scenario"":""Poison messages are routed to a Dead-Letter Queue"",""given"":""a message in a processing queue consistently fails to be processed after multiple retries"",""when"":""the consumer rejects the message for the final time"",""then"":""the message is automatically moved from the main queue to a designated Dead-Letter Queue (DLQ) for manual inspection.""}]","[""Implement RabbitMQ Publisher and Consumer Infrastructure"",""Implement RabbitMQ Dead-Letter Exchange (DLX) Mechanism""]","[""All acceptance criteria are met and pass testing."",""Code has been peer-reviewed and merged."",""Integration tests confirm message durability and dead-lettering functionality."",""RabbitMQ management UI is used to verify queue and message properties."",""The feature is verified in the staging environment.""]"
"US-013","Data Persistence & Management","Define and Implement Database Schema","Developer","As a Developer, I need the application's database schema defined as C# entities and managed via EF Core, with a repository pattern for data access, so that I can build features that securely and efficiently persist and retrieve application data.","Establishes the system of record for all application data. Using an ORM like EF Core and standard design patterns increases development velocity and improves maintainability.","Must Have","8","[""US-010""]","[{""scenario"":""EF Core entities are defined for the application model"",""given"":""the project structure is in place"",""when"":""I review the DataAccess or Core project"",""then"":""I see C# classes representing all required entities like User, Study, Series, Image, and AuditLog, with correct relationships configured.""},{""scenario"":""Database migrations can be generated and applied"",""given"":""the EF Core DbContext and entities are defined"",""when"":""I run the `dotnet ef migrations add` and `dotnet ef database update` commands"",""then"":""an initial migration is created, and the corresponding schema is successfully applied to the PostgreSQL database.""},{""scenario"":""Data access is abstracted via the Repository Pattern"",""given"":""the repositories are implemented"",""when"":""an application service needs to query for a user"",""then"":""it calls a method like `IUserRepository.GetByUsernameAsync()` instead of interacting directly with the EF Core DbContext.""}]","[""Define EF Core Entities and DbContext"",""Implement Repository Pattern for Data Access""]","[""All acceptance criteria are met."",""Code has been peer-reviewed and merged."",""The initial database migration is successfully applied to a development database."",""Unit tests for repository logic are implemented."",""The database schema design is approved by the technical lead.""]"
"US-014","Data Persistence & Management","Implement At-Rest Encryption for PHI in Database","Security Officer","As a Security Officer, I require that all columns in the database containing Protected Health Information (PHI) be encrypted at the column level, so that even with direct database access, the sensitive data is unreadable, ensuring compliance with HIPAA data-at-rest protection rules.","Provides a critical security control for HIPAA compliance (REQ-1-083), protecting sensitive patient data from unauthorized access even in the event of a database server breach.","Must Have","8","[""US-013"",""US-016""]","[{""scenario"":""PHI data is stored encrypted in the database"",""given"":""the application saves a new study with a Patient Name"",""when"":""I query the 'Studies' table directly in the PostgreSQL database"",""then"":""the value in the 'PatientName' column must be an encrypted string, not the plaintext name.""},{""scenario"":""Application transparently decrypts PHI data on read"",""given"":""a study with an encrypted Patient Name exists in the database"",""when"":""the application reads the study and displays it in the UI"",""then"":""the correct, unencrypted Patient Name is shown to the user.""}]","[""Implement pgcrypto for PHI Encryption at Rest""]","[""All acceptance criteria are met and pass testing."",""Code has been peer-reviewed and merged."",""A security review confirms the encryption implementation is sound and key management is secure."",""Database has been manually inspected to confirm data is stored in encrypted format."",""The feature is verified in the staging environment.""]"
