task_id,task_name,primary_skill,secondary_skill,complexity_level,estimated_hours,required_experience,team_size,dependencies,critical_path,resource_notes,alternative_approach
TSK-001,"Initialize .NET Solution and Project Structure",Backend Development,DevOps,Low,3.2,Mid,1,"",Yes,"Foundational task for the entire solution. Must adhere to Clean Architecture principles from the start.","Use a pre-built .NET Clean Architecture template to accelerate setup."
TSK-002,"Implement .NET Generic Host for Windows Service",Backend Development,DevOps,Medium,4.2,Mid,1,TSK-001,Yes,"Core task for running the application as a service. Establishes DI and configuration patterns for all subsequent hosted services.","Use a third-party library like TopShelf for more fluent service configuration, though the native generic host is preferred for .NET 8+."
TSK-003,"Implement Serilog PHI Redaction Enricher",Backend Development,Security,Medium,6.3,Senior,1,TSK-002,Yes,"High compliance risk (RISK-002). Requires strong Regex skills and a deep understanding of HIPAA PHI definitions. Must be paired with comprehensive unit tests.","Use a commercial, pre-built PHI scanning/redaction library if available, though this might add licensing costs and performance overhead."
TSK-004,"Configure Serilog Sinks for File and Windows Event Log",Backend Development,Configuration,Low,3.2,Mid,1,TSK-003,Yes,"Ensures logging is correctly routed. Configuration must be robust for different environments (dev, prod).","Use a centralized logging platform sink (e.g., Seq, Datadog) instead of local files for better observability, but this introduces an external dependency."
TSK-005,"Write Unit Tests for PHI Redaction Enricher",Quality Assurance,Security,Medium,7.2,Senior,1,TSK-003,Yes,"Critical validation for compliance (RISK-002). Test cases must cover a wide range of PHI formats and edge cases.","Manual log review during testing is a supplement, not an alternative, to automated unit tests for this component."
TSK-006,"Define EF Core Entities for User Management",Backend Development,Database,Medium,4.2,Mid,1,TSK-001,Yes,"Defines the core data model for security. Must align perfectly with database design and security requirements (e.g., password history).","Use a schema-first approach where C# classes are generated from a database schema, but code-first is generally more flexible for .NET development."
TSK-007,"Define EF Core Entities for DICOM Data",Backend Development,Database,Medium,7.2,Mid,1,TSK-001,Yes,"Defines the primary data model for the application's core domain. Accuracy of relationships and constraints is crucial.","Consider using a NoSQL database for metadata flexibility, but PostgreSQL provides stronger transactional guarantees required by the system."
TSK-008,"Define EF Core Entities for System & Configuration",Backend Development,Database,Medium,7.2,Mid,1,TSK-001,Yes,"Defines the data model for all operational and administrative configurations. JSONB columns can be used for flexible rule criteria.","Store some settings in configuration files (appsettings.json) instead of the database, but DB storage allows for dynamic updates via the UI."
TSK-009,"Implement and Configure DicomAppDbContext",Backend Development,Database,High,8.3,Senior,1,"TSK-006,TSK-007,TSK-008",Yes,"Central point of data access configuration. TLS enforcement for the PostgreSQL connection is a critical security requirement.","Use a micro-ORM like Dapper for performance-critical queries, but EF Core is better for overall application development and migrations."
TSK-010,"Implement Generic Repository Pattern",Backend Development,Architecture,Medium,6,Mid,1,TSK-009,Yes,"Establishes a standard data access pattern, promoting testability and separation of concerns.","Directly use the DbContext in service layers for simpler applications, but the repository pattern provides better abstraction for this system's complexity."
TSK-011,"Implement Specific Repositories",Backend Development,Architecture,High,8.2,Senior,1,TSK-010,Yes,"Required for complex business queries that go beyond simple CRUD operations. This is where domain-specific data access logic resides.","Implement query logic directly in application services using LINQ on the DbContext, but this can lead to duplicated code and violates the separation of concerns."
TSK-012,"Set up and Create Initial EF Core Migration",Backend Development,Database,Low,3.3,Mid,1,TSK-009,Yes,"Critical step to translate the code-first model into a database schema. The initial migration must be complete and correct.","Manage database schema changes with raw SQL scripts, but this is error-prone and loses the benefits of the EF Core model consistency."
TSK-013,"Write Integration Test to Apply Migration and Verify Schema",Quality Assurance,DevOps,High,8.7,Senior,1,TSK-012,Yes,"Ensures that the data model and migrations are valid and can be deployed reliably. Testcontainers are essential for creating an isolated test environment.","Manually apply migrations and inspect the database, but this is not repeatable and cannot be integrated into an automated CI/CD pipeline."
TSK-014,"Implement RabbitMQ Singleton Connection Manager",Backend Development,Architecture,High,8.7,Senior,1,TSK-002,Yes,"A core component for system resilience. Automatic reconnection logic must be robust to handle network blips and broker restarts.","Create a new connection for every published message. This is highly inefficient and not recommended for production systems."
TSK-015,"Write Integration Tests for Connection Manager",Quality Assurance,DevOps,High,8.3,Senior,1,TSK-014,Yes,"Critical validation for a core resilience component. Test must simulate broker downtime to confirm the reconnection logic works as expected.","Rely on manual testing by stopping/starting the RabbitMQ service, which is inefficient and not suitable for automated regression testing."
TSK-016,"Implement Generic Message Publisher Service",Backend Development,Architecture,Medium,4.2,Mid,1,TSK-014,Yes,"Provides a clean, reusable interface for publishing messages, abstracting away the underlying RabbitMQ client details.","Publish messages directly using the RabbitMQ client library in every service that needs it, but this leads to code duplication and tight coupling."
TSK-017,"Implement Base Consumer IHostedService with DLQ Logic",Backend Development,Architecture,Very High,14.3,Lead,2,TSK-014,Yes,"Critical, high-risk task (RISK-004) forming the basis of system reliability. Recommend pair programming. Incorrect implementation can lead to message loss or queue blockage.","Leverage a higher-level library like MassTransit or NServiceBus to handle the consumer boilerplate, but this adds a significant new dependency and learning curve."
