"task_id","title","description","type","status","priority","assignee","reporter","due_date","estimated_hours","story_points","labels","sprint","sprint_goal","epic","epic_id","project","parent_id","dependencies","skills_required","complexity","risk_level","acceptance_criteria","definition_of_done","created_at","updated_at","sprint_start_date","sprint_end_date","capacity_allocation","collaboration_required","external_dependencies","testing_requirements","deployment_notes","business_value"
"WI-008","Define User, Role, and PasswordHistory Entities","Create C# entity classes for `User`, `Role`, and `PasswordHistory` using EF Core Code-First. The `User` entity will include fields for username, password hash, role foreign key, and flags like `isActive` and `isTemporaryPassword`. Configure relationships and constraints.","Task","Sprint Backlog","Critical","senior.backend.dev@company.com","product.owner@company.com","2025-01-17","6.33","5","database,ef-core,backend,security","Sprint 1","Establish core security foundation (auth, secrets), reliable background service, and de-risk high-performance viewer with a technical spike.","User Authentication & Authorization","EPIC-002","DICOM Management & Printing System","US-002","","EF Core 8,C#,PostgreSQL","Medium","Low","EF Core `Add-Migration` command successfully generates a migration script based on the entities. The migration can be applied to a PostgreSQL database without errors, creating the necessary tables and relationships.","Migration script generated and successfully applied. Code reviewed and merged.","2024-10-26T09:00:00Z","2024-10-26T09:00:00Z","2025-01-06","2025-01-17","80%","None","PostgreSQL Server availability","Database schema inspection after migration.","This is a foundational schema change.","Core data model for all user-related features."
"WI-009","Implement BCrypt Password Hashing Service","Create a password hashing service that uses the `BCrypt.Net` library to hash passwords for storage and verify passwords during login. This service will be a core security component used by authentication and user management.","Task","Sprint Backlog","Critical","senior.backend.dev@company.com","product.owner@company.com","2025-01-17","6","3","security,backend,cryptography","Sprint 1","Establish core security foundation (auth, secrets), reliable background service, and de-risk high-performance viewer with a technical spike.","User Authentication & Authorization","EPIC-002","DICOM Management & Printing System","US-001","","C#,Cryptography,BCrypt","Medium","Medium","The `HashPassword` method returns a valid BCrypt hash string. The `VerifyPassword` method returns true for a correct password and false for an incorrect one. Hashing the same password twice produces two different hash strings, verifying salt generation.","Unit tests pass with 100% coverage. Code reviewed by another senior developer.","2024-10-26T09:00:00Z","2024-10-26T09:00:00Z","2025-01-06","2025-01-17","80%","None","","Extensive unit testing for all hashing and verification logic.","Critical security component.","Required for storing user passwords securely."
"WI-013","Implement Authentication Service","Create an `AuthenticationService` that orchestrates the login process: fetch user from DB via repository, verify password hash, handle disabled accounts, and create a user session object upon success.","Task","Sprint Backlog","Critical","senior.backend.dev@company.com","product.owner@company.com","2025-01-17","6.33","5","backend,security,authentication","Sprint 1","Establish core security foundation (auth, secrets), reliable background service, and de-risk high-performance viewer with a technical spike.","User Authentication & Authorization","EPIC-002","DICOM Management & Printing System","US-001","WI-008,WI-009","C#,EF Core 8","Medium","Medium","Returns a success result with user details (including role) for valid credentials. Returns a failure result for invalid credentials or disabled accounts. Does not differentiate between 'user not found' and 'wrong password' in its primary failure response to prevent user enumeration.","Unit tests cover all authentication scenarios (success, wrong password, disabled account, user not found). Code reviewed and merged.","2024-10-26T09:00:00Z","2024-10-26T09:00:00Z","2025-01-06","2025-01-17","80%","None","","Unit testing of all authentication logic paths.","Core service for application access.","Depends on the user data model and password hashing."
"WI-011","Implement Secure Credential Storage Service","Develop a service that uses the Windows Credential Manager API to securely store and retrieve sensitive credentials. This service will be registered in the DI container for application-wide use.","Task","Sprint Backlog","Critical","senior.backend.dev@company.com","product.owner@company.com","2025-01-17","6.33","3","security,backend,windows-api","Sprint 1","Establish core security foundation (auth, secrets), reliable background service, and de-risk high-performance viewer with a technical spike.","Core Architecture & Technology Foundation","EPIC-001","DICOM Management & Printing System","US-023","","C#,.NET,Windows Credential Manager API","Medium","Medium","Credentials saved via the service are visible in the Windows Credential Manager. The application can retrieve the credentials at runtime to connect to services like PostgreSQL. No sensitive credentials exist in appsettings.json or other config files in a production build.","Integration test that saves and retrieves a secret passes. Code reviewed and merged.","2024-10-26T09:00:00Z","2024-10-26T09:00:00Z","2025-01-06","2025-01-17","80%","None","Windows OS","Integration testing on a Windows machine; manual check of config files.","Requires correct permissions for the service account to access credentials.","Required before any service needing credentials can be implemented."
"WI-001","Create Windows Service Project using Generic Host","Scaffold a new .NET 8 Worker Service project. Configure Program.cs to use the Generic Host builder (`Host.CreateDefaultBuilder`), add support for running as a Windows Service (`UseWindowsService`), and set up DI container and basic Serilog logging.","Task","Sprint Backlog","Critical","senior.backend.dev@company.com","product.owner@company.com","2025-01-17","6.33","1","backend,architecture,windows-service","Sprint 1","Establish core security foundation (auth, secrets), reliable background service, and de-risk high-performance viewer with a technical spike.","Core Architecture & Technology Foundation","EPIC-001","DICOM Management & Printing System","US-020","",".NET 8,Microsoft.Extensions.Hosting,Serilog","Low","Low","The project builds successfully. The service can be installed, started, and stopped on a Windows machine using sc.exe. Basic logging with Serilog is configured and writes to a file upon service start/stop.","Service installs and runs successfully. Code reviewed and merged.","2024-10-26T09:00:00Z","2024-10-26T09:00:00Z","2025-01-06","2025-01-17","80%","None","Windows OS","Manual installation and verification in services.msc; check for log file creation.","Foundational for all background processing.","Foundation for all background processing."
"WI-002","Implement Automatic Service Recovery","Create or update a deployment script (e.g., PowerShell) that uses `sc.exe failure` to configure the service's recovery options to 'Restart the Service' for first, second, and subsequent failures.","Task","Sprint Backlog","Critical","senior.backend.dev@company.com","product.owner@company.com","2025-01-17","3.17","","devops,powershell,windows-service","Sprint 1","Establish core security foundation (auth, secrets), reliable background service, and de-risk high-performance viewer with a technical spike.","Core Architecture & Technology Foundation","EPIC-001","DICOM Management & Printing System","US-020","WI-001","PowerShell,Windows Service Control Manager (sc.exe)","Low","Low","After running the script, the service's properties in `services.msc` show the correct recovery settings. Killing the service process via Task Manager results in an automatic restart by the Windows Service Control Manager.","Script created and verified to set recovery options correctly. Code reviewed.","2024-10-26T09:00:00Z","2024-10-26T09:00:00Z","2025-01-06","2025-01-17","80%","None","Windows OS","Manual verification in services.msc and by terminating the process.","Included as part of the installation process.","Requires the service to be created before its recovery options can be configured."
"WI-006","Scaffold WPF Project with MVVM, DI, and Base Shell","Create a new .NET 8 WPF project. Integrate `Microsoft.Extensions.DependencyInjection`. Set up the basic MVVM structure with folders for Views, ViewModels, and Models. Create a MainWindow and a MainViewModel to act as the application shell.","Task","Sprint Backlog","Critical","mid.frontend.dev@company.com","product.owner@company.com","2025-01-17","6.33","2","frontend,wpf,architecture,mvvm","Sprint 1","Establish core security foundation (auth, secrets), reliable background service, and de-risk high-performance viewer with a technical spike.","Core Architecture & Technology Foundation","EPIC-001","DICOM Management & Printing System","US-021","","WPF,MVVM,Dependency Injection,C#","Low","Low","The application launches and displays the MainWindow. The MainWindow's DataContext is set to an instance of MainViewModel resolved from the DI container. A simple binding from a ViewModel property to a TextBlock in the View works correctly.","Project structure created and DI is functional. Code reviewed.","2024-10-26T09:00:00Z","2024-10-26T09:00:00Z","2025-01-06","2025-01-17","80%","None","","Launch application and verify UI and data binding.","Foundation for all client-side UI.","Foundation for all client-side UI."
"WI-012","Implement Login View and ViewModel","Create a WPF View for the login screen with fields for username and password, and a corresponding LoginViewModel with data binding properties and an ICommand for the login action. The ViewModel will call an authentication service.","Task","Sprint Backlog","Critical","mid.frontend.dev@company.com","product.owner@company.com","2025-01-17","6.33","","frontend,wpf,security,mvvm","Sprint 1","Establish core security foundation (auth, secrets), reliable background service, and de-risk high-performance viewer with a technical spike.","User Authentication & Authorization","EPIC-002","DICOM Management & Printing System","US-001","WI-006,WI-013","WPF,XAML,MVVM","Medium","Low","The login view is displayed on application startup. User input is correctly bound to ViewModel properties. Successful authentication navigates to the main application window. Failed authentication displays a generic, non-specific error message.","E2E test of login process passes. Code reviewed and merged.","2024-10-26T09:00:00Z","2024-10-26T09:00:00Z","2025-01-06","2025-01-17","80%","Backend team for AuthenticationService integration.","","E2E testing of the login process for success and failure cases.","Entry point for the application UI.","Requires the app shell and the authentication service it calls."
"WI-024","SPIKE: De-risk DirectX Rendering in WPF using Vortice.Windows","Create a time-boxed Proof of Concept (PoC) to validate the integration of `Vortice.Windows` into the WPF project for DirectX rendering. The goal is to create a custom WPF control that hosts a DirectX 11 swap chain, implement a basic rendering loop, and verify resource management to mitigate RISK-001.","Spike","Sprint Backlog","Critical","senior.frontend.specialist@company.com","product.owner@company.com","2025-01-17","16.5","8","spike,poc,directx,wpf,risk-mitigation","Sprint 1","Establish core security foundation (auth, secrets), reliable background service, and de-risk high-performance viewer with a technical spike.","Advanced DICOM Viewer & Tools","EPIC-004","DICOM Management & Printing System","US-009","WI-006","WPF,DirectX,Vortice.Windows,C#","High","High","A custom control in a WPF window successfully displays a solid color or simple shape rendered via DirectX. The application does not leak GPU resources when the window is resized or closed (verified by profiling). A summary document is produced outlining findings, challenges, and a confidence score for proceeding with this approach.","PoC completed and demoed. Findings documented. Decision made on proceeding with DirectX.","2024-10-26T09:00:00Z","2024-10-26T09:00:00Z","2025-01-06","2025-01-17","80%","None","","Profiling with GPU performance tools (e.g., in Visual Studio) to check for resource leaks.","This is an exploratory task, not for production deployment.","Mitigates the highest technical risk in the project (RISK-001) early in the lifecycle."
"WI-014","Implement Role-Based UI Control Mechanism","Develop a centralized authorization service and a reusable mechanism (e.g., custom attached properties, value converters) to dynamically show, hide, enable, or disable WPF UI elements based on the current user's role. Ensure checks are also enforced on the backend.","Task","Sprint Backlog","Critical","senior.backend.dev@company.com","product.owner@company.com","2025-01-31","10.33","5","security,wpf,backend,architecture","Sprint 2","Implement user and access management, including creation/editing of accounts, role-based controls, and session locking.","User Authentication & Authorization","EPIC-002","DICOM Management & Printing System","US-004","WI-013","WPF,XAML,C#","High","Medium","An 'Administration' menu item is visible when an Admin is logged in, and hidden for a Technician. An 'Edit Metadata' button is enabled for an Admin and disabled for a Technician. A direct call to an admin-only service method from a Technician's session context is rejected with an authorization error.","Authorization service and UI mechanisms implemented and reviewed. E2E tests for both roles pass.","2024-10-26T09:00:00Z","2024-10-26T09:00:00Z","2025-01-20","2025-01-31","80%","Frontend team for UI integration.","","Unit tests for authorization logic; E2E tests to verify UI state for different roles.","A cross-cutting concern that will be widely used.","Requires the authentication service to establish a user session with a role."
