"story_id","epic","title","user_role","description","business_value","priority","story_points","dependencies","acceptance_criteria","technical_tasks","definition_of_done"
"US-001","User Authentication & Authorization","Securely Log In to the Application","Registered System User (Technician or Administrator)","As a Registered System User, I want to securely log in to the application using my unique username and password so that I can gain access to the system and use the features authorized for my specific role.","Ensures that only authorized personnel can access sensitive Protected Health Information (PHI), enforcing security, meeting HIPAA compliance, and enabling the role-based access control model which is fundamental to the system's operation.","Must Have","8","[""US-002"",""US-003""]","[{""scenario"":""Successful login with valid credentials"",""given"":""I have a valid and active account in the system"",""when"":""I enter my correct username and password and click 'Login'"",""then"":""the login window closes, and the main application window is displayed with features corresponding to my assigned role.""},{""scenario"":""Login attempt with incorrect password"",""given"":""I have a valid account"",""when"":""I enter my correct username but an incorrect password"",""then"":""a non-specific error message 'Invalid username or password.' is displayed, and I remain on the login screen.""},{""scenario"":""Login attempt with a disabled account"",""given"":""my user account has been disabled by an administrator"",""when"":""I enter my correct username and password"",""then"":""a specific error message 'Your account has been disabled. Please contact an administrator.' is displayed, and I am prevented from logging in.""}]","[""WI-012: Implement Login View and ViewModel"",""WI-013: Implement Authentication Service"",""WI-009: Implement BCrypt Password Hashing""]","[""All acceptance criteria are met and validated."",""Code is peer-reviewed and merged into the main branch."",""Unit and integration tests for the authentication service and ViewModel achieve >80% code coverage."",""A security review of the password handling and authentication logic is completed."",""E2E tests for successful and failed login scenarios are passing.""]"
"US-002","User Authentication & Authorization","Create and Manage User Accounts","Administrator","As an Administrator, I want to create, view, edit, and delete user accounts so that I can manage system access for all personnel in accordance with their roles and responsibilities.","Enables secure and efficient onboarding, offboarding, and role management of system users, which is a fundamental requirement for operational readiness and security compliance.","Must Have","13","[""US-001"",""US-003"",""US-018""]","[{""scenario"":""Administrator creates a new Technician user"",""given"":""I am logged in as an Administrator and on the User Management page"",""when"":""I provide a unique username, select the 'Technician' role, and confirm creation"",""then"":""a new user is created with a secure temporary password, the user is flagged to require a password change on next login, and the new user appears in the user list.""},{""scenario"":""Administrator edits a user's role"",""given"":""I am logged in as an Administrator"",""when"":""I select a 'Technician' user and change their role to 'Administrator'"",""then"":""the user's permissions are updated, and the change is recorded in the audit trail.""},{""scenario"":""Administrator attempts to delete the last administrator account"",""given"":""there is only one active Administrator account in the system"",""when"":""I attempt to delete that account"",""then"":""the system prevents the action and displays an error message stating that at least one administrator is required.""},{""scenario"":""Administrator cannot edit or delete their own account"",""given"":""I am logged in as an Administrator"",""when"":""I view my own account in the user list"",""then"":""the 'Edit' and 'Delete' controls are disabled.""}]","[""WI-008: Define User, Role, and PasswordHistory Entities"",""WI-045: Create User Management View"",""WI-046: Implement 'Add User' and 'Edit User' Logic""]","[""All acceptance criteria are met."",""User CRUD operations are fully functional and audited."",""Business rules (last admin, self-edit) are enforced."",""Unit tests for the UserService business logic are implemented."",""E2E tests for creating, editing, and deleting a user are passing.""]"
"US-003","Auditing & Compliance","Establish Comprehensive Audit Trail","Administrator","As an Administrator, I want the system to automatically record all significant security and data modification events in a central audit trail so that I can review user activity for compliance and security investigations.","Provides essential traceability for all actions involving PHI and system configuration, which is critical for security incident response, accountability, and meeting HIPAA regulatory requirements.","Must Have","8","[]","[{""scenario"":""An auditable event occurs"",""given"":""the audit service is running"",""when"":""an Administrator resets a user's password"",""then"":""a new entry is created in the audit log table containing the administrator's ID, the event type 'Password Reset', the target user's ID, and a timestamp.""},{""scenario"":""Administrator views the audit trail"",""given"":""I am logged in as an Administrator"",""when"":""I navigate to the Audit Trail viewer"",""then"":""I can see a list of all recorded audit events and filter them by user and date range.""},{""scenario"":""Administrator exports the audit trail"",""given"":""I have filtered the audit trail view"",""when"":""I click the 'Export to CSV' button"",""then"":""a CSV file containing the currently displayed audit logs is generated and downloaded.""}]","[""WI-050: Design and Implement AuditLog Entity and Service"",""WI-051: Integrate Auditing into All Required Workflows"",""WI-053: Implement Audit Trail Viewer""]","[""All acceptance criteria are met."",""The AuditLog entity and service are implemented."",""Key workflows (user management, metadata edits) correctly create audit log entries."",""The Audit Trail viewer is functional, including filtering and exporting."",""Integration tests verify that audited actions create the correct log entries.""]"
"US-004","User Authentication & Authorization","Apply Role-Based Access Control (RBAC)","System User (Technician or Administrator)","As a System User, I want the application's features and UI controls to be enabled or disabled based on my assigned role so that I can only perform authorized actions, ensuring system security.","Enforces the principle of least privilege, a core HIPAA security requirement, by preventing unauthorized access to sensitive data and system configurations, reducing the risk of data breaches and operational errors.","Must Have","5","[""US-001""]","[{""scenario"":""Technician logs in and sees a restricted UI"",""given"":""I am logged in with a 'Technician' role"",""when"":""I navigate the application"",""then"":""the 'Administration' area is hidden, and the 'Edit DICOM Metadata' button is disabled.""},{""scenario"":""Administrator logs in and has full access"",""given"":""I am logged in with an 'Administrator' role"",""when"":""I navigate the application"",""then"":""all features, including the 'Administration' area and 'Edit DICOM Metadata' button, are visible and enabled.""},{""scenario"":""Backend prevents unauthorized action"",""given"":""I am authenticated as a 'Technician'"",""when"":""I attempt to invoke an administrative function programmatically, bypassing the UI"",""then"":""the action is rejected by the backend with an authorization error.""}]","[""WI-014: Implement Role-Based UI Control""]","[""All acceptance criteria are met."",""UI controls are correctly shown/hidden/disabled based on the logged-in user's role."",""Backend services enforce authorization checks for sensitive operations."",""E2E tests validate the UI state and accessibility for both Technician and Admin roles.""]"
"US-005","User Authentication & Authorization","Automatically Lock Session After Inactivity","System User","As a System User, I want the application to automatically lock itself after 15 minutes of inactivity so that sensitive PHI is protected from unauthorized viewing on an unattended workstation.","Enhances security and ensures HIPAA compliance by automatically securing sessions on unattended workstations, mitigating the risk of unauthorized PHI access and potential data breaches.","Must Have","8","[""US-001""]","[{""scenario"":""Session locks after inactivity"",""given"":""I am logged into the application"",""when"":""I perform no keyboard or mouse actions for 15 minutes"",""then"":""a modal lock screen overlay is displayed, obscuring the entire application and prompting for my password.""},{""scenario"":""Inactivity timer resets on user interaction"",""given"":""I have been inactive for 14 minutes"",""when"":""I move the mouse or press a key"",""then"":""the 15-minute inactivity timer is reset, and the session remains active.""},{""scenario"":""User successfully unlocks the session"",""given"":""my session is locked"",""when"":""I enter my correct password and click 'Unlock'"",""then"":""the lock screen is removed, and the application is restored to its exact pre-lock state.""}]","[""WI-015: Implement Automatic Session Lock Feature""]","[""All acceptance criteria are met."",""The inactivity monitor correctly triggers the lock screen."",""The lock screen preserves and restores the application state upon successful unlock."",""The performance impact of the inactivity hook is verified to be negligible."",""The feature is validated by security review to be non-bypassable.""]"
"US-006","DICOM Core Functionality","Asynchronously Receive and Store DICOM Studies","System","As the System, I want to function as a DICOM C-STORE SCP, reliably receiving studies from external modalities and persisting their metadata and files without impacting performance so that we can act as a central node in a clinical workflow.","Provides the core clinical data ingestion capability, enabling the system to interoperate with imaging modalities (like CT, MRI scanners) and other PACS, which is essential for its primary function.","Must Have","13","[""US-023""]","[{""scenario"":""A modality sends a study to the system"",""given"":""the background service is running and listening on its DICOM port"",""when"":""an external DICOM SCU sends a study via a C-STORE operation"",""then"":""the SCP accepts the association, saves the files, and immediately publishes a message to RabbitMQ with the study metadata, then sends a success response to the SCU.""},{""scenario"":""The system processes a received study from the queue"",""given"":""a message for a new study is in the RabbitMQ queue"",""when"":""the persistence consumer processes the message"",""then"":""new records for the Patient, Study, Series, and Images are created in the PostgreSQL database, the DICOM files are moved to the permanent hierarchical storage location, and the message is acknowledged from the queue.""},{""scenario"":""A processing failure routes a message to the Dead-Letter Queue"",""given"":""a message in the queue contains malformed data causing a persistent database error"",""when"":""the consumer fails to process the message a configurable number of times"",""then"":""the message is rejected without requeueing and is automatically routed to the Dead-Letter Queue (DLQ) for manual inspection.""}]","[""WI-003: Implement RabbitMQ Publisher and Consumer Abstractions"",""WI-004: Implement RabbitMQ Dead-Letter Exchange (DLX) Mechanism"",""WI-018: Implement DICOM C-STORE SCP Listener"",""WI-022: Develop DICOM Metadata Persistence Consumer"",""WI-023: Implement Hierarchical File Storage Logic""]","[""All acceptance criteria are met."",""The system can successfully receive and persist studies from a test SCU tool (e.g., `dcmtk`)."",""The decoupling of SCP reception and database persistence via RabbitMQ is fully implemented."",""The DLQ mechanism is tested and verified to work correctly on processing failure."",""The C-STORE SCP can handle at least 10 simultaneous associations without performance degradation.""]"
"US-007","DICOM Core Functionality","Query and Retrieve Studies from a Remote PACS","Technician","As a Technician, I want to query a configured remote PACS for studies and retrieve selected studies to my local system so that I can perform viewing, printing, or other operations on them.","Enables seamless integration with existing hospital-wide PACS, allowing users to pull necessary prior studies or current exams into the local application for their specific workflow, enhancing clinical efficiency.","Must Have","8","[""US-006"",""US-008""]","[{""scenario"":""User successfully queries a remote PACS"",""given"":""I am on the 'Query/Retrieve' page and a remote PACS is correctly configured"",""when"":""I enter search criteria (e.g., Patient ID) and click 'Search'"",""then"":""the system performs a DICOM C-FIND, and a list of matching studies from the remote PACS is displayed in the UI.""},{""scenario"":""User successfully retrieves a study from a remote PACS"",""given"":""I have a list of search results from a remote PACS"",""when"":""I select a study from the results and click 'Retrieve'"",""then"":""the system initiates a DICOM C-MOVE, the remote PACS sends the study to our system's SCP, and the UI provides real-time feedback on the retrieval progress and completion.""},{""scenario"":""Query or retrieve operation fails"",""given"":""the remote PACS is offline or the configuration is incorrect"",""when"":""I attempt to search or retrieve a study"",""then"":""the system times out or fails gracefully and displays a descriptive error message to me in the UI.""}]","[""WI-019: Implement DICOM C-FIND SCU"",""WI-020: Implement DICOM C-MOVE SCU""]","[""All acceptance criteria are met."",""The user can perform a C-FIND against a test PACS and view results."",""The user can initiate a C-MOVE, and the study is successfully received by the local C-STORE SCP."",""All network operations are asynchronous and do not block the UI."",""UI provides clear feedback on the status of the operations.""]"
"US-008","System Administration & Configuration","Manage Remote PACS Connections","Administrator","As an Administrator, I want to add, edit, remove, and verify remote PACS configurations so that I can manage the systems our application integrates with for query/retrieve functions.","Provides the necessary administrative control to configure and maintain critical integrations with external clinical systems, ensuring the query/retrieve functionality remains operational and accurate.","Should Have","5","[]","[{""scenario"":""Administrator adds a new PACS configuration"",""given"":""I am on the PACS Configuration page"",""when"":""I enter the AE Title, IP Address, and Port for a new PACS and click 'Save'"",""then"":""the new PACS configuration is saved to the database and appears in the list of configured PACS.""},{""scenario"":""Administrator verifies a PACS connection"",""given"":""a PACS is configured in the system"",""when"":""I click the 'Verify' button for that PACS"",""then"":""the system sends a DICOM C-ECHO request to the PACS and displays a 'Success' or 'Failure' message based on the response.""}]","[""WI-021: Implement DICOM C-ECHO SCU"",""WI-048: Implement PACS Configuration Management UI""]","[""All acceptance criteria are met."",""Full CRUD functionality for PACS configurations is implemented."",""The C-ECHO verification provides immediate and accurate feedback."",""The UI is restricted to Administrator roles.""]"
"US-009","Advanced DICOM Viewer & Tools","View and Manipulate DICOM Images","Technician","As a Technician, I want a high-performance DICOM viewer with a standard set of image manipulation tools so that I can efficiently review and analyze clinical images.","Provides the core clinical image review capability. A fast, intuitive viewer with essential tools directly improves diagnostic efficiency and user satisfaction.","Must Have","13","[]","[{""scenario"":""User opens a large study"",""given"":""I have a multi-frame CT study"",""when"":""I open the study in the viewer"",""then"":""a low-resolution preview appears almost instantly, followed by the full-resolution image, and the UI remains responsive throughout.""},{""scenario"":""User uses image manipulation tools"",""given"":""an image is open in the viewer"",""when"":""I use my mouse to zoom, pan, and adjust the window/level (WW/WL)"",""then"":""the image updates in real-time with smooth, interactive feedback, and I can apply common WW/WL presets like 'Lung' or 'Bone'.""},{""scenario"":""User uses comparison mode"",""given"":""I have two related series open"",""when"":""I activate the side-by-side comparison mode with synchronization enabled"",""then"":""I can view both series simultaneously, and actions like panning and zooming are mirrored across both viewports.""}]","[""WI-024: Set up DirectX Rendering in WPF using Vortice.Windows"",""WI-025: Implement DICOM Pixel Data to GPU Texture Upload"",""WI-026: Implement Progressive Loading Strategy"",""WI-027: Implement Zoom, Pan, and Rotate Tools"",""WI-028: Implement Interactive Window/Level (WW/WL)"",""WI-031: Implement Side-by-Side Comparison Mode"",""WI-032: Implement Thumbnail Grid Panel""]","[""All acceptance criteria are met."",""The viewer is GPU-accelerated and renders images correctly."",""Progressive loading is functional and improves perceived performance."",""All standard manipulation tools (Zoom, Pan, WW/WL, Rotate, Flip) are implemented and intuitive to use."",""Side-by-side mode with synchronization is working.""]"
"US-010","Advanced DICOM Viewer & Tools","Create and Save Non-Destructive Annotations","Technician","As a Technician, I want to create non-destructive annotations and measurements on images and save them for later review so that I can highlight findings and record key metrics.","Enhances the clinical utility of the viewer by allowing users to add their own interpretative data to images. Saving these as standard DICOM Presentation States ensures interoperability and preserves the integrity of the original images.","Should Have","13","[""US-009""]","[{""scenario"":""User creates a measurement"",""given"":""an image with known pixel spacing is open in the viewer"",""when"":""I use the length measurement tool to draw a line on a feature"",""then"":""the length of the line is displayed in real-world units (e.g., millimeters).""},{""scenario"":""User saves annotations"",""given"":""I have added several annotations (arrows, text, measurements) to a series"",""when"":""I save my work"",""then"":""the system creates a new DICOM Grayscale Softcopy Presentation State (GSPS) object associated with the original series.""},{""scenario"":""User re-opens a study with saved annotations"",""given"":""a study has a saved GSPS object"",""when"":""I open the study"",""then"":""the application automatically detects and applies the GSPS, displaying my previously saved annotations on the correct images.""}]","[""WI-029: Implement Annotation and Measurement Tools"",""WI-030: Implement Saving Annotations as DICOM GSPS""]","[""All acceptance criteria are met."",""Users can create annotations (arrows, text) and measurements (length, angle, area)."",""Annotations are successfully saved by creating a valid DICOM GSPS object."",""The system correctly loads and displays annotations from an existing GSPS object.""]"
