"story_id","epic","title","user_role","description","business_value","priority","story_points","dependencies","acceptance_criteria","technical_tasks","definition_of_done"
"US-001","User Authentication & Authorization","Log in to the Application with Role-Specific Access","Registered System User (Technician or Administrator)","As a Registered System User, I want to securely log in to the application using my unique username and password so that I can gain access to the system and use the features and functions authorized for my specific role.","Ensures that only authorized personnel can access sensitive Protected Health Information (PHI), thereby enforcing security, meeting HIPAA compliance requirements, and enabling the role-based access control model which is fundamental to the system's operation.","Must Have","8","[""US-006""]","[{""scenario"":""Successful login as Administrator"",""given"":""I have a valid and active 'Administrator' account"",""when"":""I enter my correct username and password and click 'Login'"",""then"":""the login window closes and the main application window is displayed with all features, including the 'Administration' area, visible and enabled.""},{""scenario"":""Successful login as Technician"",""given"":""I have a valid and active 'Technician' account"",""when"":""I enter my correct username and password and click 'Login'"",""then"":""the login window closes and the main application window is displayed with the 'Administration' area hidden or disabled.""},{""scenario"":""Login attempt with an incorrect password"",""given"":""I have a valid username"",""when"":""I enter an incorrect password and click 'Login'"",""then"":""a generic error message 'Invalid username or password.' is displayed, and I remain on the login screen.""},{""scenario"":""Login attempt with a disabled account"",""given"":""my user account has been disabled by an administrator"",""when"":""I enter my correct username and password and click 'Login'"",""then"":""an error message 'Your account has been disabled. Please contact an administrator.' is displayed.""}]","[""WI-011"",""WI-012"",""WI-013""]","[""User can successfully log in with both Admin and Technician roles."",""Role-based UI visibility is correctly applied after login."",""All failed login scenarios are handled gracefully with appropriate error messages."",""Unit and integration tests for the AuthenticationService are implemented and passing."",""Passwords are confirmed to be verified using the BCrypt hashing service.""]"
"US-003","User Authentication & Authorization","Automatically Lock Session After Inactivity","Authenticated User","As a clinician or administrator, I want the application to automatically lock itself after a defined period of inactivity, so that sensitive Protected Health Information (PHI) is protected from unauthorized viewing on an unattended workstation.","Enhances security and ensures HIPAA compliance by automatically securing sessions on unattended workstations, mitigating the risk of unauthorized PHI access.","Must Have","5","[""US-001""]","[{""scenario"":""Session locks after 15 minutes of inactivity"",""given"":""I am logged into the application"",""when"":""I perform no keyboard or mouse actions for 15 minutes"",""then"":""a modal lock screen overlay is displayed, obscuring the entire application window.""},{""scenario"":""Inactivity timer resets on user interaction"",""given"":""I am logged in and have been inactive for 14 minutes"",""when"":""I move the mouse or press a key"",""then"":""the inactivity timer is reset, and the session remains unlocked.""}]","[""WI-014""]","[""Application correctly displays the lock screen after 15 minutes of user inactivity."",""Any user input (mouse move, click, key press) successfully resets the inactivity timer."",""The activity monitoring mechanism has a negligible performance impact on the application.""]"
"US-004","User Authentication & Authorization","Unlock Session with Password","Authenticated User","As a logged-in user whose session has been locked, I want to enter my password into a lock screen to securely unlock my session and resume my work from where I left off.","Provides a seamless user experience that maintains workflow continuity after a session is locked for security, preventing loss of work.","Must Have","5","[""US-003""]","[{""scenario"":""Successful unlock with correct password"",""given"":""my application session is locked"",""when"":""I enter my correct password and click 'Unlock'"",""then"":""the lock screen is removed, and the application is restored to its exact pre-lock state.""},{""scenario"":""Unlock attempt with incorrect password"",""given"":""my application session is locked"",""when"":""I enter an incorrect password and click 'Unlock'"",""then"":""an error message 'Invalid password. Please try again.' is displayed, and the session remains locked.""},{""scenario"":""Session is terminated after multiple failed unlock attempts"",""given"":""my application session is locked and I have made 4 consecutive failed attempts"",""when"":""I enter an incorrect password for the 5th time"",""then"":""my session is terminated, and the application returns to the main login screen.""}]","[""WI-015""]","[""User can successfully unlock a locked session with the correct password."",""Incorrect password attempts are handled with an error message."",""The session is forcibly terminated after 5 failed attempts."",""All unlock attempts (successful and failed) are recorded in the audit trail.""]"
"US-005","User Authentication & Authorization","Force Password Change After Administrative Reset","System User","As a user whose password was reset by an administrator, I want to be forced to create a new, private password upon my next login, so that my account is immediately secured and only I know the credentials.","Enhances account security by ensuring temporary passwords are immediately replaced with a private password known only to the user, a critical control for HIPAA compliance.","Must Have","5","[""US-009"",""US-011""]","[{""scenario"":""User is forced to change password on first login after reset"",""given"":""my password has been reset by an admin and I have a temporary password"",""when"":""I log in using the temporary password"",""then"":""I am immediately presented with a non-dismissible 'Create New Password' screen.""},{""scenario"":""User successfully sets a new password"",""given"":""I am on the 'Create New Password' screen"",""when"":""I enter a new password that meets the system's password policy and click 'Set Password'"",""then"":""my password is updated, and I am redirected to the main application.""},{""scenario"":""User is prevented from bypassing the password change screen"",""given"":""I am on the 'Create New Password' screen"",""when"":""I attempt to close the screen or navigate elsewhere"",""then"":""the action is prevented, and I remain on the password change screen.""}]","[""WI-017""]","[""A user logging in with a temporary password is correctly redirected to the forced change screen."",""The new password must be validated against the configured password policy."",""Upon successful change, the 'isTemporaryPassword' flag is cleared in the database."",""The user cannot access any other part of the application until the password is changed.""]"
"US-006","System Administration & Monitoring","Create a New User Account","Administrator","As an Administrator, I want to create a new user account with a username, temporary password, and role, so I can provision system access for new staff members.","Enables secure and efficient onboarding of new personnel by provisioning system access with appropriate permissions.","Must Have","3","[""US-001"",""US-031""]","[{""scenario"":""Admin successfully creates a new Technician user"",""given"":""I am on the 'User Management' page"",""when"":""I click 'Add User', enter a unique username, select the 'Technician' role, and click 'Create'"",""then"":""a new user is created, a success notification is displayed containing a temporary password, and the new user appears in the user list.""},{""scenario"":""Attempt to create a user with a duplicate username"",""given"":""a user with the username 'jdoe' already exists"",""when"":""I attempt to create another user with the username 'jdoe'"",""then"":""the system prevents the creation and displays an error message 'Username already exists'.""}]","[""WI-061""]","[""A new user record is created in the database with a BCrypt hashed temporary password."",""The user record is flagged to require a password change on next login."",""The user creation event is successfully logged in the audit trail."",""The UI provides clear feedback to the administrator, including the temporary password.""]"
"US-010","Core Architecture & Setup","Establish Secure Inter-Process Communication (IPC)","System Architect","As a System Architect, I want to establish robust and distinct communication channels between the client and service, so that synchronous status checks are fast and asynchronous tasks are reliably offloaded.","Creates a responsive and resilient application by using the correct communication patterns for different tasks, preventing the UI from freezing during long operations and ensuring no tasks are lost.","Must Have","8","[]","[{""scenario"":""Client checks service status synchronously"",""given"":""the background Windows Service is running"",""when"":""the client application initiates a status check via Named Pipes"",""then"":""the client receives a successful 'PONG' response within 500ms.""},{""scenario"":""Client queues an asynchronous task"",""given"":""the background service and RabbitMQ broker are running"",""when"":""the client publishes a command message to a RabbitMQ queue"",""then"":""the message appears in the queue, and the background service consumer receives it for processing.""},{""scenario"":""Client handles unavailable service for status check"",""given"":""the background Windows Service is stopped"",""when"":""the client application initiates a status check via Named Pipes"",""then"":""the client call times out and correctly identifies the service as unavailable.""}]","[""WI-006"",""WI-007""]","[""RabbitMQ infrastructure for publishing and consuming messages is implemented and tested."",""Named Pipes client/server for synchronous 'PING'/'PONG' status checks is implemented and tested."",""The communication services are registered with DI and available throughout the application."",""Connection resilience logic for RabbitMQ is implemented.""]"
"US-011","User Authentication & Authorization","Configure System-Wide Password Policy","Administrator","As an Administrator, I want to configure the system-wide password policy, so that I can enforce security standards for all user accounts in compliance with organizational requirements.","Strengthens system security by enforcing strong password requirements, reducing the risk of unauthorized access through weak or compromised credentials.","Must Have","5","[""US-001""]","[{""scenario"":""Admin configures password policy"",""given"":""I am on the 'Password Policy' settings page"",""when"":""I set the minimum length to 14, require a symbol, and set password history to 10, then click 'Save'"",""then"":""the settings are persisted, and a success notification is shown.""},{""scenario"":""User is forced to comply with new policy"",""given"":""the password policy requires a symbol"",""when"":""a user attempts to change their password to one without a symbol"",""then"":""the change is rejected, and an error message 'Password must contain a symbol.' is displayed.""}]","[""WI-016""]","[""Admin UI for configuring password policy (length, complexity, history) is implemented."",""PasswordPolicyValidator service correctly validates passwords against all configured rules."",""The validator correctly checks against the PasswordHistory table to prevent reuse."",""Policy settings are persisted to and read from the database.""]"
"US-012","DICOM Network Services & Processing","Receive and Asynchronously Process DICOM Studies","System","As the System, I want to function as a DICOM C-STORE SCP, receiving studies and immediately queueing them for background processing, so that I can ingest data from modalities at high speed without getting bogged down by database writes.","Enables high-throughput data acquisition from medical imaging devices, ensuring the system can keep up during peak usage without losing data or failing associations.","Must Have","13","[""US-010""]","[{""scenario"":""System receives a DICOM study"",""given"":""the background service is running and listening as a C-STORE SCP"",""when"":""an external modality sends a DICOM study"",""then"":""the service accepts the study, sends a DICOM success response, and publishes a message to the ingestion queue on RabbitMQ.""},{""scenario"":""Background service processes a queued study"",""given"":""a message containing study metadata exists in the ingestion queue"",""when"":""the ingestion consumer processes the message"",""then"":""new records for the patient, study, series, and images are created in the database, the DICOM files are moved to permanent storage, and the message is removed from the queue.""},{""scenario"":""System handles a failing message"",""given"":""a message in the queue consistently causes a processing error"",""when"":""the consumer fails to process it after 3 retries"",""then"":""the message is automatically moved to the Dead-Letter Queue (DLQ) for manual inspection.""}]","[""WI-018"",""WI-019"",""WI-020"",""WI-021""]","[""C-STORE SCP listener is integrated into the Windows Service and functions correctly."",""The asynchronous pipeline (SCP -> RabbitMQ -> Consumer -> Database) is fully implemented."",""The Dead-Letter Queue mechanism is configured and tested."",""The entire process is non-blocking for the SCP listener.""]"
"US-013","DICOM Network Services & Processing","Query and Retrieve Studies from a Remote PACS","Technician or Administrator","As a Technician or Administrator, I want to query a remote PACS for studies and retrieve selected ones to my local system, so that I can import external patient data for viewing or printing.","Provides essential interoperability, allowing users to access and work with data from a central picture archiving and communication system (PACS).","Must Have","8","[""US-012""]","[{""scenario"":""User successfully queries a remote PACS"",""given"":""I am on the PACS Query screen and have a valid PACS configuration"",""when"":""I enter search criteria (e.g., Patient ID) and click 'Search'"",""then"":""the system performs a DICOM C-FIND and displays the matching study results in a list.""},{""scenario"":""User retrieves a study from the remote PACS"",""given"":""I have a list of search results from a remote PACS"",""when"":""I select a study and click 'Retrieve'"",""then"":""the system initiates a DICOM C-MOVE, the remote PACS sends the study to my local C-STORE SCP, and the study appears in my local study browser.""},{""scenario"":""Admin verifies PACS connectivity"",""given"":""I am an Admin on the PACS Configuration page"",""when"":""I click the 'Verify' button for a configured PACS"",""then"":""the system performs a DICOM C-ECHO and displays a 'Success' or 'Failure' message.""}]","[""WI-022"",""WI-023"",""WI-024"",""WI-025""]","[""The PACS Query UI is functional."",""The DICOM SCU service can successfully perform C-FIND, C-MOVE, and C-ECHO operations against a test PACS."",""The UI provides clear feedback on the status of the query and retrieve operations."",""All network operations are asynchronous and do not block the UI.""]"
"US-014","DICOM Viewer & Image Manipulation","View and Manipulate DICOM Images with High Performance","Technician or Administrator","As a Technician or Administrator, I want a high-performance DICOM viewer with standard manipulation tools, so that I can effectively review and diagnose medical images.","Provides the core clinical functionality of the application, enabling users to perform their primary task of reviewing medical images.","Must Have","21","[]","[{""scenario"":""User views a DICOM image"",""given"":""I have opened a study"",""when"":""I select an image series"",""then"":""the image is rendered on screen using GPU acceleration, and I can scroll through multi-frame series.""},{""scenario"":""User uses interactive window/level tool"",""given"":""an image is displayed in the viewer"",""when"":""I activate the window/level tool and drag my mouse"",""then"":""the image's brightness and contrast are updated in real-time on the GPU.""},{""scenario"":""User uses zoom and pan tools"",""given"":""an image is displayed in the viewer"",""when"":""I use my mouse wheel to zoom and right-click to pan"",""then"":""the image viewport updates smoothly and interactively.""},{""scenario"":""User opens a large study quickly"",""given"":""I have a large (500MB) CT study"",""when"":""I open the study"",""then"":""a low-resolution preview appears almost instantly (< 3 seconds), and the full-resolution data loads progressively in the background.""}]","[""WI-026"",""WI-027"",""WI-028"",""WI-029"",""WI-030"",""WI-031"",""WI-032""]","[""The DirectX-based rendering pipeline is implemented and integrated into a WPF control."",""The viewer can render both monochrome and color DICOM images."",""Zoom, Pan, and interactive Window/Level tools are fully functional and performant."",""The progressive loading strategy is implemented and meets performance targets.""]"
