id,req_id,category,formalized_text,feature_group,original_text,assumptions,constraints,dependencies,detail_analysis,priority,validation_criteria
69,REQ-1-001,Technical,"The system shall be implemented using a Client-Server architecture, consisting of a WPF desktop client application for all user interactions and a single, consolidated background Windows Service for asynchronous and long-running tasks.",DICOM Management and Printing System - Core,"The system shall be architected as a Client-Server system with a decoupled Background Worker Service. The system shall be composed of a main WPF desktop client application for user interaction and a single, consolidated background Windows Service.",,,,FALSE,high,
70,REQ-1-002,Technical,The system shall depend on pre-installed and configured instances of a PostgreSQL server (version 16) and a RabbitMQ server for its operation. The application will not bundle these services for production deployment.,DICOM Management and Printing System - Core,"This architecture requires pre-existing and configured server components (PostgreSQL, RabbitMQ) for operation.",,,,FALSE,high,
71,REQ-1-003,Functional,"The background Windows Service shall be the sole host for all asynchronous, long-running tasks. Its responsibilities must include: acting as the DICOM C-STORE SCP listener, consuming messages from a queue for database write operations, processing all PDF generation jobs, and handling the spooling of physical print jobs.",DICOM Management and Printing System - Core,"The background service shall be responsible for hosting all background functionalities and processing asynchronous, long-running tasks, including but not limited to: Acting as the C-STORE SCP listener. Consuming messages from a queue for database writes originating from C-STORE operations. Processing PDF generation requests. Handling physical print job spooling.",,,,FALSE,high,
72,REQ-1-004,Technical,All communication for asynchronous task initiation from the WPF client to the Windows Service shall be performed using a message queue implemented with RabbitMQ. The client acts as the producer and the service acts as the consumer.,DICOM Management and Printing System - Core,Communication between the main application (producer) and the background service (consumer) for asynchronous tasks shall be handled via a message queue (RabbitMQ).,,,,FALSE,high,
73,REQ-1-005,NonFunctional,"Messages published to RabbitMQ for critical operations, including database writes and print jobs, shall be marked as persistent. The corresponding queues shall be declared as durable to ensure that messages are not lost in the event of a RabbitMQ broker restart.",DICOM Management and Printing System - Core,"All messages published to RabbitMQ for critical data processing (e.g., database writes, print jobs) shall be marked as persistent to ensure they survive a message broker restart.",,,,FALSE,high,
74,REQ-1-006,NonFunctional,The RabbitMQ architecture shall implement a dead-letter exchange (DLX) and dead-letter queue (DLQ) mechanism. Messages that fail processing a configurable number of times in the main queue shall be automatically routed to the DLQ for manual inspection and intervention.,DICOM Management and Printing System - Core,The message queue architecture shall include a dead-letter queue (DLQ) mechanism to handle and isolate messages that fail processing after a configurable number of retries.,,,,FALSE,high,
75,REQ-1-007,Technical,"The system shall use Named Pipes for direct, synchronous, inter-process communication between the WPF client and the Windows Service. This channel shall be used exclusively for real-time status checks, such as verifying the service's operational status.",DICOM Management and Printing System - Core,"Direct, synchronous communication for real-time status checks (e.g., verifying if the service is running) shall be handled via Named Pipes.",,,,FALSE,medium,
76,REQ-1-008,Technical,"The entire system, including the WPF client and the Windows Service, shall be developed using the .NET 8 framework and the C# 12 programming language. The desktop client's user interface shall be built with Windows Presentation Foundation (WPF).",DICOM Management and Printing System - Core,"The application shall be developed using the .NET 8 framework, C# programming language, and Windows Presentation Foundation (WPF).",,,,FALSE,high,
77,REQ-1-009,Technical,"The system shall exclusively use the `fo-dicom` library for all DICOM-related functionalities, including but not limited to C-STORE, C-FIND, C-MOVE, metadata parsing, and image rendering.",DICOM Management and Printing System - Core,The application shall use the `fo-dicom` library for all DICOM operations.,,,,FALSE,high,
78,REQ-1-010,Technical,"The system shall use PostgreSQL as its database for storing study metadata. To accommodate high-volume C-STORE operations, the C-STORE SCP listener (in the background service) shall not write directly to the database. Instead, it shall publish the received DICOM metadata as a message to a RabbitMQ queue. A separate, dedicated consumer process within the background service shall be responsible for reading from this queue and performing the database insertion.",DICOM Management and Printing System - Core,"The application shall use PostgreSQL for the local data store to handle high-volume record insertion from modalities with large numbers of images per study. To ensure guaranteed and high-throughput data insertion, the C-STORE SCP service shall publish received study metadata to a message queue (RabbitMQ), which will be consumed by a separate process within the background service responsible for database writing.",,,,FALSE,high,
